MatchStatID,ClubID,OpponentClubID,SeasonID,CapitainPlayerID,DateID,MatchProfileID,Venue,GoalsFor,GoalsAgainst,Result,ExpectedGoals,ExpectedGoalsAllowed,Possession,Attendance,Formation,OpponentFormation,Referee
1,293,186,2020/21,35789,2021-03-21,909,Home,0.0,0.0,Draw,0.600000023841858,0.800000011920929,52.0,-1.0,4-4-2,4-4-1-1,Aurélien Petit
2,338,186,2022/23,34327,2023-03-12,905,Away,2.0,0.0,Won,1.60000002384186,1.70000004768372,60.0,6487.0,4-2-3-1,5-3-2,Pierre Gaillouste
3,248,186,2022/23,34780,2023-04-02,907,Away,1.0,1.0,Draw,1.5,0.899999976158142,63.0,6649.0,4-3-3,5-3-2,Eric Wattellier
4,234,186,2018/19,33454,2018-09-01,918,Away,0.0,1.0,Lost,1.5,0.699999988079071,67.0,9245.0,4-2-3-1,4-3-3,Eric Wattellier
5,293,186,2021/22,34329,2022-03-20,907,Away,0.0,1.0,Lost,1.20000004768372,1.79999995231628,51.0,7734.0,5-3-2,3-5-1-1,Jérémie Pignard
6,264,355,2024/25,33904,2025-02-05,704,Home,1.0,3.0,Lost,-1.0,-1.0,69.0,15043.0,4-2-3-1,4-2-3-1,Eric Wattellier
7,260,186,2018/19,37070,2018-11-04,889,Home,4.0,3.0,Won,2.09999990463257,1.79999995231628,62.0,22983.0,4-2-3-1,4-1-4-1,Thomas Léonard
8,243,186,2020/21,34113,2021-04-25,913,Away,1.0,0.0,Won,1.60000002384186,0.100000001490116,58.0,-1.0,4-4-2,5-3-2,Hakim Ben El Hadj Salem
9,356,355,2024/25,35122,2025-01-19,895,Away,0.0,2.0,Lost,0.699999988079071,0.899999976158142,52.0,9938.0,5-4-1,4-2-3-1,Stéphanie Frappart
10,264,355,2024/25,35758,2025-05-10,912,Away,1.0,2.0,Lost,1.0,0.699999988079071,71.0,14391.0,3-4-3,4-5-1,Clément Turpin
11,364,355,2024/25,39811,2024-10-26,923,Away,2.0,4.0,Lost,1.5,2.90000009536743,58.0,13796.0,4-1-4-1,4-2-3-1,Marc Bollengier
12,241,355,2024/25,36998,2024-10-04,921,Home,1.0,1.0,Draw,0.899999976158142,0.800000011920929,76.0,54568.0,4-2-3-1,4-2-3-1,Romain Lissorgue
13,293,186,2022/23,34329,2022-08-21,908,Away,3.0,1.0,Won,1.79999995231628,0.600000023841858,50.0,8735.0,4-3-3,4-2-3-1,Jérôme Brisard
