Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-18,22:15,La Liga,Matchweek 1,Sat,Away,L,0,3,Barcelona,0.3,3.2,21,52356,Manu García,4-5-1,4-4-2,José Sánchez,Match Report,,2018-2019,Alaves
2018-08-25,18:15,La Liga,Matchweek 2,Sat,Home,D,0,0,Betis,0.6,0.9,34,18221,Manu García,4-4-2,3-4-3,Pablo González,Match Report,,2018-2019,Alaves
2018-09-02,16:15,La Liga,Matchweek 3,Sun,Home,W,2,1,Espanyol,1.4,1.2,38,18052,Manu García,4-4-2,4-3-3,Ignacio Iglesias,Match Report,,2018-2019,Alaves
2018-09-16,18:30,La Liga,Matchweek 4,Sun,Away,W,1,0,Valladolid,0.8,1.1,42,18873,Fernando Pacheco,4-4-2,4-2-3-1,José Luis Munuera,Match Report,,2018-2019,Alaves
2018-09-22,13:00,La Liga,Matchweek 5,Sat,Away,W,5,1,Rayo Vallecano,1.3,1.5,48,12011,Fernando Pacheco,4-4-2,4-1-4-1,Adrián Cordero,Match Report,,2018-2019,Alaves
2018-09-27,20:00,La Liga,Matchweek 6,Thu,Home,D,1,1,Getafe,1.7,1.1,49,18373,Fernando Pacheco,4-4-2,4-4-2,Eduardo Prieto,Match Report,,2018-2019,Alaves
2018-09-30,18:30,La Liga,Matchweek 7,Sun,Away,L,1,2,Levante,0.9,1.6,52,20239,Manu García,4-4-2,3-5-2,Mario Melero,Match Report,,2018-2019,Alaves
2018-10-06,18:30,La Liga,Matchweek 8,Sat,Home,W,1,0,Real Madrid,1.1,0.8,31,19461,Fernando Pacheco,4-3-3,4-3-3,Santiago Jaime,Match Report,,2018-2019,Alaves
2018-10-19,21:00,La Liga,Matchweek 9,Fri,Away,W,1,0,Celta Vigo,0.9,0.9,39,15627,Manu García,4-3-3,4-4-2,Carlos del Cerro,Match Report,,2018-2019,Alaves
2018-10-28,18:30,La Liga,Matchweek 10,Sun,Home,W,2,1,Villarreal,1.9,1.3,47,16956,Fernando Pacheco,4-4-2,4-2-3-1,Guillermo Cuadra,Match Report,,2018-2019,Alaves
