Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2022-08-13,21:00,La Liga 2,Matchweek 1,Sat,Away,W,2,1,Leganés,38.0,5316,Luis Rioja,4-3-3,4-3-3,Víctor García Verdura,Match Report,,2022-2023,Alaves
2022-08-19,22:00,La Liga 2,Matchweek 2,Fri,Home,W,1,0,CD Mirandés,44.0,11310,Luis Rioja,4-2-3-1,4-2-3-1,Iván Caparrós,Match Report,,2022-2023,Alaves
2022-08-28,22:00,La Liga 2,Matchweek 3,Sun,Away,D,1,1,Ibiza,46.0,2855,Luis Rioja,4-4-2,4-1-4-1,Luis Milla,Match Report,,2022-2023,Alaves
2022-09-03,14:00,La Liga 2,Matchweek 4,Sat,Home,D,1,1,Las Palmas,23.0,11388,Rubén Duarte,4-2-3-1,4-2-3-1,Oliver De La Fuente,Match Report,,2022-2023,Alaves
2022-09-10,14:00,La Liga 2,Matchweek 5,Sat,Away,W,2,1,Lugo,64.0,2347,Rubén Duarte,4-2-3-1,4-4-2,Iosu Galech,Match Report,,2022-2023,Alaves
2022-09-18,16:15,La Liga 2,Matchweek 6,Sun,Home,W,2,1,Huesca,49.0,12818,Rubén Duarte,4-3-3,4-4-2,Raúl González,Match Report,,2022-2023,Alaves
2022-09-26,21:00,La Liga 2,Matchweek 7,Mon,Away,D,1,1,Cartagena,41.0,7491,Rubén Duarte,4-4-1-1,4-3-3,Saúl Ais,Match Report,,2022-2023,Alaves
2022-10-02,16:15,La Liga 2,Matchweek 8,Sun,Home,W,3,1,Ponferradina,40.0,12209,Rubén Duarte,4-4-2,4-5-1,Mateo Busquets,Match Report,,2022-2023,Alaves
2022-10-08,21:00,La Liga 2,Matchweek 9,Sat,Away,L,0,3,Burgos,52.0,10891,Rubén Duarte,4-2-3-1,4-2-3-1,Andrés Fuentes,Match Report,,2022-2023,Alaves
2022-10-12,18:30,La Liga 2,Matchweek 10,Wed,Home,D,0,0,Albacete,52.0,13890,Luis Rioja,4-2-3-1,4-1-4-1,Francisco Hernández,Match Report,,2022-2023,Alaves
2022-10-15,16:15,La Liga 2,Matchweek 11,Sat,Away,W,1,0,FC Andorra,22.0,2240,Rubén Duarte,4-3-3,4-3-3,David Gálvez,Match Report,,2022-2023,Alaves
2022-10-22,18:30,La Liga 2,Matchweek 12,Sat,Home,D,0,0,Sporting Gijón,48.0,16468,Luis Rioja,4-2-3-1,4-2-3-1,Rubén Ávalos,Match Report,,2022-2023,Alaves
