Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-05,17:30,Championship,Matchweek 1,Sat,Home,D,1,1,Hull City,51,31241,John Terry,4-4-1-1,4-2-3-1,Andy Madley,Match Report,,2017-2018,Aston Villa
2017-08-09,19:45,EFL Cup,First round,Wed,Away,W,2,1,Colchester Utd,59,6603,James Chester,4-4-2,3-4-3,John Brooks,Match Report,,2017-2018,Aston Villa
2017-08-12,15:00,Championship,Matchweek 2,Sat,Away,L,0,3,Cardiff City,65,23899,John Terry,4-4-1-1,4-3-3,Tim Robinson,Match Report,,2017-2018,Aston Villa
2017-08-15,20:00,Championship,Matchweek 3,Tue,Away,L,1,2,Reading,33,20144,John Terry,4-4-1-1,4-2-3-1,Kevin Friend,Match Report,,2017-2018,Aston Villa
2017-08-19,15:00,Championship,Matchweek 4,Sat,Home,W,4,2,Norwich City,37,29157,John Terry,4-4-1-1,4-1-4-1,Jeremy Simpson,Match Report,,2017-2018,Aston Villa
2017-08-22,19:45,EFL Cup,Second round,Tue,Home,W,4,1,Wigan Athletic,55,18108,Tommy Elphick,4-4-1-1,4-2-3-1,Darren Drysdale,Match Report,,2017-2018,Aston Villa
2017-08-25,19:45,Championship,Matchweek 5,Fri,Away,D,1,1,Bristol City,49,21542,John Terry,3-4-3,4-4-2,Geoff Eltringham,Match Report,,2017-2018,Aston Villa
2017-09-09,15:00,Championship,Matchweek 6,Sat,Home,D,0,0,Brentford,49,29799,John Terry,4-3-3,4-2-3-1,Scott Duncan,Match Report,,2017-2018,Aston Villa
2017-09-12,19:45,Championship,Matchweek 7,Tue,Home,D,0,0,Middlesbrough,71,26631,John Terry,4-3-3,4-4-1-1,James Linington,Match Report,,2017-2018,Aston Villa
2017-09-16,17:30,Championship,Matchweek 8,Sat,Away,W,3,0,Barnsley,39,14633,John Terry,4-4-2,4-1-4-1,Simon Hooper,Match Report,,2017-2018,Aston Villa
2017-09-19,19:45,EFL Cup,Third round,Tue,Home,L,0,2,Middlesbrough,41,11197,Tommy Elphick,4-2-3-1,4-2-3-1,Steve Martin,Match Report,,2017-2018,Aston Villa
2017-09-23,17:30,Championship,Matchweek 9,Sat,Home,W,2,1,Nott'ham Forest,36,28554,John Terry,4-4-2,4-2-3-1,Tim Robinson,Match Report,,2017-2018,Aston Villa
2017-09-26,19:45,Championship,Matchweek 10,Tue,Away,W,4,0,Burton Albion,49,5786,John Terry,4-4-2,3-5-2,Jonathan Moss,Match Report,,2017-2018,Aston Villa
2017-09-30,15:00,Championship,Matchweek 11,Sat,Home,W,1,0,Bolton,61,31451,John Terry,4-4-2,4-1-4-1,Jeremy Simpson,Match Report,,2017-2018,Aston Villa
2017-10-14,17:30,Championship,Matchweek 12,Sat,Away,L,0,2,Wolves,45,30239,John Terry,4-4-2,3-4-3,Andrew Davies,Match Report,,2017-2018,Aston Villa
