Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-06,19:45,Championship,Matchweek 1,Mon,Away,W,3,1,Hull City,0.9,0.8,49,14071,James Chester,4-4-1-1,4-4-1-1,Andy Madley,Match Report,,2018-2019,Aston Villa
2018-08-11,15:00,Championship,Matchweek 2,Sat,Home,W,3,2,Wigan Athletic,1.9,1.2,48,34331,James Chester,4-4-1-1,4-2-3-1,Jeremy Simpson,Match Report,,2018-2019,Aston Villa
2018-08-14,19:45,EFL Cup,First round,Tue,Away,W,1,0,Yeovil Town,,,63,6123,Tommy Elphick,4-1-4-1,4-4-2,John Brooks,Match Report,,2018-2019,Aston Villa
2018-08-18,15:00,Championship,Matchweek 3,Sat,Away,D,1,1,Ipswich Town,0.5,0.8,61,17824,James Chester,4-4-1-1,4-2-3-1,Tim Robinson,Match Report,,2018-2019,Aston Villa
2018-08-22,19:45,Championship,Matchweek 4,Wed,Home,D,2,2,Brentford,1.0,1.6,57,30011,James Chester,4-4-1-1,4-2-3-1,Jonathan Moss,Match Report,,2018-2019,Aston Villa
2018-08-25,15:00,Championship,Matchweek 5,Sat,Home,D,1,1,Reading,1.7,2.1,59,33405,James Chester,4-4-1-1,4-4-2,Darren England,Match Report,,2018-2019,Aston Villa
2018-08-28,19:45,EFL Cup,Second round,Tue,Away,L,0,1,Burton Albion,,,56,3411,Tommy Elphick,4-4-1-1,4-3-3,Darren Bond,Match Report,,2018-2019,Aston Villa
2018-09-01,15:00,Championship,Matchweek 6,Sat,Away,L,1,4,Sheffield Utd,0.4,0.9,60,26030,James Chester,4-4-1-1,3-4-1-2,James Linington,Match Report,,2018-2019,Aston Villa
2018-09-15,17:30,Championship,Matchweek 7,Sat,Away,D,1,1,Blackburn,0.9,1.0,51,15982,James Chester,4-4-1-1,4-2-3-1,Steve Martin,Match Report,,2018-2019,Aston Villa
2018-09-18,19:45,Championship,Matchweek 8,Tue,Home,W,2,0,Rotherham Utd,1.4,0.6,60,27991,James Chester,4-4-2,4-3-3,Andrew Davies,Match Report,,2018-2019,Aston Villa
2018-09-22,15:00,Championship,Matchweek 9,Sat,Home,L,1,2,Sheffield Weds,1.5,1.3,54,35572,James Chester,4-4-2,3-4-3,David Webb,Match Report,,2018-2019,Aston Villa
2018-09-28,20:00,Championship,Matchweek 10,Fri,Away,D,1,1,Bristol City,0.5,0.3,53,24224,James Chester,4-2-3-1,4-4-2,Tim Robinson,Match Report,,2018-2019,Aston Villa
2018-10-02,19:45,Championship,Matchweek 11,Tue,Home,D,3,3,Preston,1.5,2.6,43,27331,James Chester,4-2-3-1,4-2-3-1,Peter Bankes,Match Report,,2018-2019,Aston Villa
2018-10-06,15:00,Championship,Matchweek 12,Sat,Away,L,1,2,Millwall,0.8,1.1,62,14491,Alan Hutton,4-4-1-1,4-4-2,Tony Harrington,Match Report,,2018-2019,Aston Villa
2018-10-20,15:00,Championship,Matchweek 13,Sat,Home,W,1,0,Swansea City,1.8,1.5,47,41326,James Chester,4-4-1-1,3-4-3,Andy Madley,Match Report,,2018-2019,Aston Villa
2018-10-23,19:45,Championship,Matchweek 14,Tue,Away,L,1,2,Norwich City,0.6,0.7,52,24977,James Chester,4-4-1-1,4-2-3-1,Simon Hooper,Match Report,,2018-2019,Aston Villa
2018-10-26,19:45,Championship,Matchweek 15,Fri,Away,L,0,1,QPR,1.4,1.1,66,16036,James Chester,4-4-1-1,4-2-3-1,Darren England,Match Report,,2018-2019,Aston Villa
2018-11-02,19:45,Championship,Matchweek 16,Fri,Home,W,2,0,Bolton,1.9,1.0,59,30802,James Chester,4-4-1-1,4-2-3-1,Oliver Langford,Match Report,,2018-2019,Aston Villa
2018-11-10,15:00,Championship,Matchweek 17,Sat,Away,W,3,0,Derby County,2.7,0.9,53,30400,James Chester,4-4-1-1,4-3-3,John Brooks,Match Report,,2018-2019,Aston Villa
2018-11-25,12:00,Championship,Matchweek 18,Sun,Home,W,4,2,Birmingham City,2.5,1.6,72,41200,James Chester,4-4-1-1,4-4-2,Robert Jones,Match Report,,2018-2019,Aston Villa
2018-11-28,19:45,Championship,Matchweek 19,Wed,Home,D,5,5,Nott'ham Forest,3.5,1.5,63,32868,James Chester,4-3-3,4-2-3-1,Simon Hooper,Match Report,,2018-2019,Aston Villa
2018-12-01,17:30,Championship,Matchweek 20,Sat,Away,W,3,0,Middlesbrough,2.8,0.5,57,23424,James Chester,4-4-1-1,4-2-3-1,Andrew Davies,Match Report,,2018-2019,Aston Villa
2018-12-07,20:00,Championship,Matchweek 21,Fri,Away,D,2,2,West Brom,1.3,2.1,48,26513,James Chester,4-3-3,4-3-3,Darren England,Match Report,,2018-2019,Aston Villa
2018-12-15,15:00,Championship,Matchweek 22,Sat,Home,D,2,2,Stoke City,2.2,1.6,56,36999,James Chester,4-1-4-1,4-3-3,Peter Bankes,Match Report,,2018-2019,Aston Villa
2018-12-23,13:30,Championship,Matchweek 23,Sun,Home,L,2,3,Leeds United,0.8,1.0,35,41411,James Chester,4-1-4-1,4-2-3-1,Andy Madley,Match Report,,2018-2019,Aston Villa
2018-12-26,15:00,Championship,Matchweek 24,Wed,Away,W,1,0,Swansea City,1.2,2.5,41,20775,James Chester,4-1-4-1,4-3-3,Roger East,Match Report,,2018-2019,Aston Villa
2018-12-29,15:00,Championship,Matchweek 25,Sat,Away,D,1,1,Preston,1.7,2.0,60,19126,James Chester,4-1-4-1,4-2-3-1,Geoff Eltringham,Match Report,,2018-2019,Aston Villa
2019-01-01,15:00,Championship,Matchweek 26,Tue,Home,D,2,2,QPR,1.9,1.2,60,37760,James Chester,4-3-3,4-4-1-1,James Linington,Match Report,,2018-2019,Aston Villa
