Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-07-27,20:30,Europa Lg,Third qualifying round,Thu,Away,D,1,1,ro Dinamo,,,,26783,Markel Susaeta,4-2-3-1,4-3-3,Tore Hansen,Match Report,Leg 1 of 2,2017-2018,Athletic Club
2017-08-03,20:45,Europa Lg,Third qualifying round,Thu,Home,W,3,0,ro Dinamo,,,,41845,Markel Susaeta,4-2-3-1,4-4-2,Pavle Radovanović,Match Report,Leg 2 of 2; Athletic Club won,2017-2018,Athletic Club
2017-08-17,21:30,Europa Lg,Play-off round,Thu,Away,W,3,2,gr Panathinaikos,,,52.0,15000,Iker Muniain,4-2-3-1,4-4-2,Jorge de Sousa,Match Report,Leg 1 of 2,2017-2018,Athletic Club
2017-08-20,18:15,La Liga,Matchweek 1,Sun,Home,D,0,0,Getafe,1.2,0.5,64.0,37884,Markel Susaeta,4-2-3-1,4-4-2,Mario Melero,Match Report,,2017-2018,Athletic Club
2017-08-24,20:45,Europa Lg,Play-off round,Thu,Home,W,1,0,gr Panathinaikos,,,51.0,42747,Markel Susaeta,4-2-3-1,4-4-1-1,Benoît Bastien,Match Report,Leg 2 of 2; Athletic Club won,2017-2018,Athletic Club
2017-08-27,18:15,La Liga,Matchweek 2,Sun,Away,W,1,0,Eibar,1.1,1.2,44.0,5932,Mikel San José,4-2-3-1,4-4-2,José Sánchez,Match Report,,2017-2018,Athletic Club
2017-09-10,16:15,La Liga,Matchweek 3,Sun,Home,W,2,0,Girona,1.6,0.4,49.0,39952,Iker Muniain,4-2-3-1,3-4-3,Daniel Trujillo,Match Report,,2017-2018,Athletic Club
2017-09-14,21:05,Europa Lg,Group stage,Thu,Away,D,0,0,de Hertha BSC,0.7,1.1,47.0,28832,Iker Muniain,4-2-3-1,4-2-3-1,Ivan Kružliak,Match Report,,2017-2018,Athletic Club
2017-09-17,17:30,La Liga,Matchweek 4,Sun,Away,L,0,1,Las Palmas,1.2,1.0,45.0,19213,Markel Susaeta,4-2-3-1,4-2-3-1,Pablo González,Match Report,,2017-2018,Athletic Club
2017-09-20,20:00,La Liga,Matchweek 5,Wed,Home,L,1,2,Atlético Madrid,2.0,2.2,56.0,43381,Markel Susaeta,4-2-3-1,4-4-2,Javier Estrada,Match Report,,2017-2018,Athletic Club
2017-09-23,18:30,La Liga,Matchweek 6,Sat,Away,D,3,3,Málaga,1.9,2.2,54.0,23425,Iker Muniain,4-2-3-1,4-5-1,Carlos del Cerro,Match Report,,2017-2018,Athletic Club
2017-09-28,19:00,Europa Lg,Group stage,Thu,Home,L,0,1,ua Zorya Luhansk,1.8,0.5,65.0,32462,Iker Muniain,4-2-3-1,4-1-4-1,Halis Özkahya,Match Report,,2017-2018,Athletic Club
2017-10-01,18:30,La Liga,Matchweek 7,Sun,Away,L,2,3,Valencia,2.2,2.6,60.0,42070,Markel Susaeta,4-2-3-1,4-4-2,Alejandro Hernández,Match Report,,2017-2018,Athletic Club
2017-10-14,13:00,La Liga,Matchweek 8,Sat,Home,W,1,0,Sevilla,1.2,2.3,42.0,40197,Markel Susaeta,4-1-4-1,4-2-3-1,Ignacio Iglesias,Match Report,,2017-2018,Athletic Club
