Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-13,18:30,DFB-Pokal,First round,Sun,Away,L,0,2,Magdeburg,,,51,21641,Daniel Baier,4-2-3-1,3-4-3,Guido Winkmann,Match Report,,2017-2018,Augsburg
2017-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,L,0,1,Hamburger SV,0.8,0.5,64,49449,Daniel Baier,4-2-3-1,4-2-3-1,Daniel Siebert,Match Report,,2017-2018,Augsburg
2017-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,D,2,2,Gladbach,2.7,1.3,50,29243,Daniel Baier,4-1-4-1,4-4-2,Sascha Stegemann,Match Report,,2017-2018,Augsburg
2017-09-09,15:30,Bundesliga,Matchweek 3,Sat,Home,W,3,0,Köln,2.3,0.7,34,27510,Daniel Baier,4-2-3-1,4-4-2,Tobias Stieler,Match Report,,2017-2018,Augsburg
2017-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,W,2,1,Eint Frankfurt,0.7,1.5,35,46500,Daniel Baier,4-2-3-1,3-1-4-2,Christian Dingert,Match Report,,2017-2018,Augsburg
2017-09-19,20:30,Bundesliga,Matchweek 5,Tue,Home,W,1,0,RB Leipzig,1.2,1.1,33,26113,Daniel Baier,4-1-2-1-2◆,4-2-2-2,Daniel Siebert,Match Report,,2017-2018,Augsburg
2017-09-23,15:30,Bundesliga,Matchweek 6,Sat,Away,D,0,0,Stuttgart,0.4,0.7,37,55202,Alfreð Finnbogason,3-4-3,3-4-3,Harm Osmers,Match Report,,2017-2018,Augsburg
2017-09-30,15:30,Bundesliga,Matchweek 7,Sat,Home,L,1,2,Dortmund,1.5,2.0,41,30660,Alfreð Finnbogason,4-2-3-1,4-3-3,Marco Fritz,Match Report,,2017-2018,Augsburg
2017-10-14,15:30,Bundesliga,Matchweek 8,Sat,Away,D,2,2,Hoffenheim,0.9,1.8,46,27014,Daniel Baier,3-4-3,3-5-2,Manuel Gräfe,Match Report,,2017-2018,Augsburg
2017-10-21,15:30,Bundesliga,Matchweek 9,Sat,Home,L,1,2,Hannover 96,1.0,1.2,50,25971,Daniel Baier,4-2-3-1,4-4-2,Sascha Stegemann,Match Report,,2017-2018,Augsburg
2017-10-29,15:30,Bundesliga,Matchweek 10,Sun,Away,W,3,0,Werder Bremen,2.9,0.7,39,40500,Daniel Baier,4-2-3-1,3-1-4-2,Sören Storks,Match Report,,2017-2018,Augsburg
2017-11-04,15:30,Bundesliga,Matchweek 11,Sat,Home,D,1,1,Leverkusen,1.7,0.8,40,26133,Daniel Baier,4-2-3-1,4-2-3-1,Christian Dingert,Match Report,,2017-2018,Augsburg
2017-11-18,15:30,Bundesliga,Matchweek 12,Sat,Away,L,0,3,Bayern Munich,0.3,2.0,27,75000,Daniel Baier,4-2-3-1,4-3-3,Markus Schmidt,Match Report,,2017-2018,Augsburg
2017-11-25,15:30,Bundesliga,Matchweek 13,Sat,Home,W,2,1,Wolfsburg,2.4,0.2,57,26541,Daniel Baier,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,2017-2018,Augsburg
2017-12-02,15:30,Bundesliga,Matchweek 14,Sat,Away,W,3,1,Mainz 05,2.2,0.8,42,25037,Daniel Baier,4-2-3-1,4-3-3,Frank Willenborg,Match Report,,2017-2018,Augsburg
2017-12-10,18:00,Bundesliga,Matchweek 15,Sun,Home,D,1,1,Hertha BSC,1.6,0.7,58,26641,Daniel Baier,4-2-3-1,4-4-2,Martin Petersen,Match Report,,2017-2018,Augsburg
2017-12-13,20:30,Bundesliga,Matchweek 16,Wed,Away,L,2,3,Schalke 04,1.5,2.0,46,59215,Daniel Baier,4-2-3-1,3-1-4-2,Sven Jablonski,Match Report,,2017-2018,Augsburg
2017-12-16,15:30,Bundesliga,Matchweek 17,Sat,Home,D,3,3,Freiburg,2.6,1.7,61,26345,Daniel Baier,4-2-3-1,4-4-2,Christian Dingert,Match Report,,2017-2018,Augsburg
2018-01-13,15:30,Bundesliga,Matchweek 18,Sat,Home,W,1,0,Hamburger SV,1.2,0.4,52,30087,Daniel Baier,4-2-3-1,4-4-2,Manuel Gräfe,Match Report,,2017-2018,Augsburg
2018-01-20,15:30,Bundesliga,Matchweek 19,Sat,Away,L,0,2,Gladbach,1.1,1.0,55,42016,Daniel Baier,4-2-3-1,4-4-2,Bibiana Steinhaus,Match Report,,2017-2018,Augsburg
2018-01-27,15:30,Bundesliga,Matchweek 20,Sat,Away,D,1,1,Köln,1.0,1.1,47,49900,Daniel Baier,3-4-3,4-4-2,Christian Dingert,Match Report,,2017-2018,Augsburg
2018-02-04,15:30,Bundesliga,Matchweek 21,Sun,Home,W,3,0,Eint Frankfurt,2.8,0.4,38,27188,Daniel Baier,4-2-3-1,3-1-4-2,Harm Osmers,Match Report,,2017-2018,Augsburg
