Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2020-08-22,19:00,Ligue 2,Matchweek 1,Sat,Home,L,0,2,Sochaux,54.0,,Birama Touré,4-2-3-1,4-2-3-1,Mehdi Mokhtari,Match Report,,2020-2021,Auxerre
2020-08-29,19:00,Ligue 2,Matchweek 2,Sat,Away,W,2,1,Châteauroux,58.0,,Birama Touré,4-3-3,4-3-3,Pierre Gaillouste,Match Report,,2020-2021,Auxerre
2020-09-12,19:00,Ligue 2,Matchweek 3,Sat,Home,L,0,1,Clermont Foot,47.0,,Quentin Bernard,4-3-3,4-2-3-1,Guillaume Paradis,Match Report,,2020-2021,Auxerre
2020-09-21,20:45,Ligue 2,Matchweek 4,Mon,Home,W,2,1,Troyes,36.0,,Quentin Bernard,4-2-3-1,4-3-3,Olivier Thual,Match Report,,2020-2021,Auxerre
2020-09-26,15:00,Ligue 2,Matchweek 5,Sat,Away,L,1,3,Toulouse,55.0,,Quentin Bernard,4-4-2,3-5-2,Mathieu Vernice,Match Report,,2020-2021,Auxerre
2020-10-03,19:00,Ligue 2,Matchweek 6,Sat,Home,W,5,1,Ajaccio,44.0,,Birama Touré,4-1-4-1,4-4-2,Bartolomeu Varela,Match Report,,2020-2021,Auxerre
2020-10-19,20:45,Ligue 2,Matchweek 7,Mon,Away,L,0,2,Guingamp,61.0,,Birama Touré,4-2-3-1,4-4-2,Nicolas Rainville,Match Report,,2020-2021,Auxerre
2020-10-24,19:00,Ligue 2,Matchweek 8,Sat,Home,W,4,0,Chambly Oise,63.0,,Birama Touré,4-1-4-1,5-3-2,Pierre Gaillouste,Match Report,,2020-2021,Auxerre
2020-10-31,19:00,Ligue 2,Matchweek 9,Sat,Away,D,2,2,Rodez Aveyron,62.0,,Birama Touré,4-1-4-1,3-5-2,Mehdi Mokhtari,Match Report,,2020-2021,Auxerre
2020-11-07,19:00,Ligue 2,Matchweek 10,Sat,Home,W,2,1,Amiens,60.0,,Quentin Bernard,4-1-4-1,4-1-4-1,Abdelatif Kherradji,Match Report,,2020-2021,Auxerre
2020-11-21,19:00,Ligue 2,Matchweek 11,Sat,Away,W,3,0,Paris FC,44.0,,Birama Touré,4-1-4-1,4-3-3,Mathieu Vernice,Match Report,,2020-2021,Auxerre
2020-11-28,19:00,Ligue 2,Matchweek 12,Sat,Home,D,1,1,Valenciennes,64.0,,Quentin Bernard,4-1-4-1,4-2-3-1,Remi Landry,Match Report,,2020-2021,Auxerre
2020-12-01,19:00,Ligue 2,Matchweek 13,Tue,Away,D,1,1,Le Havre,62.0,,François Bellugou,4-1-4-1,4-4-2,Bartolomeu Varela,Match Report,,2020-2021,Auxerre
2020-12-05,19:00,Ligue 2,Matchweek 14,Sat,Home,W,6,0,Niort,53.0,,Birama Touré,4-1-4-1,3-4-3,Romain Lissorgue,Match Report,,2020-2021,Auxerre
2020-12-12,19:00,Ligue 2,Matchweek 15,Sat,Away,D,2,2,Nancy,59.0,,Birama Touré,4-1-4-1,4-2-3-1,Alain Durieux,Match Report,,2020-2021,Auxerre
2020-12-18,20:00,Ligue 2,Matchweek 16,Fri,Home,W,2,1,Pau FC,69.0,,Birama Touré,4-3-3,4-4-2,Guillaume Paradis,Match Report,,2020-2021,Auxerre
2020-12-22,20:00,Ligue 2,Matchweek 17,Tue,Away,W,1,0,Dunkerque,61.0,,Birama Touré,4-2-3-1,5-3-2,Arnaud Baert,Match Report,,2020-2021,Auxerre
2021-01-05,20:00,Ligue 2,Matchweek 18,Tue,Home,D,1,1,Caen,59.0,,Birama Touré,4-1-4-1,4-1-4-1,Remi Landry,Match Report,,2020-2021,Auxerre
2021-01-09,15:00,Ligue 2,Matchweek 19,Sat,Away,D,2,2,Grenoble,45.0,,Birama Touré,4-2-3-1,4-3-3,Bartolomeu Varela,Match Report,,2020-2021,Auxerre
2021-01-16,19:00,Ligue 2,Matchweek 20,Sat,Home,W,4,1,Châteauroux,51.0,,Birama Touré,4-1-4-1,4-2-3-1,Eric Wattellier,Match Report,,2020-2021,Auxerre
2021-01-19,21:00,Coupe de France,Eighth round,Tue,Home,W,1,0,Troyes,,,Samuel Souprayen,,,Romain Delpech,Match Report,,2020-2021,Auxerre
2021-01-23,15:00,Ligue 2,Matchweek 21,Sat,Away,L,0,1,Clermont Foot,55.0,,Birama Touré,4-1-4-1,4-2-3-1,Jeremy Stinat,Match Report,,2020-2021,Auxerre
2021-01-30,15:00,Ligue 2,Matchweek 22,Sat,Away,L,1,3,Troyes,42.0,,Birama Touré,4-3-3,3-5-1-1,Benoît Bastien,Match Report,,2020-2021,Auxerre
2021-02-02,20:00,Ligue 2,Matchweek 23,Tue,Home,W,3,1,Toulouse,46.0,,Birama Touré,4-1-4-1,5-3-2,Guillaume Paradis,Match Report,,2020-2021,Auxerre
2021-02-05,20:00,Ligue 2,Matchweek 24,Fri,Away,D,0,0,Ajaccio,46.0,,Birama Touré,4-1-4-1,4-2-3-1,Gaël Angoula,Match Report,,2020-2021,Auxerre
2021-02-10,14:45,Coupe de France,Round of 64,Wed,Home,L,0,2,Marseille,,,Samuel Souprayen,4-1-4-1,4-3-3,Franck Schneider,Match Report,,2020-2021,Auxerre
2021-02-13,15:00,Ligue 2,Matchweek 25,Sat,Home,D,1,1,Guingamp,57.0,,Birama Touré,4-1-4-1,4-2-3-1,Pierre Gaillouste,Match Report,,2020-2021,Auxerre
2021-02-20,19:00,Ligue 2,Matchweek 26,Sat,Away,W,1,0,Chambly Oise,60.0,,Birama Touré,4-1-4-1,4-2-3-1,Mikael Lesage,Match Report,,2020-2021,Auxerre
2021-02-27,19:00,Ligue 2,Matchweek 27,Sat,Home,L,0,1,Rodez Aveyron,66.0,,Birama Touré,4-1-4-1,3-1-4-2,Benjamin Lepaysant,Match Report,,2020-2021,Auxerre
2021-03-02,20:00,Ligue 2,Matchweek 28,Tue,Away,D,1,1,Amiens,55.0,,Birama Touré,4-1-4-1,3-4-3,Romain Lissorgue,Match Report,,2020-2021,Auxerre
2021-03-13,15:00,Ligue 2,Matchweek 29,Sat,Home,D,0,0,Paris FC,63.0,,Birama Touré,4-1-4-1,4-2-3-1,Antony Gautier,Match Report,,2020-2021,Auxerre
2021-03-20,20:00,Ligue 2,Matchweek 30,Sat,Away,D,2,2,Valenciennes,47.0,,Birama Touré,4-1-4-1,4-3-3,Pierre Gaillouste,Match Report,,2020-2021,Auxerre
2021-04-05,20:45,Ligue 2,Matchweek 31,Mon,Home,D,1,1,Le Havre,60.0,,Birama Touré,4-1-4-1,4-5-1,Mathieu Vernice,Match Report,,2020-2021,Auxerre
2021-04-10,20:00,Ligue 2,Matchweek 32,Sat,Away,W,4,0,Niort,53.0,,Quentin Bernard,4-1-4-1,4-3-3,Nicolas Rainville,Match Report,,2020-2021,Auxerre
2021-04-17,20:00,Ligue 2,Matchweek 33,Sat,Home,W,3,2,Nancy,57.0,,Quentin Bernard,4-3-3,5-3-2,Florent Batta,Match Report,,2020-2021,Auxerre
2021-04-20,20:00,Ligue 2,Matchweek 34,Tue,Away,L,0,3,Pau FC,67.0,,François Bellugou,4-2-3-1,4-4-2,Romain Delpech,Match Report,,2020-2021,Auxerre
2021-04-24,20:00,Ligue 2,Matchweek 35,Sat,Home,W,2,1,Dunkerque,56.0,,Birama Touré,4-1-4-1,5-4-1,Guillaume Paradis,Match Report,,2020-2021,Auxerre
2021-05-01,20:00,Ligue 2,Matchweek 36,Sat,Away,D,0,0,Caen,65.0,,François Bellugou,4-1-4-1,4-3-3,Bartolomeu Varela,Match Report,,2020-2021,Auxerre
2021-05-08,20:00,Ligue 2,Matchweek 37,Sat,Home,D,1,1,Grenoble,61.0,,Birama Touré,4-1-4-1,4-2-3-1,Olivier Thual,Match Report,,2020-2021,Auxerre
2021-05-15,20:00,Ligue 2,Matchweek 38,Sat,Away,W,3,2,Sochaux,60.0,,Birama Touré,4-1-4-1,4-3-1-2,Bartolomeu Varela,Match Report,,2020-2021,Auxerre
