Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-13,22:00,Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,,,,89514.0,Andrés Iniesta,4-3-3,4-4-2,Ricardo de Burgos,Match Report,Leg 1 of 2,2017-2018,Barcelona
2017-08-16,23:00,Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,,,,75167.0,Lionel Messi,3-5-2,4-3-3,José Sánchez,Match Report,Leg 2 of 2; Real Madrid won,2017-2018,Barcelona
2017-08-20,20:15,La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,1.1,0.1,61.0,56480.0,Lionel Messi,4-4-1-1,4-1-4-1,Daniel Trujillo,Match Report,,2017-2018,Barcelona
2017-08-26,18:15,La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,2.5,0.9,73.0,19356.0,Andrés Iniesta,4-3-3,4-5-1,Carlos del Cerro,Match Report,,2017-2018,Barcelona
2017-09-09,20:45,La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,5.1,0.7,76.0,72857.0,Andrés Iniesta,4-4-2,4-4-2,Jesús Gil,Match Report,,2017-2018,Barcelona
2017-09-12,20:45,Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,0.9,0.7,63.0,78656.0,Andrés Iniesta,4-3-3,4-2-3-1,Damir Skomina,Match Report,,2017-2018,Barcelona
2017-09-16,16:15,La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,0.4,1.0,70.0,15164.0,Andrés Iniesta,4-3-3,4-2-3-1,David Fernández,Match Report,,2017-2018,Barcelona
2017-09-19,22:00,La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,2.4,1.3,61.0,51645.0,Andrés Iniesta,4-3-3,4-2-3-1,Alejandro Hernández,Match Report,,2017-2018,Barcelona
2017-09-23,20:45,La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,1.0,0.7,60.0,13305.0,Lionel Messi,4-4-2,3-5-1-1,José Sánchez,Match Report,,2017-2018,Barcelona
2017-09-27,19:45,Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,0.9,0.7,69.0,48575.0,Andrés Iniesta,4-4-2,4-2-3-1,Ovidiu Hațegan,Match Report,,2017-2018,Barcelona
2017-10-01,16:15,La Liga,Matchweek 7,Sun,Home,W,3,0,Las Palmas,4.0,0.7,48.0,,Lionel Messi,4-4-2,4-2-3-1,José Munuera,Match Report,,2017-2018,Barcelona
2017-10-14,20:45,La Liga,Matchweek 8,Sat,Away,D,1,1,Atlético Madrid,1.4,0.2,68.0,64393.0,Andrés Iniesta,4-4-2,4-4-2,Antonio Matéu Lahoz,Match Report,,2017-2018,Barcelona
2017-10-18,20:45,Champions Lg,Group stage,Wed,Home,W,3,1,gr Olympiacos,3.5,0.2,70.0,55026.0,Andrés Iniesta,4-3-3,4-5-1,William Collum,Match Report,,2017-2018,Barcelona
2017-10-21,20:45,La Liga,Matchweek 9,Sat,Home,W,2,0,Málaga,1.9,0.6,65.0,74397.0,Andrés Iniesta,4-4-2,4-2-3-1,Pablo González,Match Report,,2017-2018,Barcelona
2017-10-24,21:30,Copa del Rey,Round of 32,Tue,Away,W,3,0,Real Murcia,,,,16127.0,,,,José Luis Munuera,Match Report,Leg 1 of 2,2017-2018,Barcelona
2017-10-28,20:45,La Liga,Matchweek 10,Sat,Away,W,2,0,Athletic Club,2.7,1.1,60.0,43570.0,Lionel Messi,4-4-2,4-2-3-1,Juan Martínez,Match Report,,2017-2018,Barcelona
2017-10-31,21:45,Champions Lg,Group stage,Tue,Away,D,0,0,gr Olympiacos,1.8,0.3,69.0,31600.0,Lionel Messi,4-4-2,4-1-4-1,Anthony Taylor,Match Report,,2017-2018,Barcelona
2017-11-04,20:45,La Liga,Matchweek 11,Sat,Home,W,2,1,Sevilla,2.1,0.6,52.0,70723.0,Andrés Iniesta,4-4-2,4-2-3-1,José González,Match Report,,2017-2018,Barcelona
2017-11-18,16:15,La Liga,Matchweek 12,Sat,Away,W,3,0,Leganés,2.6,1.5,67.0,11454.0,Andrés Iniesta,4-4-2,4-2-3-1,Alberto Undiano,Match Report,,2017-2018,Barcelona
2017-11-22,20:45,Champions Lg,Group stage,Wed,Away,D,0,0,it Juventus,0.9,0.5,63.0,40876.0,Andrés Iniesta,4-2-3-1,4-2-3-1,Milorad Mažić,Match Report,,2017-2018,Barcelona
2017-11-26,20:45,La Liga,Matchweek 13,Sun,Away,D,1,1,Valencia,1.0,1.2,69.0,47775.0,Andrés Iniesta,4-4-2,4-4-2,Ignacio Iglesias,Match Report,,2017-2018,Barcelona
2017-11-29,19:30,Copa del Rey,Round of 32,Wed,Home,W,5,0,Real Murcia,,,,68775.0,,,,Antonio Alberola Rojas,Match Report,Leg 2 of 2; Barcelona won,2017-2018,Barcelona
2017-12-02,13:00,La Liga,Matchweek 14,Sat,Home,D,2,2,Celta Vigo,3.7,2.0,65.0,63208.0,Andrés Iniesta,4-1-2-1-2◆,4-4-2,Mario Melero,Match Report,,2017-2018,Barcelona
2017-12-05,20:45,Champions Lg,Group stage,Tue,Home,W,2,0,pt Sporting CP,1.2,1.0,65.0,48336.0,Gerard Piqué,4-3-3,5-4-1,Craig Thomson,Match Report,,2017-2018,Barcelona
2017-12-10,20:45,La Liga,Matchweek 15,Sun,Away,W,2,0,Villarreal,3.5,0.7,68.0,21087.0,Lionel Messi,4-4-2,4-5-1,Ricardo de Burgos,Match Report,,2017-2018,Barcelona
2017-12-17,20:45,La Liga,Matchweek 16,Sun,Home,W,4,0,La Coruña,5.6,0.3,60.0,53607.0,Andrés Iniesta,4-4-2,4-2-3-1,Antonio Matéu Lahoz,Match Report,,2017-2018,Barcelona
2017-12-23,13:00,La Liga,Matchweek 17,Sat,Away,W,3,0,Real Madrid,2.6,1.0,55.0,80264.0,Andrés Iniesta,4-4-2,4-1-3-2,José Sánchez,Match Report,,2017-2018,Barcelona
2018-01-04,19:00,Copa del Rey,Round of 16,Thu,Away,D,1,1,Celta Vigo,,,,21338.0,,,,Juan Martínez,Match Report,Leg 1 of 2,2017-2018,Barcelona
2018-01-07,16:15,La Liga,Matchweek 18,Sun,Home,W,3,0,Levante,1.8,0.7,71.0,56380.0,Andrés Iniesta,4-4-2,4-5-1,Carlos del Cerro,Match Report,,2017-2018,Barcelona
2018-01-11,21:30,Copa del Rey,Round of 16,Thu,Home,W,5,0,Celta Vigo,,,,59009.0,,,,Alejandro Hernández,Match Report,Leg 2 of 2; Barcelona won,2017-2018,Barcelona
2018-01-14,20:45,La Liga,Matchweek 19,Sun,Away,W,4,2,Real Sociedad,1.3,0.8,50.0,23277.0,Lionel Messi,4-4-2,4-4-1-1,José González,Match Report,,2017-2018,Barcelona
2018-01-17,21:00,Copa del Rey,Quarter-finals,Wed,Away,L,0,1,Espanyol,,,,23323.0,,,,Ricardo de Burgos,Match Report,Leg 1 of 2,2017-2018,Barcelona
2018-01-21,20:45,La Liga,Matchweek 20,Sun,Away,W,5,0,Betis,2.1,0.4,52.0,53426.0,Lionel Messi,4-4-2,3-4-1-2,Santiago Jaime,Match Report,,2017-2018,Barcelona
2018-01-25,21:30,Copa del Rey,Quarter-finals,Thu,Home,W,2,0,Espanyol,,,,79774.0,,,,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Barcelona won,2017-2018,Barcelona
