Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-05,20:30,DFL-Supercup,DFL-Supercup,Sat,Away,D,2 (5),2 (4),Dortmund,,,,81360,Thomas Müller,4-3-3,4-3-3,Felix Zwayer,Match Report,,2017-2018,Bayern Munich
2017-08-12,15:30,DFB-Pokal,First round,Sat,Away,W,5,0,Chemnitzer FC,,,76.0,15015,Thomas Müller,4-2-3-1,5-4-1,Bibiana Steinhaus,Match Report,,2017-2018,Bayern Munich
2017-08-18,20:30,Bundesliga,Matchweek 1,Fri,Home,W,3,1,Leverkusen,2.6,1.6,52.0,75000,Thomas Müller,4-3-3,4-2-3-1,Tobias Stieler,Match Report,,2017-2018,Bayern Munich
2017-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2,0,Werder Bremen,1.5,0.3,71.0,42100,Manuel Neuer,4-2-3-1,3-1-4-2,Bastian Dankert,Match Report,,2017-2018,Bayern Munich
2017-09-09,18:30,Bundesliga,Matchweek 3,Sat,Away,L,0,2,Hoffenheim,1.9,0.6,71.0,30150,Manuel Neuer,4-2-3-1,3-1-4-2,Daniel Siebert,Match Report,,2017-2018,Bayern Munich
2017-09-12,20:45,Champions Lg,Group stage,Tue,Home,W,3,0,be Anderlecht,4.2,0.8,75.0,70000,Manuel Neuer,4-2-3-1,5-4-1,Paolo Tagliavento,Match Report,,2017-2018,Bayern Munich
2017-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,W,4,0,Mainz 05,3.8,0.8,74.0,75000,Manuel Neuer,4-2-3-1,3-4-3,Sascha Stegemann,Match Report,,2017-2018,Bayern Munich
2017-09-19,20:30,Bundesliga,Matchweek 5,Tue,Away,W,3,0,Schalke 04,2.3,1.2,66.0,62271,Thomas Müller,4-2-3-1,3-4-3,Marco Fritz,Match Report,,2017-2018,Bayern Munich
2017-09-22,20:30,Bundesliga,Matchweek 6,Fri,Home,D,2,2,Wolfsburg,2.4,0.8,59.0,75000,Thomas Müller,4-2-3-1,4-1-4-1,Christian Dingert,Match Report,,2017-2018,Bayern Munich
2017-09-27,20:45,Champions Lg,Group stage,Wed,Away,L,0,3,fr Paris S-G,1.0,2.0,63.0,46252,Thomas Müller,4-3-3,4-3-3,Antonio Matéu Lahoz,Match Report,,2017-2018,Bayern Munich
2017-10-01,15:30,Bundesliga,Matchweek 7,Sun,Away,D,2,2,Hertha BSC,1.3,1.4,67.0,71212,Thomas Müller,4-2-3-1,4-2-3-1,Harm Osmers,Match Report,,2017-2018,Bayern Munich
