Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-20,20:15,La Liga,Matchweek 1,Sun,Away,L,0,2,Barcelona,0.1,1.1,39.0,56480,Joaquín,4-1-4-1,4-4-1-1,Daniel Trujillo,Match Report,,2017-2018,Betis
2017-08-25,22:00,La Liga,Matchweek 2,Fri,Home,W,2,1,Celta Vigo,1.6,0.3,46.0,45761,Joaquín,4-1-4-1,4-3-3,Ricardo de Burgos,Match Report,,2017-2018,Betis
2017-09-10,20:45,La Liga,Matchweek 3,Sun,Away,L,1,3,Villarreal,0.9,1.5,51.0,18638,Joaquín,4-3-3,4-4-2,David Medié,Match Report,,2017-2018,Betis
2017-09-16,18:30,La Liga,Matchweek 4,Sat,Home,W,2,1,La Coruña,2.6,0.5,61.0,46174,Joaquín,4-3-3,4-2-3-1,Alberto Undiano,Match Report,,2017-2018,Betis
2017-09-20,22:00,La Liga,Matchweek 5,Wed,Away,W,1,0,Real Madrid,1.1,3.5,40.0,65102,Antonio Adán,4-3-3,4-3-1-2,Antonio Matéu Lahoz,Match Report,,2017-2018,Betis
2017-09-25,21:00,La Liga,Matchweek 6,Mon,Home,W,4,0,Levante,2.2,0.4,67.0,48237,Joaquín,4-1-4-1,4-5-1,Pablo González,Match Report,,2017-2018,Betis
2017-10-01,12:00,La Liga,Matchweek 7,Sun,Away,D,4,4,Real Sociedad,2.1,1.7,44.0,19669,Joaquín,4-3-3,4-3-3,Alfonso Álvarez,Match Report,,2017-2018,Betis
2017-10-15,20:45,La Liga,Matchweek 8,Sun,Home,L,3,6,Valencia,2.6,1.7,59.0,48792,Joaquín,4-3-3,4-4-2,José Sánchez,Match Report,,2017-2018,Betis
2017-10-21,16:15,La Liga,Matchweek 9,Sat,Home,W,2,0,Alavés,0.8,0.7,67.0,49243,Joaquín,4-1-4-1,5-4-1,Daniel Trujillo,Match Report,,2017-2018,Betis
2017-10-24,21:30,Copa del Rey,Round of 32,Tue,Away,W,2,1,Cádiz,,,,14977,,,,Alberola Rojas,Match Report,Leg 1 of 2,2017-2018,Betis
2017-10-30,21:00,La Liga,Matchweek 10,Mon,Away,L,0,1,Espanyol,0.4,0.9,60.0,17856,Joaquín,4-3-3,4-4-2,Ignacio Iglesias,Match Report,,2017-2018,Betis
2017-11-03,21:00,La Liga,Matchweek 11,Fri,Home,D,2,2,Getafe,1.3,0.8,74.0,42323,Joaquín,4-1-4-1,4-4-2,Antonio Matéu Lahoz,Match Report,,2017-2018,Betis
2017-11-20,21:00,La Liga,Matchweek 12,Mon,Away,L,0,5,Eibar,0.8,2.2,57.0,4638,Antonio Adán,4-1-4-1,4-4-2,José González,Match Report,,2017-2018,Betis
