Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-07-28,15:30,2. Bundesliga,Matchweek 1,Sun,Away,L,1,3,Jahn R'burg,61,10268.0,Anthony Losilla,4-4-2,4-2-2-2,Robert Schröder,Match Report,,2019-2020,Bochum
2019-08-02,18:30,2. Bundesliga,Matchweek 2,Fri,Home,D,3,3,Arminia,53,21708.0,Anthony Losilla,4-2-3-1,4-4-2,Martin Petersen,Match Report,,2019-2020,Bochum
2019-08-10,18:30,DFB-Pokal,First round,Sat,Away,W,3,2,Baunatal,68,5748.0,Anthony Losilla,4-2-3-1,3-5-2,Wolfgang Haslberger,Match Report,,2019-2020,Bochum
2019-08-16,18:30,2. Bundesliga,Matchweek 3,Fri,Away,L,0,1,Hamburger SV,40,41737.0,Anthony Losilla,4-2-3-1,4-1-4-1,Christian Dingert,Match Report,,2019-2020,Bochum
2019-08-24,13:00,2. Bundesliga,Matchweek 4,Sat,Home,D,3,3,Wehen,68,14189.0,Anthony Losilla,3-4-3,4-2-3-1,Daniel Schlager,Match Report,,2019-2020,Bochum
2019-09-02,20:30,2. Bundesliga,Matchweek 5,Mon,Away,L,1,2,Stuttgart,34,48624.0,Anthony Losilla,4-2-3-1,4-4-2,Manuel Gräfe,Match Report,,2019-2020,Bochum
2019-09-15,13:30,2. Bundesliga,Matchweek 6,Sun,Home,D,2,2,Dresden,54,16859.0,Anthony Losilla,4-2-3-1,3-4-3,Christof Günsch,Match Report,,2019-2020,Bochum
2019-09-21,13:00,2. Bundesliga,Matchweek 7,Sat,Away,D,1,1,Sandhausen,54,5339.0,Anthony Losilla,4-2-3-1,4-4-2,Pascal Müller,Match Report,,2019-2020,Bochum
2019-09-28,13:00,2. Bundesliga,Matchweek 8,Sat,Home,D,2,2,Darmstadt 98,49,14321.0,Anthony Losilla,4-2-3-1,4-2-3-1,René Rohde,Match Report,,2019-2020,Bochum
2019-10-06,13:30,2. Bundesliga,Matchweek 9,Sun,Away,W,3,2,Heidenheim,35,10350.0,Anthony Losilla,4-3-3,4-1-3-2,Michael Bacher,Match Report,,2019-2020,Bochum
2019-10-20,13:30,2. Bundesliga,Matchweek 10,Sun,Home,D,3,3,Karlsruher,59,14954.0,Anthony Losilla,4-1-4-1,4-1-4-1,Nicolas Winter,Match Report,,2019-2020,Bochum
2019-10-25,18:30,2. Bundesliga,Matchweek 11,Fri,Away,L,1,2,Holstein Kiel,51,12390.0,Anthony Losilla,4-2-3-1,4-4-2,Timo Gerach,Match Report,,2019-2020,Bochum
2019-10-29,20:00,DFB-Pokal,Second round,Tue,Home,L,1,2,Bayern Munich,35,26600.0,Anthony Losilla,4-2-3-1,4-3-3,Robert Schröder,Match Report,,2019-2020,Bochum
2019-11-04,20:30,2. Bundesliga,Matchweek 12,Mon,Home,W,3,1,Nürnberg,51,16046.0,Anthony Losilla,4-2-3-1,4-1-4-1,Matthias Jöllenbeck,Match Report,,2019-2020,Bochum
2019-11-08,18:30,2. Bundesliga,Matchweek 13,Fri,Away,D,1,1,St. Pauli,54,29546.0,Anthony Losilla,4-2-3-1,4-1-4-1,Florian Badstübner,Match Report,,2019-2020,Bochum
2019-11-22,18:30,2. Bundesliga,Matchweek 14,Fri,Home,D,1,1,Osnabrück,46,20760.0,Anthony Losilla,4-2-3-1,4-4-2,Benedikt Kempkes,Match Report,,2019-2020,Bochum
2019-11-30,13:00,2. Bundesliga,Matchweek 15,Sat,Home,W,2,0,Erzgebirge Aue,65,14794.0,Anthony Losilla,4-2-3-1,4-2-3-1,Patrick Alt,Match Report,,2019-2020,Bochum
2019-12-07,13:00,2. Bundesliga,Matchweek 16,Sat,Away,L,1,3,Greuther Fürth,56,8875.0,Manuel Riemann,4-2-3-1,4-4-2,Nicolas Winter,Match Report,,2019-2020,Bochum
2019-12-13,18:30,2. Bundesliga,Matchweek 17,Fri,Home,W,2,1,Hannover 96,45,16519.0,Anthony Losilla,4-4-2,4-2-3-1,Florian Badstübner,Match Report,,2019-2020,Bochum
2019-12-22,13:30,2. Bundesliga,Matchweek 18,Sun,Home,L,2,3,Jahn R'burg,66,18679.0,Anthony Losilla,4-4-2,4-4-2,Tobias Reichel,Match Report,,2019-2020,Bochum
2020-01-28,18:30,2. Bundesliga,Matchweek 19,Tue,Away,L,0,2,Arminia,47,19685.0,Anthony Losilla,4-4-2◆,4-2-3-1,Robert Kempter,Match Report,,2019-2020,Bochum
2020-02-03,20:30,2. Bundesliga,Matchweek 20,Mon,Home,L,1,3,Hamburger SV,45,24421.0,Anthony Losilla,4-1-4-1,4-3-3,Daniel Schlager,Match Report,,2019-2020,Bochum
2020-02-09,13:30,2. Bundesliga,Matchweek 21,Sun,Away,W,1,0,Wehen,59,5373.0,Anthony Losilla,4-2-3-1,3-4-3,Daniel Siebert,Match Report,,2019-2020,Bochum
2020-02-17,20:30,2. Bundesliga,Matchweek 22,Mon,Home,L,0,1,Stuttgart,38,18090.0,Anthony Losilla,4-2-3-1,3-4-3,Frank Willenborg,Match Report,,2019-2020,Bochum
2020-02-22,13:00,2. Bundesliga,Matchweek 23,Sat,Away,W,2,1,Dresden,50,26279.0,Anthony Losilla,4-2-3-1,4-4-2,Lasse Koslowski,Match Report,,2019-2020,Bochum
2020-03-01,13:30,2. Bundesliga,Matchweek 24,Sun,Home,D,4,4,Sandhausen,46,13807.0,Anthony Losilla,4-1-4-1,4-3-1-2,Johann Pfeifer,Match Report,,2019-2020,Bochum
2020-03-07,13:00,2. Bundesliga,Matchweek 25,Sat,Away,D,0,0,Darmstadt 98,51,15125.0,Anthony Losilla,4-1-4-1,4-2-3-1,Tobias Reichel,Match Report,,2019-2020,Bochum
2020-05-16,13:00,2. Bundesliga,Matchweek 26,Sat,Home,W,3,0,Heidenheim,57,,Anthony Losilla,4-2-3-1,4-2-3-1,Florian Heft,Match Report,,2019-2020,Bochum
2020-05-24,13:30,2. Bundesliga,Matchweek 27,Sun,Away,D,0,0,Karlsruher,63,,Anthony Losilla,4-2-3-1,4-5-1,Tobias Welz,Match Report,,2019-2020,Bochum
2020-05-27,18:30,2. Bundesliga,Matchweek 28,Wed,Home,W,2,1,Holstein Kiel,51,,Anthony Losilla,4-2-3-1,4-1-4-1,Guido Winkmann,Match Report,,2019-2020,Bochum
2020-05-30,13:00,2. Bundesliga,Matchweek 29,Sat,Away,D,0,0,Nürnberg,50,,Anthony Losilla,4-2-3-1,4-2-3-1,Alexander Sather,Match Report,,2019-2020,Bochum
2020-06-05,18:30,2. Bundesliga,Matchweek 30,Fri,Home,W,2,0,St. Pauli,57,,Anthony Losilla,4-2-3-1,4-2-3-1,Florian Heft,Match Report,,2019-2020,Bochum
2020-06-13,13:00,2. Bundesliga,Matchweek 31,Sat,Away,W,2,0,Osnabrück,57,,Anthony Losilla,4-2-3-1,4-2-3-1,Bibiana Steinhaus,Match Report,,2019-2020,Bochum
2020-06-17,18:30,2. Bundesliga,Matchweek 32,Wed,Away,W,2,1,Erzgebirge Aue,53,,Anthony Losilla,4-2-3-1,3-4-1-2,Lasse Koslowski,Match Report,,2019-2020,Bochum
2020-06-21,15:30,2. Bundesliga,Matchweek 33,Sun,Home,D,2,2,Greuther Fürth,49,,Anthony Losilla,4-2-3-1,4-3-3,Martin Petersen,Match Report,,2019-2020,Bochum
2020-06-28,15:30,2. Bundesliga,Matchweek 34,Sun,Away,L,0,2,Hannover 96,60,,Anthony Losilla,4-2-3-1,4-4-2,René Rohde,Match Report,,2019-2020,Bochum
