Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-12,20:00,Coppa Italia,Third round,Sat,Home,L,0,3,Cittadella,,,,9184,,,,Rosario Abisso,Match Report,,2017-2018,Bologna
2017-08-20,20:45,Serie A,Matchweek 1,Sun,Home,D,1,1,Torino,0.6,0.4,39.0,19033,Antonio Mirante,4-3-3,4-2-3-1,Davide Massa,Match Report,,2017-2018,Bologna
2017-08-26,18:00,Serie A,Matchweek 2,Sat,Away,W,1,0,Benevento,1.7,0.9,50.0,11054,Antonio Mirante,4-3-3,4-4-2,Giampaolo Calvarese,Match Report,,2017-2018,Bologna
2017-09-10,20:45,Serie A,Matchweek 3,Sun,Home,L,0,3,Napoli,0.3,1.5,37.0,22398,Domenico Maietta,4-2-3-1,4-3-3,Piero Giacomelli,Match Report,,2017-2018,Bologna
2017-09-16,18:00,Serie A,Matchweek 4,Sat,Away,L,1,2,Fiorentina,0.3,0.7,43.0,23802,Antonio Mirante,4-3-3,4-2-3-1,Paolo Valeri,Match Report,,2017-2018,Bologna
2017-09-19,20:45,Serie A,Matchweek 5,Tue,Home,D,1,1,Inter,0.8,1.2,42.0,26067,Antonio Mirante,4-3-3,4-2-3-1,Marco Di Bello,Match Report,,2017-2018,Bologna
2017-09-24,18:00,Serie A,Matchweek 6,Sun,Away,W,1,0,Sassuolo,1.6,0.5,54.0,10805,Angelo da Costa Júnior,3-5-2,3-5-2,Paolo Tagliavento,Match Report,,2017-2018,Bologna
2017-09-30,20:45,Serie A,Matchweek 7,Sat,Away,W,1,0,Genoa,1.0,1.5,47.0,19154,Antonio Mirante,4-3-3,3-4-3,Gianluca Rocchi,Match Report,,2017-2018,Bologna
2017-10-15,15:00,Serie A,Matchweek 8,Sun,Home,W,2,1,SPAL,1.8,0.5,49.0,24074,Antonio Mirante,4-3-3,3-5-2,Marco Guida,Match Report,,2017-2018,Bologna
2017-10-22,15:00,Serie A,Matchweek 9,Sun,Away,L,0,1,Atalanta,0.3,1.9,37.0,18205,Antonio Mirante,4-3-3,3-5-2,Fabio Maresca,Match Report,,2017-2018,Bologna
2017-10-25,20:45,Serie A,Matchweek 10,Wed,Home,L,1,2,Lazio,0.8,2.9,50.0,20070,Antonio Mirante,4-3-3,3-5-1-1,Davide Massa,Match Report,,2017-2018,Bologna
2017-10-28,20:45,Serie A,Matchweek 11,Sat,Away,L,0,1,Roma,0.5,0.7,49.0,35202,Angelo da Costa Júnior,4-3-3,4-3-3,Michael Fabbri,Match Report,,2017-2018,Bologna
2017-11-04,18:00,Serie A,Matchweek 12,Sat,Home,L,2,3,Crotone,1.0,2.0,66.0,33766,Angelo da Costa Júnior,4-3-3,4-4-2,Fabrizio Pasqua,Match Report,,2017-2018,Bologna
2017-11-20,20:45,Serie A,Matchweek 13,Mon,Away,W,3,2,Hellas Verona,1.3,1.8,59.0,14938,Antonio Mirante,4-3-2-1,4-4-1-1,Maurizio Mariani,Match Report,,2017-2018,Bologna
2017-11-25,15:00,Serie A,Matchweek 14,Sat,Home,W,3,0,Sampdoria,1.3,1.4,32.0,20192,Antonio Mirante,4-3-3,4-3-1-2,Fabio Maresca,Match Report,,2017-2018,Bologna
2017-12-03,15:00,Serie A,Matchweek 15,Sun,Home,D,1,1,Cagliari,1.4,1.4,62.0,21940,Antonio Mirante,4-3-3,3-5-1-1,Federico La Penna,Match Report,,2017-2018,Bologna
2017-12-10,20:45,Serie A,Matchweek 16,Sun,Away,L,1,2,Milan,1.1,0.9,42.0,39504,Antonio Mirante,4-3-3,4-3-3,Marco Guida,Match Report,,2017-2018,Bologna
2017-12-17,15:00,Serie A,Matchweek 17,Sun,Home,L,0,3,Juventus,0.2,0.6,41.0,29270,Antonio Mirante,4-3-2-1,4-3-3,Luca Banti,Match Report,,2017-2018,Bologna
2017-12-22,18:00,Serie A,Matchweek 18,Fri,Away,W,3,2,Chievo,1.5,2.2,49.0,7000,Antonio Mirante,4-3-3,4-3-1-2,Gianluca Manganiello,Match Report,,2017-2018,Bologna
