Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-05,15:00,Championship,Matchweek 1,Sat,Away,L,0,1,Sheffield Utd,59,26746,Andreas Bjelland,4-2-3-1,3-5-2,Steve Martin,Match Report,,2017-2018,Brentford
2017-08-08,19:45,EFL Cup,First round,Tue,Away,W,3,1,AFC Wimbledon,55,3229,Harlee Dean,4-2-3-1,4-4-2,Dean Whitestone,Match Report,Required Extra Time,2017-2018,Brentford
2017-08-12,15:00,Championship,Matchweek 2,Sat,Home,L,3,4,Nott'ham Forest,57,10169,John Egan,4-2-3-1,3-4-1-2,James Linington,Match Report,,2017-2018,Brentford
2017-08-15,19:45,Championship,Matchweek 3,Tue,Home,D,2,2,Bristol City,64,9811,Harlee Dean,4-2-3-1,4-4-2,Peter Bankes,Match Report,,2017-2018,Brentford
2017-08-19,15:00,Championship,Matchweek 4,Sat,Away,L,0,2,Ipswich Town,65,15348,Nico Yennaris,4-2-3-1,4-4-2,Oliver Langford,Match Report,,2017-2018,Brentford
2017-08-22,19:45,EFL Cup,Second round,Tue,Away,W,4,1,QPR,50,9719,John Egan,4-4-2,4-4-2,Chris Sarginson,Match Report,,2017-2018,Brentford
2017-08-26,15:00,Championship,Matchweek 5,Sat,Home,D,0,0,Wolves,53,10351,Harlee Dean,4-2-3-1,3-4-3,Tim Robinson,Match Report,,2017-2018,Brentford
2017-09-09,15:00,Championship,Matchweek 6,Sat,Away,D,0,0,Aston Villa,51,29799,Nico Yennaris,4-2-3-1,4-3-3,Scott Duncan,Match Report,,2017-2018,Brentford
2017-09-12,19:45,Championship,Matchweek 7,Tue,Away,L,1,2,Sheffield Weds,54,23536,Nico Yennaris,4-2-3-1,4-4-2,Jeremy Simpson,Match Report,,2017-2018,Brentford
2017-09-16,15:00,Championship,Matchweek 8,Sat,Home,D,1,1,Reading,49,9739,John Egan,4-2-3-1,4-2-3-1,Tony Harrington,Match Report,,2017-2018,Brentford
