Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2020-09-06,13:00,EFL Cup,First round,Sun,Home,D,1 (4),1 (2),Wycombe,,,72,,Luke Daniels,4-3-3,4-3-3,Charles Breakspear,Match Report,Brentford won on penalty kicks following extra time,2020-2021,Brentford
2020-09-12,12:30,Championship,Matchweek 1,Sat,Away,L,0,1,Birmingham City,2.4,1.0,62,,Pontus Jansson,4-5-1,4-2-3-1,Tony Harrington,Match Report,,2020-2021,Brentford
2020-09-16,19:45,EFL Cup,Second round,Wed,Away,W,2,0,Southampton,,,34,,Henrik Dalsgaard,4-3-3,4-4-2,John Brooks,Match Report,,2020-2021,Brentford
2020-09-19,15:00,Championship,Matchweek 2,Sat,Home,W,3,0,Huddersfield,2.7,0.9,44,,Pontus Jansson,4-3-3,4-3-3,Craig Pawson,Match Report,,2020-2021,Brentford
2020-09-22,19:00,EFL Cup,Third round,Tue,Away,D,2 (5),2 (4),West Brom,,,49,,David Raya,4-3-3,4-2-3-1,Darren England,Match Report,Brentford won on penalty kicks following extra time,2020-2021,Brentford
2020-09-26,15:00,Championship,Matchweek 3,Sat,Away,D,1,1,Millwall,1.2,0.6,53,,Pontus Jansson,4-3-3,3-4-3,David Coote,Match Report,,2020-2021,Brentford
2020-10-01,18:30,EFL Cup,Fourth round,Thu,Home,W,3,0,Fulham,,,39,,David Raya,4-3-3,4-2-3-1,Jonathan Moss,Match Report,,2020-2021,Brentford
2020-10-04,15:00,Championship,Matchweek 4,Sun,Home,L,2,4,Preston,1.4,1.6,44,,Pontus Jansson,4-3-3,4-2-3-1,Dean Whitestone,Match Report,,2020-2021,Brentford
2020-10-17,15:00,Championship,Matchweek 5,Sat,Home,W,2,0,Coventry City,2.3,0.8,56,,Pontus Jansson,4-3-3,5-3-2,Andy Woolmer,Match Report,,2020-2021,Brentford
2020-10-21,19:45,Championship,Matchweek 6,Wed,Away,W,2,1,Sheffield Weds,1.2,0.3,53,,Pontus Jansson,4-3-3,3-4-1-2,Darren Bond,Match Report,,2020-2021,Brentford
2020-10-24,15:00,Championship,Matchweek 7,Sat,Away,L,2,3,Stoke City,1.0,1.0,66,,Henrik Dalsgaard,3-4-3,3-4-3,Keith Stroud,Match Report,,2020-2021,Brentford
2020-10-27,19:45,Championship,Matchweek 8,Tue,Home,D,1,1,Norwich City,2.0,0.9,44,,Henrik Dalsgaard,4-3-3,4-2-3-1,Jeremy Simpson,Match Report,,2020-2021,Brentford
2020-10-31,15:00,Championship,Matchweek 9,Sat,Away,W,3,0,Luton Town,2.5,0.2,51,,Henrik Dalsgaard,4-3-3,3-4-1-2,Michael Salisbury,Match Report,,2020-2021,Brentford
2020-11-03,19:00,Championship,Matchweek 10,Tue,Home,D,1,1,Swansea City,1.5,1.1,54,,Henrik Dalsgaard,4-3-3,3-4-1-2,Steve Martin,Match Report,,2020-2021,Brentford
2020-11-07,15:00,Championship,Matchweek 11,Sat,Home,D,0,0,Middlesbrough,0.8,0.6,60,,Henrik Dalsgaard,4-3-3,4-2-3-1,James Linington,Match Report,,2020-2021,Brentford
2020-11-21,15:00,Championship,Matchweek 12,Sat,Away,D,0,0,Wycombe,0.6,0.5,61,,Pontus Jansson,4-3-3,4-1-2-1-2,Lee Mason,Match Report,,2020-2021,Brentford
2020-11-24,19:45,Championship,Matchweek 13,Tue,Away,W,1,0,Barnsley,1.8,0.1,67,,Pontus Jansson,4-3-3,3-4-3,Darren Bond,Match Report,,2020-2021,Brentford
2020-11-27,19:45,Championship,Matchweek 14,Fri,Home,W,2,1,QPR,1.0,1.3,43,,Henrik Dalsgaard,4-3-3,4-2-3-1,Matt Donohue,Match Report,,2020-2021,Brentford
2020-12-01,20:00,Championship,Matchweek 15,Tue,Away,W,2,0,Rotherham Utd,1.6,0.4,63,,Pontus Jansson,4-3-3,3-5-2,Tim Robinson,Match Report,,2020-2021,Brentford
2020-12-05,15:00,Championship,Matchweek 16,Sat,Home,D,2,2,Blackburn,1.4,0.5,67,2000.0,Pontus Jansson,4-3-3,4-3-3,Oliver Langford,Match Report,,2020-2021,Brentford
2020-12-09,19:45,Championship,Matchweek 17,Wed,Home,D,0,0,Derby County,1.3,0.2,58,2000.0,Pontus Jansson,4-3-3,4-2-3-1,David Webb,Match Report,,2020-2021,Brentford
2020-12-12,15:00,Championship,Matchweek 18,Sat,Away,W,3,1,Nott'ham Forest,1.0,0.6,49,,Henrik Dalsgaard,4-3-3,4-1-4-1,Geoff Eltringham,Match Report,,2020-2021,Brentford
2020-12-15,20:00,Championship,Matchweek 19,Tue,Away,D,1,1,Watford,1.9,1.8,54,,Henrik Dalsgaard,4-3-3,4-2-3-1,James Linington,Match Report,,2020-2021,Brentford
2020-12-19,15:00,Championship,Matchweek 20,Sat,Home,W,3,1,Reading,0.8,0.6,45,,Ivan Toney,4-3-3,4-3-3,Keith Stroud,Match Report,,2020-2021,Brentford
2020-12-22,17:30,EFL Cup,Quarter-finals,Tue,Home,W,1,0,Newcastle Utd,,,49,,Luke Daniels,4-3-3,4-2-3-1,Robert Jones,Match Report,,2020-2021,Brentford
2020-12-26,15:00,Championship,Matchweek 21,Sat,Away,W,3,2,Cardiff City,0.8,0.2,59,,Pontus Jansson,4-3-3,4-2-3-1,Dean Whitestone,Match Report,,2020-2021,Brentford
2020-12-30,17:30,Championship,Matchweek 22,Wed,Home,W,2,1,Bournemouth,2.1,1.7,46,,Pontus Jansson,4-3-3,4-3-3,Jarred Gillett,Match Report,,2020-2021,Brentford
2021-01-05,19:45,EFL Cup,Semi-finals,Tue,Away,L,0,2,Tottenham,,,46,,Henrik Dalsgaard,4-3-3,4-2-3-1,Mike Dean,Match Report,,2020-2021,Brentford
