Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-07-30,20:45,Ligue 2,Matchweek 1,Mon,Home,L,0,1,Metz,56.0,8824,Gaëtan Belaud,4-4-2,4-3-3,Eric Wattellier,Match Report,,2018-2019,Brest
2018-08-03,20:00,Ligue 2,Matchweek 2,Fri,Away,W,2,1,Troyes,45.0,6118,Gaëtan Belaud,4-4-2◆,4-2-3-1,Antony Gautier,Match Report,,2018-2019,Brest
2018-08-10,20:00,Ligue 2,Matchweek 3,Fri,Home,D,1,1,Paris FC,53.0,7876,Gaëtan Belaud,4-4-2,4-3-3,Jeremy Stinat,Match Report,,2018-2019,Brest
2018-08-14,20:00,Coupe de la Ligue,First round,Tue,Away,D,1 (4),1 (3),Sochaux,,5887,Mathias Autret,4-3-3,4-3-3,Romain Delpech,Match Report,Brest won on penalty kicks following extra time,2018-2019,Brest
2018-08-17,20:00,Ligue 2,Matchweek 4,Fri,Away,L,0,2,Sochaux,50.0,6583,Gaëtan Belaud,4-1-4-1,4-3-3,Yohann Rouinsard,Match Report,,2018-2019,Brest
2018-08-24,20:00,Ligue 2,Matchweek 5,Fri,Home,W,1,0,Le Havre,57.0,7056,Gaëtan Belaud,4-1-4-1,4-2-3-1,Aurélien Petit,Match Report,,2018-2019,Brest
2018-08-28,20:00,Coupe de la Ligue,Second round,Tue,Away,D,3 (5),3 (6),Le Havre,,3663,Gaëtan Charbonnier,4-1-4-1,4-3-3,Sylvain Palhies,Match Report,Le Havre won on penalty kicks following extra time,2018-2019,Brest
2018-08-31,20:00,Ligue 2,Matchweek 6,Fri,Away,W,2,0,Auxerre,48.0,5595,Gaëtan Belaud,4-1-4-1,3-3-3-1,Benjamin Lepaysant,Match Report,,2018-2019,Brest
2018-09-14,20:00,Ligue 2,Matchweek 7,Fri,Home,W,4,1,Gazélec Ajaccio,53.0,6412,Julien Faussurier,4-2-3-1,4-3-3,Alexandre Perreau Niel,Match Report,,2018-2019,Brest
2018-09-21,20:00,Ligue 2,Matchweek 8,Fri,Away,W,2,1,Grenoble,54.0,6646,Gaëtan Belaud,4-2-3-1,4-3-3,Stéphanie Frappart,Match Report,,2018-2019,Brest
2018-09-28,20:00,Ligue 2,Matchweek 9,Fri,Home,W,5,1,Châteauroux,64.0,6469,Gaëtan Belaud,4-2-3-1,4-3-3,Aurélien Petit,Match Report,,2018-2019,Brest
2018-10-05,20:00,Ligue 2,Matchweek 10,Fri,Away,W,3,1,Valenciennes,44.0,7557,Gaëtan Belaud,4-2-3-1,5-4-1,Benjamin Lepaysant,Match Report,,2018-2019,Brest
2018-10-20,15:00,Ligue 2,Matchweek 11,Sat,Home,W,3,2,Lorient,48.0,13033,Gaëtan Belaud,4-2-3-1,4-4-2,Alain Bieri,Match Report,,2018-2019,Brest
