Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-12,20:30,Coppa Italia,Third round,Sun,Home,W,2,1,Palermo,,,,7000,,,,Paolo Valeri,Match Report,,2018-2019,Cagliari
2018-08-19,20:30,Serie A,Matchweek 1,Sun,Away,L,0,2,Empoli,0.9,1.3,54.0,7335,Luca Ceppitelli,4-3-1-2,4-3-1-2,Daniele Chiffi,Match Report,,2018-2019,Cagliari
2018-08-26,20:30,Serie A,Matchweek 2,Sun,Home,D,2,2,Sassuolo,1.3,1.8,41.0,14432,Daniele Dessena,4-3-1-2,4-3-3,Luca Pairetto,Match Report,,2018-2019,Cagliari
2018-09-02,20:30,Serie A,Matchweek 3,Sun,Away,W,1,0,Atalanta,0.3,0.4,47.0,17709,Marco Sau,4-3-1-2,3-4-1-2,Fabio Maresca,Match Report,,2018-2019,Cagliari
2018-09-16,20:30,Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,0.5,2.1,36.0,16201,Nicolò Barella,4-3-1-2,4-3-3,Rosario Abisso,Match Report,,2018-2019,Cagliari
2018-09-22,15:00,Serie A,Matchweek 5,Sat,Away,L,0,2,Parma,0.9,2.3,72.0,14852,Marco Sau,4-3-1-2,4-3-3,Giampaolo Calvarese,Match Report,,2018-2019,Cagliari
2018-09-26,21:00,Serie A,Matchweek 6,Wed,Home,D,0,0,Sampdoria,1.0,2.1,47.0,14038,Nicolò Barella,4-3-1-2,4-3-1-2,Gianluca Rocchi,Match Report,,2018-2019,Cagliari
2018-09-29,20:30,Serie A,Matchweek 7,Sat,Away,L,0,2,Inter,0.2,1.0,50.0,55486,Daniele Dessena,4-3-1-2,4-2-3-1,Davide Massa,Match Report,,2018-2019,Cagliari
2018-10-06,15:00,Serie A,Matchweek 8,Sat,Home,W,2,0,Bologna,1.7,0.4,52.0,15019,Nicolò Barella,4-3-1-2,3-1-4-2,Fabrizio Pasqua,Match Report,,2018-2019,Cagliari
2018-10-21,18:00,Serie A,Matchweek 9,Sun,Away,D,1,1,Fiorentina,1.0,1.6,43.0,31567,Luca Ceppitelli,4-3-1-2,4-3-3,Piero Giacomelli,Match Report,,2018-2019,Cagliari
2018-10-28,15:00,Serie A,Matchweek 10,Sun,Home,W,2,1,Chievo,1.5,1.2,49.0,15805,Luca Ceppitelli,4-3-1-2,5-3-2,Marco Piccinini,Match Report,,2018-2019,Cagliari
2018-11-03,20:30,Serie A,Matchweek 11,Sat,Away,L,1,3,Juventus,0.7,1.8,47.0,40644,Luca Ceppitelli,4-3-1-2,4-3-3,Maurizio Mariani,Match Report,,2018-2019,Cagliari
2018-11-10,18:00,Serie A,Matchweek 12,Sat,Away,D,2,2,SPAL,1.2,1.7,53.0,13250,Luca Ceppitelli,4-3-1-2,3-5-2,Daniele Doveri,Match Report,,2018-2019,Cagliari
2018-11-26,20:30,Serie A,Matchweek 13,Mon,Home,D,0,0,Torino,0.2,0.7,50.0,15804,Daniele Dessena,4-3-1-2,3-5-2,Fabrizio Pasqua,Match Report,,2018-2019,Cagliari
