Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-18,18:15,La Liga,Matchweek 1,Sat,Home,D,1,1,Espanyol,0.6,0.6,48,16215,Hugo Mallo,4-2-3-1,4-3-3,Santiago Jaime,Match Report,,2018-2019,Celta Vigo
2018-08-27,20:15,La Liga,Matchweek 2,Mon,Away,W,2,1,Levante,2.5,1.9,45,21122,Hugo Mallo,3-4-3,4-2-3-1,Alejandro Hernández,Match Report,,2018-2019,Celta Vigo
2018-09-01,18:30,La Liga,Matchweek 3,Sat,Home,W,2,0,Atlético Madrid,0.5,0.4,50,19013,Hugo Mallo,3-4-3,4-4-2,Antonio Matéu Lahoz,Match Report,,2018-2019,Celta Vigo
2018-09-17,21:00,La Liga,Matchweek 4,Mon,Away,L,2,3,Girona,1.0,1.7,67,9849,Hugo Mallo,3-4-3,3-4-3,Alberola Rojas,Match Report,,2018-2019,Celta Vigo
2018-09-22,16:15,La Liga,Matchweek 5,Sat,Home,D,3,3,Valladolid,1.9,2.1,47,16552,Iago Aspas,4-4-2,4-1-4-1,Eduardo Prieto,Match Report,,2018-2019,Celta Vigo
2018-09-26,22:00,La Liga,Matchweek 6,Wed,Away,D,1,1,Valencia,0.4,1.1,63,35945,Hugo Mallo,5-3-2,4-4-2,Ricardo de Burgos,Match Report,,2018-2019,Celta Vigo
2018-10-01,21:00,La Liga,Matchweek 7,Mon,Home,D,1,1,Getafe,0.5,1.2,52,14330,Hugo Mallo,4-4-2,4-4-2,Guillermo Cuadra,Match Report,,2018-2019,Celta Vigo
2018-10-07,18:30,La Liga,Matchweek 8,Sun,Away,L,1,2,Sevilla,0.7,1.8,48,38068,Hugo Mallo,3-4-3,3-5-1-1,Pablo González,Match Report,,2018-2019,Celta Vigo
2018-10-19,21:00,La Liga,Matchweek 9,Fri,Home,L,0,1,Alavés,0.9,0.9,61,15627,Hugo Mallo,4-4-2,4-3-3,Carlos del Cerro,Match Report,,2018-2019,Celta Vigo
2018-10-27,18:30,La Liga,Matchweek 10,Sat,Home,W,4,0,Eibar,0.8,1.7,40,15509,Hugo Mallo,4-2-3-1,4-4-2,José González,Match Report,,2018-2019,Celta Vigo
2018-11-01,16:15,Copa del Rey,Round of 32,Thu,Home,D,1,1,Real Sociedad,,,50,15195,Iago Aspas,4-4-2,4-1-4-1,José Luis Munuera,Match Report,Leg 1 of 2,2018-2019,Celta Vigo
2018-11-04,20:45,La Liga,Matchweek 11,Sun,Away,D,3,3,Betis,2.1,1.7,43,42130,Hugo Mallo,4-4-2,3-4-3,Javier Estrada,Match Report,,2018-2019,Celta Vigo
2018-11-11,20:45,La Liga,Matchweek 12,Sun,Home,L,2,4,Real Madrid,0.9,2.5,52,21184,Hugo Mallo,4-4-2,4-3-3,Alberto Undiano,Match Report,,2018-2019,Celta Vigo
2018-11-26,21:00,La Liga,Matchweek 13,Mon,Away,L,1,2,Real Sociedad,0.5,1.9,51,17744,Iago Aspas,4-2-3-1,4-4-2,Mario Melero,Match Report,,2018-2019,Celta Vigo
2018-12-01,13:00,La Liga,Matchweek 14,Sat,Home,W,2,0,Huesca,2.3,1.2,58,13463,Hugo Mallo,4-4-2,4-2-3-1,Adrián Cordero,Match Report,,2018-2019,Celta Vigo
2018-12-05,20:30,Copa del Rey,Round of 32,Wed,Away,L,0,2,Real Sociedad,,,62,21336,Sergio Álvarez,3-4-3,4-2-3-1,José Sánchez,Match Report,Leg 2 of 2; Real Sociedad won,2018-2019,Celta Vigo
2018-12-08,18:30,La Liga,Matchweek 15,Sat,Away,W,3,2,Villarreal,2.0,1.6,47,15720,Hugo Mallo,4-4-2,4-1-2-1-2,Jesús Gil,Match Report,,2018-2019,Celta Vigo
2018-12-14,21:00,La Liga,Matchweek 16,Fri,Home,D,0,0,Leganés,1.2,0.7,80,15134,Hugo Mallo,4-4-2,5-3-2,José Luis Munuera,Match Report,,2018-2019,Celta Vigo
2018-12-22,18:30,La Liga,Matchweek 17,Sat,Away,L,0,2,Barcelona,0.6,1.4,48,78686,Hugo Mallo,4-4-2,4-3-3,Eduardo Prieto,Match Report,,2018-2019,Celta Vigo
2019-01-07,21:00,La Liga,Matchweek 18,Mon,Home,L,1,2,Athletic Club,1.5,1.8,65,13266,Hugo Mallo,4-2-3-1,4-2-3-1,Juan Martínez,Match Report,,2018-2019,Celta Vigo
2019-01-11,21:00,La Liga,Matchweek 19,Fri,Away,L,2,4,Rayo Vallecano,1.3,2.0,60,11465,Hugo Mallo,4-1-4-1,3-5-2,Alberola Rojas,Match Report,,2018-2019,Celta Vigo
2019-01-19,20:45,La Liga,Matchweek 20,Sat,Home,L,1,2,Valencia,0.8,1.2,56,15668,Hugo Mallo,4-2-3-1,4-4-2,José González,Match Report,,2018-2019,Celta Vigo
2019-01-27,12:00,La Liga,Matchweek 21,Sun,Away,L,1,2,Valladolid,1.0,1.6,55,18416,Hugo Mallo,4-2-3-1,4-4-2,José Sánchez,Match Report,,2018-2019,Celta Vigo
2019-02-02,20:45,La Liga,Matchweek 22,Sat,Home,W,1,0,Sevilla,1.0,0.9,44,17503,Hugo Mallo,4-1-4-1,3-1-4-2,Ricardo de Burgos,Match Report,,2018-2019,Celta Vigo
2019-02-09,13:00,La Liga,Matchweek 23,Sat,Away,L,1,3,Getafe,0.9,2.7,51,9918,Hugo Mallo,3-4-3,4-4-2,Pablo González,Match Report,,2018-2019,Celta Vigo
2019-02-16,13:00,La Liga,Matchweek 24,Sat,Home,L,1,4,Levante,1.6,2.8,58,15479,Hugo Mallo,4-2-3-1,3-5-2,Santiago Jaime,Match Report,,2018-2019,Celta Vigo
2019-02-23,18:30,La Liga,Matchweek 25,Sat,Away,D,0,0,Alavés,0.5,1.4,52,18882,Hugo Mallo,3-4-3,4-3-3,Carlos del Cerro,Match Report,,2018-2019,Celta Vigo
2019-03-03,12:00,La Liga,Matchweek 26,Sun,Away,L,0,1,Eibar,0.5,2.5,38,4682,Hugo Mallo,5-4-1,4-4-2,Guillermo Cuadra,Match Report,,2018-2019,Celta Vigo
2019-03-10,12:00,La Liga,Matchweek 27,Sun,Home,L,0,1,Betis,0.4,1.2,38,18005,Hugo Mallo,4-4-1-1,3-1-4-2,Javier Estrada,Match Report,,2018-2019,Celta Vigo
2019-03-16,16:15,La Liga,Matchweek 28,Sat,Away,L,0,2,Real Madrid,0.4,2.5,46,65054,Rubén Blanco,4-2-3-1,4-2-3-1,Juan Martínez,Match Report,,2018-2019,Celta Vigo
2019-03-30,18:30,La Liga,Matchweek 29,Sat,Home,W,3,2,Villarreal,1.8,2.5,63,22315,Hugo Mallo,4-4-2,3-4-3,Jesús Gil,Match Report,,2018-2019,Celta Vigo
2019-04-03,20:30,La Liga,Matchweek 30,Wed,Away,D,3,3,Huesca,2.0,3.3,47,6552,Hugo Mallo,4-4-2,5-3-2,Adrián Cordero,Match Report,,2018-2019,Celta Vigo
2019-04-07,18:30,La Liga,Matchweek 31,Sun,Home,W,3,1,Real Sociedad,3.0,1.4,48,20519,Hugo Mallo,4-1-3-2,4-4-2,Mario Melero,Match Report,,2018-2019,Celta Vigo
2019-04-13,18:30,La Liga,Matchweek 32,Sat,Away,L,0,2,Atlético Madrid,0.5,1.5,44,55269,Hugo Mallo,4-2-3-1,4-4-2,Ricardo de Burgos,Match Report,,2018-2019,Celta Vigo
2019-04-20,13:00,La Liga,Matchweek 33,Sat,Home,W,2,1,Girona,1.8,0.4,62,20546,Hugo Mallo,4-4-2,4-2-3-1,Carlos del Cerro,Match Report,,2018-2019,Celta Vigo
2019-04-24,20:30,La Liga,Matchweek 34,Wed,Away,D,1,1,Espanyol,2.7,2.2,52,15680,Hugo Mallo,4-4-2,4-4-2,Alberto Undiano,Match Report,,2018-2019,Celta Vigo
2019-04-27,18:30,La Liga,Matchweek 35,Sat,Away,D,0,0,Leganés,0.3,0.5,52,10324,Hugo Mallo,4-4-2,3-1-4-2,Juan Martínez,Match Report,,2018-2019,Celta Vigo
