Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-06,14:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,,,,83325,Gary Cahill,3-4-3,3-4-3,Robert Madley,Match Report,,2017-2018,Chelsea
2017-08-12,15:00,Premier League,Matchweek 1,Sat,Home,L,2,3,Burnley,1.5,0.6,62.0,41616,Gary Cahill,3-4-3,4-4-1-1,Craig Pawson,Match Report,,2017-2018,Chelsea
2017-08-20,16:00,Premier League,Matchweek 2,Sun,Away,W,2,1,Tottenham,0.7,0.7,32.0,73587,César Azpilicueta,3-5-1-1,4-3-2-1,Anthony Taylor,Match Report,,2017-2018,Chelsea
2017-08-27,13:30,Premier League,Matchweek 3,Sun,Home,W,2,0,Everton,1.0,0.4,57.0,41382,César Azpilicueta,3-4-3,3-4-3,Jonathan Moss,Match Report,,2017-2018,Chelsea
2017-09-09,15:00,Premier League,Matchweek 4,Sat,Away,W,2,1,Leicester City,0.8,1.4,59.0,30923,César Azpilicueta,3-4-3,4-4-2,Lee Mason,Match Report,,2017-2018,Chelsea
2017-09-12,19:45,Champions Lg,Group stage,Tue,Home,W,6,0,az Qarabağ,2.0,0.3,54.0,41150,Gary Cahill,3-4-3,4-1-4-1,Tasos Sidiropoulos,Match Report,,2017-2018,Chelsea
2017-09-17,13:30,Premier League,Matchweek 5,Sun,Home,D,0,0,Arsenal,0.8,1.4,51.0,41478,Gary Cahill,3-4-3,3-4-3,Michael Oliver,Match Report,,2017-2018,Chelsea
2017-09-20,19:45,EFL Cup,Third round,Wed,Home,W,5,1,Nott'ham Forest,,,66.0,40621,Gary Cahill,3-4-3,3-5-2,Chris Kavanagh,Match Report,,2017-2018,Chelsea
2017-09-23,15:00,Premier League,Matchweek 6,Sat,Away,W,4,0,Stoke City,1.4,0.8,55.0,29661,César Azpilicueta,3-4-3,3-4-3,Mike Dean,Match Report,,2017-2018,Chelsea
2017-09-27,20:45,Champions Lg,Group stage,Wed,Away,W,2,1,es Atlético Madrid,2.5,1.4,50.0,60643,Gary Cahill,3-5-1-1,4-4-2,Cüneyt Çakιr,Match Report,,2017-2018,Chelsea
