Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2021-08-07,19:00,Coppa Italia,Preliminary round,Sat,Home,D,2 (3),2 (4),Catanzaro,,,,346,,,,Matteo Marcenaro,Match Report,Catanzaro won on penalty kicks following extra time,2021-2022,Como
2021-08-22,20:30,Serie B,Matchweek 1,Sun,Away,D,2,2,Crotone,2.5,1.6,40.0,2500,Alessandro Bellemo,4-4-2,3-4-3,Daniele Doveri,Match Report,,2021-2022,Como
2021-08-29,20:30,Serie B,Matchweek 2,Sun,Away,D,1,1,Lecce,1.1,1.3,38.0,6192,Alessandro Bellemo,4-4-2,4-3-3,Matteo Marchetti,Match Report,,2021-2022,Como
2021-09-11,14:00,Serie B,Matchweek 3,Sat,Home,L,0,1,Ascoli,1.5,1.5,50.0,2297,Alessandro Bellemo,4-4-2,4-1-2-1-2,Antonio Giua,Match Report,,2021-2022,Como
2021-09-17,18:00,Serie B,Matchweek 4,Fri,Home,L,0,2,Frosinone,0.9,1.6,57.0,1645,Alessandro Bellemo,4-4-2,4-4-2,Matteo Marcenaro,Match Report,,2021-2022,Como
2021-09-21,20:30,Serie B,Matchweek 5,Tue,Away,L,0,2,Cosenza,1.0,0.2,60.0,4500,Alessandro Bellemo,4-4-2,3-5-2,Juan Sacchi,Match Report,,2021-2022,Como
2021-09-25,14:00,Serie B,Matchweek 6,Sat,Home,D,1,1,Benevento,1.4,1.0,46.0,2189,Alessandro Bellemo,4-4-2,4-3-3,Luca Zufferli,Match Report,,2021-2022,Como
2021-10-03,14:00,Serie B,Matchweek 7,Sun,Away,W,4,2,Brescia,2.2,2.1,33.0,5000,Alessandro Bellemo,4-4-2,4-3-3,Gianpiero Miele,Match Report,,2021-2022,Como
2021-10-16,18:30,Serie B,Matchweek 8,Sat,Home,W,2,0,Alessandria,1.4,0.4,49.0,2869,Alessandro Bellemo,4-4-2,3-4-1-2,Ivan Pezzuto,Match Report,,2021-2022,Como
2021-10-24,20:30,Serie B,Matchweek 9,Sun,Away,D,1,1,SPAL,1.6,1.5,36.0,4915,Alessandro Bellemo,4-4-2,4-2-3-1,Eugenio Abbattista,Match Report,,2021-2022,Como
2021-10-28,20:30,Serie B,Matchweek 10,Thu,Home,W,1,0,Pordenone,1.6,1.5,38.0,2065,Alessandro Bellemo,4-4-2,4-3-3,Daniele Paterna,Match Report,,2021-2022,Como
2021-11-01,15:00,Serie B,Matchweek 11,Mon,Away,W,2,1,Ternana,0.9,2.4,39.0,3426,Alessandro Bellemo,4-4-2,4-2-3-1,Rosario Abisso,Match Report,,2021-2022,Como
2021-11-06,14:00,Serie B,Matchweek 12,Sat,Home,W,4,1,Perugia,2.0,1.5,38.0,2471,Alessandro Bellemo,4-4-2,3-4-1-2,Cosso Cosso,Match Report,,2021-2022,Como
2021-11-21,16:15,Serie B,Matchweek 13,Sun,Away,L,2,3,Monza,1.4,1.5,40.0,6525,Alessandro Bellemo,4-4-2,3-5-2,Marco Serra,Match Report,,2021-2022,Como
2021-11-28,20:30,Serie B,Matchweek 14,Sun,Home,D,1,1,Parma,2.1,1.7,48.0,3191,Alessandro Bellemo,4-4-2,3-5-2,Davide Massa,Match Report,,2021-2022,Como
2021-12-01,20:30,Serie B,Matchweek 15,Wed,Away,D,2,2,Cittadella,2.3,1.2,48.0,1355,Alessandro Bellemo,4-4-2,4-3-1-2,Eugenio Abbattista,Match Report,,2021-2022,Como
