Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-20,20:45,DFB-Pokal,First round,Mon,Away,W,2,1,Greuther Fürth,,,70,15500,Marco Reus,4-3-3,4-1-4-1,Manuel Gräfe,Match Report,Required Extra Time,2018-2019,Dortmund
2018-08-26,18:00,Bundesliga,Matchweek 1,Sun,Home,W,4,1,RB Leipzig,1.4,1.6,47,80365,Marco Reus,4-3-3,4-2-2-2,Deniz Aytekin,Match Report,,2018-2019,Dortmund
2018-08-31,20:30,Bundesliga,Matchweek 2,Fri,Away,D,0,0,Hannover 96,0.8,0.5,44,49000,Marco Reus,4-3-3,3-4-1-2,Felix Zwayer,Match Report,,2018-2019,Dortmund
2018-09-14,20:30,Bundesliga,Matchweek 3,Fri,Home,W,3,1,Eint Frankfurt,1.6,0.3,60,81000,Marco Reus,4-2-3-1,4-2-3-1,Benjamin Cortus,Match Report,,2018-2019,Dortmund
2018-09-18,21:00,Champions Lg,Group stage,Tue,Away,W,1,0,be Club Brugge,1.0,0.6,64,25181,Marco Reus,4-2-3-1,3-1-4-2,Danny Makkelie,Match Report,,2018-2019,Dortmund
2018-09-22,15:30,Bundesliga,Matchweek 4,Sat,Away,D,1,1,Hoffenheim,1.3,2.0,60,30150,Marco Reus,4-2-3-1,3-5-2,Harm Osmers,Match Report,,2018-2019,Dortmund
2018-09-26,20:30,Bundesliga,Matchweek 5,Wed,Home,W,7,0,Nürnberg,1.9,0.2,72,75700,Marco Reus,4-2-3-1,5-3-2,Patrick Ittrich,Match Report,,2018-2019,Dortmund
2018-09-29,18:30,Bundesliga,Matchweek 6,Sat,Away,W,4,2,Leverkusen,2.7,0.9,57,30210,Marco Reus,4-2-3-1,4-2-3-1,Felix Brych,Match Report,,2018-2019,Dortmund
2018-10-03,21:00,Champions Lg,Group stage,Wed,Home,W,3,0,fr Monaco,3.2,0.5,58,66099,Marco Reus,4-2-3-1,3-4-1-2,Aliaksei Kulbakou,Match Report,,2018-2019,Dortmund
2018-10-06,15:30,Bundesliga,Matchweek 7,Sat,Home,W,4,3,Augsburg,2.1,2.5,65,81365,Marco Reus,4-2-3-1,4-2-2-2,Markus Schmidt,Match Report,,2018-2019,Dortmund
2018-10-20,15:30,Bundesliga,Matchweek 8,Sat,Away,W,4,0,Stuttgart,0.9,1.0,49,59000,Marco Reus,4-2-3-1,4-3-3,Manuel Gräfe,Match Report,,2018-2019,Dortmund
2018-10-24,21:00,Champions Lg,Group stage,Wed,Home,W,4,0,es Atlético Madrid,2.0,0.6,49,66099,Marco Reus,4-2-3-1,4-2-2-2,Anthony Taylor,Match Report,,2018-2019,Dortmund
2018-10-27,15:30,Bundesliga,Matchweek 9,Sat,Home,D,2,2,Hertha BSC,3.6,2.4,58,81000,Marco Reus,4-2-3-1,3-4-3,Sascha Stegemann,Match Report,,2018-2019,Dortmund
2018-10-31,18:30,DFB-Pokal,Second round,Wed,Home,W,3,2,Union Berlin,,,64,72732,Julian Weigl,4-2-3-1,4-2-3-1,Guido Winkmann,Match Report,Required Extra Time,2018-2019,Dortmund
2018-11-03,15:30,Bundesliga,Matchweek 10,Sat,Away,W,1,0,Wolfsburg,1.2,0.5,56,30000,Marco Reus,4-2-3-1,4-3-3,Daniel Siebert,Match Report,,2018-2019,Dortmund
2018-11-06,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,es Atlético Madrid,0.6,1.5,68,61023,Marco Reus,4-2-3-1,4-4-2,Daniele Orsato,Match Report,,2018-2019,Dortmund
2018-11-10,18:30,Bundesliga,Matchweek 11,Sat,Home,W,3,2,Bayern Munich,2.7,1.9,42,81365,Marco Reus,4-2-3-1,4-2-3-1,Manuel Gräfe,Match Report,,2018-2019,Dortmund
2018-11-24,15:30,Bundesliga,Matchweek 12,Sat,Away,W,2,1,Mainz 05,1.0,1.2,65,33305,Marco Reus,4-2-3-1,5-3-2,Deniz Aytekin,Match Report,,2018-2019,Dortmund
2018-11-28,21:00,Champions Lg,Group stage,Wed,Home,D,0,0,be Club Brugge,1.2,0.3,73,66099,Marco Reus,4-2-3-1,4-4-2,Gediminas Mažeika,Match Report,,2018-2019,Dortmund
2018-12-01,15:30,Bundesliga,Matchweek 13,Sat,Home,W,2,0,Freiburg,2.7,0.2,67,81365,Marco Reus,4-2-3-1,5-4-1,Frank Willenborg,Match Report,,2018-2019,Dortmund
2018-12-08,15:30,Bundesliga,Matchweek 14,Sat,Away,W,2,1,Schalke 04,0.7,1.3,54,61767,Marco Reus,4-2-3-1,4-3-1-2,Daniel Siebert,Match Report,,2018-2019,Dortmund
2018-12-11,21:00,Champions Lg,Group stage,Tue,Away,W,2,0,fr Monaco,2.6,0.6,62,8731,Mario Götze,4-2-3-1,4-1-4-1,Craig Pawson,Match Report,,2018-2019,Dortmund
2018-12-15,18:30,Bundesliga,Matchweek 15,Sat,Home,W,2,1,Werder Bremen,2.9,0.6,52,81365,Marco Reus,4-2-3-1,4-1-2-1-2,Guido Winkmann,Match Report,,2018-2019,Dortmund
2018-12-18,20:30,Bundesliga,Matchweek 16,Tue,Away,L,1,2,Düsseldorf,1.2,1.2,72,52000,Marco Reus,4-2-3-1,4-2-3-1,Tobias Welz,Match Report,,2018-2019,Dortmund
2018-12-21,20:30,Bundesliga,Matchweek 17,Fri,Home,W,2,1,Gladbach,1.9,0.8,54,81365,Marco Reus,4-2-3-1,4-3-3,Felix Zwayer,Match Report,,2018-2019,Dortmund
2019-01-19,18:30,Bundesliga,Matchweek 18,Sat,Away,W,1,0,RB Leipzig,0.9,0.9,52,41939,Łukasz Piszczek,4-4-2,4-1-4-1,Deniz Aytekin,Match Report,,2018-2019,Dortmund
2019-01-26,15:30,Bundesliga,Matchweek 19,Sat,Home,W,5,1,Hannover 96,2.7,1.1,63,81365,Marco Reus,4-2-3-1,3-4-1-2,Manuel Gräfe,Match Report,,2018-2019,Dortmund
2019-02-02,15:30,Bundesliga,Matchweek 20,Sat,Away,D,1,1,Eint Frankfurt,1.8,1.4,59,51500,Marco Reus,4-2-3-1,3-4-1-2,Felix Zwayer,Match Report,,2018-2019,Dortmund
2019-02-05,20:45,DFB-Pokal,Round of 16,Tue,Home,D,3 (2),3 (4),Werder Bremen,,,63,81365,Marco Reus,4-2-3-1,3-5-2,Felix Brych,Match Report,Werder Bremen won on penalty kicks following extra time,2018-2019,Dortmund
2019-02-09,15:30,Bundesliga,Matchweek 21,Sat,Home,D,3,3,Hoffenheim,2.0,1.5,59,81365,Łukasz Piszczek,4-2-3-1,3-1-4-2,Marco Fritz,Match Report,,2018-2019,Dortmund
2019-02-13,20:00,Champions Lg,Round of 16,Wed,Away,L,0,3,eng Tottenham,0.3,1.8,47,71214,Mario Götze,4-3-3,3-4-1-2,Antonio Matéu Lahoz,Match Report,Leg 1 of 2,2018-2019,Dortmund
2019-02-18,20:30,Bundesliga,Matchweek 22,Mon,Away,D,0,0,Nürnberg,0.9,0.3,72,50000,Mario Götze,4-2-3-1,4-1-4-1,Harm Osmers,Match Report,,2018-2019,Dortmund
2019-02-24,18:00,Bundesliga,Matchweek 23,Sun,Home,W,3,2,Leverkusen,1.0,0.8,34,81029,Mario Götze,4-2-3-1,4-3-3,Christian Dingert,Match Report,,2018-2019,Dortmund
2019-03-01,20:30,Bundesliga,Matchweek 24,Fri,Away,L,1,2,Augsburg,3.1,0.9,72,30660,Marco Reus,4-2-3-1,4-1-4-1,Tobias Stieler,Match Report,,2018-2019,Dortmund
2019-03-05,21:00,Champions Lg,Round of 16,Tue,Home,L,0,1,eng Tottenham,1.4,1.0,64,66099,Marco Reus,4-1-4-1,3-5-2,Danny Makkelie,Match Report,Leg 2 of 2; Tottenham won,2018-2019,Dortmund
2019-03-09,15:30,Bundesliga,Matchweek 25,Sat,Home,W,3,1,Stuttgart,2.4,0.8,75,81365,Marco Reus,4-1-4-1,5-3-2,Benjamin Cortus,Match Report,,2018-2019,Dortmund
