Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-12,20:30,DFL-Supercup,DFL-Supercup,Sun,Home,L,0,5,Bayern Munich,,,32,51500.0,David Abraham,3-4-3,4-1-4-1,Marco Fritz,Match Report,,2018-2019,Eint Frankfurt
2018-08-18,15:30,DFB-Pokal,First round,Sat,Away,L,1,2,Ulm,,,73,18440.0,David Abraham,3-4-3,4-1-4-1,Timo Gerach,Match Report,,2018-2019,Eint Frankfurt
2018-08-25,15:30,Bundesliga,Matchweek 1,Sat,Away,W,2,0,Freiburg,0.8,1.7,47,24000.0,Gelson Fernandes,4-2-3-1,4-1-3-2,Manuel Gräfe,Match Report,,2018-2019,Eint Frankfurt
2018-09-01,15:30,Bundesliga,Matchweek 2,Sat,Home,L,1,2,Werder Bremen,1.3,1.3,44,50000.0,David Abraham,4-2-3-1,4-3-3,Sören Storks,Match Report,,2018-2019,Eint Frankfurt
2018-09-14,20:30,Bundesliga,Matchweek 3,Fri,Away,L,1,3,Dortmund,0.3,1.6,40,81000.0,David Abraham,4-2-3-1,4-2-3-1,Benjamin Cortus,Match Report,,2018-2019,Eint Frankfurt
2018-09-20,18:55,Europa Lg,Group stage,Thu,Away,W,2,1,fr Marseille,0.6,2.5,35,,David Abraham,4-3-3,4-2-3-1,Matej Jug,Match Report,,2018-2019,Eint Frankfurt
2018-09-23,18:00,Bundesliga,Matchweek 4,Sun,Home,D,1,1,RB Leipzig,1.9,2.3,47,43800.0,David Abraham,3-4-1-2,4-2-2-2,Felix Brych,Match Report,,2018-2019,Eint Frankfurt
2018-09-26,20:30,Bundesliga,Matchweek 5,Wed,Away,L,1,3,Gladbach,1.0,1.6,45,41257.0,David Abraham,4-2-3-1,4-3-3,Sven Jablonski,Match Report,,2018-2019,Eint Frankfurt
2018-09-30,15:30,Bundesliga,Matchweek 6,Sun,Home,W,4,1,Hannover 96,2.2,0.5,42,46300.0,Marco Russ,3-1-4-2,5-4-1,Robert Hartmann,Match Report,,2018-2019,Eint Frankfurt
2018-10-04,21:00,Europa Lg,Group stage,Thu,Home,W,4,1,it Lazio,3.2,0.7,46,47000.0,Marco Russ,3-4-1-2,3-5-2,Serdar Gözübüyük,Match Report,,2018-2019,Eint Frankfurt
2018-10-07,15:30,Bundesliga,Matchweek 7,Sun,Away,W,2,1,Hoffenheim,0.9,2.7,31,29785.0,Marco Russ,3-5-2,3-5-2,Daniel Siebert,Match Report,,2018-2019,Eint Frankfurt
2018-10-19,20:30,Bundesliga,Matchweek 8,Fri,Home,W,7,1,Düsseldorf,3.4,0.7,54,51000.0,David Abraham,3-1-4-2,3-4-1-2,Deniz Aytekin,Match Report,,2018-2019,Eint Frankfurt
2018-10-25,21:00,Europa Lg,Group stage,Thu,Home,W,2,0,cy Apollon,2.9,1.1,53,47000.0,David Abraham,3-4-1-2,4-2-3-1,Sergey Ivanov,Match Report,,2018-2019,Eint Frankfurt
2018-10-28,13:30,Bundesliga,Matchweek 9,Sun,Away,D,1,1,Nürnberg,1.1,0.9,56,42154.0,David Abraham,3-1-4-2,4-4-2,Robert Schröder,Match Report,,2018-2019,Eint Frankfurt
2018-11-02,20:30,Bundesliga,Matchweek 10,Fri,Away,W,3,0,Stuttgart,2.7,1.0,47,58016.0,David Abraham,3-4-1-2,3-4-1-2,Sven Jablonski,Match Report,,2018-2019,Eint Frankfurt
2018-11-08,19:55,Europa Lg,Group stage,Thu,Away,W,3,2,cy Apollon,1.4,1.6,39,6888.0,David Abraham,3-5-2,3-4-3,Tiago Martins,Match Report,,2018-2019,Eint Frankfurt
2018-11-11,18:00,Bundesliga,Matchweek 11,Sun,Home,W,3,0,Schalke 04,2.2,0.8,51,50700.0,David Abraham,3-4-1-2,3-1-4-2,Benjamin Cortus,Match Report,,2018-2019,Eint Frankfurt
2018-11-24,15:30,Bundesliga,Matchweek 12,Sat,Away,W,3,1,Augsburg,3.2,1.6,41,30660.0,David Abraham,3-4-1-2,4-1-4-1,Felix Zwayer,Match Report,,2018-2019,Eint Frankfurt
2018-11-29,21:00,Europa Lg,Group stage,Thu,Home,W,4,0,fr Marseille,3.8,0.6,47,47000.0,Marco Russ,3-4-1-2,3-4-3,John Beaton,Match Report,,2018-2019,Eint Frankfurt
2018-12-02,18:00,Bundesliga,Matchweek 13,Sun,Home,L,1,2,Wolfsburg,1.4,1.5,55,48000.0,Marco Russ,3-4-1-2,4-3-1-2,Sascha Stegemann,Match Report,,2018-2019,Eint Frankfurt
2018-12-08,18:30,Bundesliga,Matchweek 14,Sat,Away,L,0,1,Hertha BSC,1.3,0.3,61,42578.0,Makoto Hasebe,3-4-1-2,4-2-3-1,Daniel Schlager,Match Report,,2018-2019,Eint Frankfurt
2018-12-13,18:55,Europa Lg,Group stage,Thu,Away,W,2,1,it Lazio,1.3,1.0,50,18252.0,Marco Russ,5-4-1,3-5-2,Halil Meler,Match Report,,2018-2019,Eint Frankfurt
2018-12-16,18:00,Bundesliga,Matchweek 15,Sun,Home,W,2,1,Leverkusen,3.1,0.8,47,46500.0,Gelson Fernandes,3-4-1-2,4-2-3-1,Felix Brych,Match Report,,2018-2019,Eint Frankfurt
2018-12-19,20:30,Bundesliga,Matchweek 16,Wed,Away,D,2,2,Mainz 05,1.1,1.7,49,30805.0,Gelson Fernandes,3-4-1-2,4-3-1-2,Daniel Siebert,Match Report,,2018-2019,Eint Frankfurt
