Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-05,20:30,Coppa Italia,Second round,Sat,Home,D,2 (3),2 (4),Renate,,1305,,,,Antonio Rapuano,Match Report,Renate won on penalty kicks following extra time,2017-2018,Empoli
2017-08-26,20:30,Serie B,Matchweek 1,Sat,Away,D,1,1,Ternana,,4536,,3-5-2,4-4-2,Livio Marinelli,Match Report,,2017-2018,Empoli
2017-09-03,17:30,Serie B,Matchweek 2,Sun,Home,W,3,2,Bari,,4445,Manuel Pasqual,3-5-2,4-4-2,Daniele Chiffi,Match Report,,2017-2018,Empoli
2017-09-09,15:00,Serie B,Matchweek 3,Sat,Away,D,3,3,Palermo,,6270,Manuel Pasqual,3-5-2,3-5-1-1,Aleandro Di Paolo,Match Report,,2017-2018,Empoli
2017-09-16,15:00,Serie B,Matchweek 4,Sat,Home,W,3,0,Ascoli,,7429,,3-4-1-2,4-3-3,Antonello Balice,Match Report,,2017-2018,Empoli
2017-09-19,20:30,Serie B,Matchweek 5,Tue,Away,W,2,1,Parma,,10221,Rade Krunić,3-4-1-2,4-3-3,Gianluca Aureliano,Match Report,,2017-2018,Empoli
2017-09-23,15:00,Serie B,Matchweek 6,Sat,Home,L,0,1,Cittadella,,3993,Joel Untersee,3-4-1-2,4-3-1-2,Antonio Rapuano,Match Report,,2017-2018,Empoli
2017-09-30,15:00,Serie B,Matchweek 7,Sat,Away,L,2,3,Avellino,,8203,Joel Untersee,3-4-1-2,4-4-1-1,Marco Piccinini,Match Report,,2017-2018,Empoli
2017-10-08,15:00,Serie B,Matchweek 8,Sun,Home,W,3,1,Foggia,,8689,Joel Untersee,3-4-1-2,4-3-3,Eugenio Abbattista,Match Report,,2017-2018,Empoli
2017-10-16,20:30,Serie B,Matchweek 9,Mon,Away,W,3,2,Virtus Entella,,2666,Manuel Pasqual,3-5-2,4-3-1-2,Antonio Giua,Match Report,,2017-2018,Empoli
