Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-11,20:30,Coppa Italia,Second round,Sun,Home,W,2,1,US Reggina,,,,1879.0,,,,Alessandro Prontera,Match Report,,2019-2020,Empoli
2019-08-18,20:30,Coppa Italia,Third round,Sun,Home,W,2,1,Pescara,,,,2170.0,,,,Maurizio Mariani,Match Report,Required Extra Time,2019-2020,Empoli
2019-08-25,18:00,Serie B,Matchweek 1,Sun,Home,W,2,1,Juve Stabia,1.7,0.8,56.0,5389.0,Freddie Veseli,4-3-1-2,4-3-3,Luca Massimi,Match Report,,2019-2020,Empoli
2019-08-30,21:00,Serie B,Matchweek 2,Fri,Away,D,1,1,Chievo,0.6,2.3,47.0,3500.0,Freddie Veseli,4-1-2-1-2◆,4-3-1-2,Davide Ghersini,Match Report,,2019-2020,Empoli
2019-09-15,15:00,Serie B,Matchweek 3,Sun,Away,D,0,0,Crotone,0.9,1.0,39.0,6203.0,Domenico Maietta,4-3-1-2,3-5-2,Ivan Pezzuto,Match Report,,2019-2020,Empoli
2019-09-21,15:00,Serie B,Matchweek 4,Sat,Home,W,1,0,Cittadella,1.6,0.9,50.0,5133.0,Domenico Maietta,4-3-1-2,4-3-1-2,Giacomo Camplone,Match Report,,2019-2020,Empoli
2019-09-24,21:00,Serie B,Matchweek 5,Tue,Away,W,3,2,Pisa,2.1,1.7,65.0,9133.0,Domenico Maietta,4-3-1-2,4-3-1-2,Gianluca Aureliano,Match Report,,2019-2020,Empoli
2019-09-28,18:00,Serie B,Matchweek 6,Sat,Home,W,3,0,Perugia,1.6,0.9,47.0,6019.0,Domenico Maietta,4-3-1-2,4-3-2-1,Francesco Fourneau,Match Report,,2019-2020,Empoli
2019-10-05,15:00,Serie B,Matchweek 7,Sat,Away,L,0,2,Pordenone,1.3,2.4,53.0,3280.0,Domenico Maietta,4-3-1-2,4-3-1-2,Lorenzo Maggioni,Match Report,,2019-2020,Empoli
2019-10-20,21:00,Serie B,Matchweek 8,Sun,Home,D,1,1,Cremonese,1.6,2.7,61.0,5398.0,Freddie Veseli,4-3-1-2,3-5-2,Manuel Volpi,Match Report,,2019-2020,Empoli
2019-10-26,15:00,Serie B,Matchweek 9,Sat,Away,D,2,2,Trapani,2.7,1.9,54.0,4130.0,Domenico Maietta,4-3-1-2,4-1-4-1,Giovanni Ayroldi,Match Report,,2019-2020,Empoli
2019-10-29,21:00,Serie B,Matchweek 10,Tue,Home,D,1,1,Spezia,0.8,0.5,61.0,5384.0,Domenico Maietta,4-3-1-2,4-3-3,Marco Serra,Match Report,,2019-2020,Empoli
2019-11-03,21:00,Serie B,Matchweek 11,Sun,Away,L,0,2,Benevento,0.5,1.1,63.0,9222.0,Domenico Maietta,4-3-2-1,4-4-2,Davide Ghersini,Match Report,,2019-2020,Empoli
2019-11-09,18:00,Serie B,Matchweek 12,Sat,Home,L,1,2,Pescara,2.7,1.1,55.0,5156.0,Domenico Maietta,4-3-2-1,4-3-1-2,Gianluca Aureliano,Match Report,,2019-2020,Empoli
2019-11-23,18:00,Serie B,Matchweek 13,Sat,Home,D,1,1,Venezia,1.2,2.6,42.0,4671.0,Domenico Maietta,4-3-1-2,4-3-1-2,Federico Dionisi,Match Report,,2019-2020,Empoli
2019-11-30,15:00,Serie B,Matchweek 14,Sat,Away,L,0,4,Frosinone,0.3,3.0,60.0,10197.0,Domenico Maietta,3-5-2,3-5-2,Valerio Marini,Match Report,,2019-2020,Empoli
2019-12-03,15:00,Coppa Italia,Fourth round,Tue,Away,L,0,1,Cremonese,,,,1359.0,,,,Daniel Amabile,Match Report,,2019-2020,Empoli
2019-12-07,15:00,Serie B,Matchweek 15,Sat,Home,W,2,1,Ascoli,3.4,1.8,51.0,6013.0,Domenico Maietta,4-3-1-2,4-2-3-1,Lorenzo Illuzzi,Match Report,,2019-2020,Empoli
2019-12-14,15:00,Serie B,Matchweek 16,Sat,Away,L,0,2,Virtus Entella,0.9,1.6,57.0,1521.0,Domenico Maietta,4-3-1-2,4-3-1-2,Daniel Amabile,Match Report,,2019-2020,Empoli
