Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-18,18:15,La Liga,Matchweek 1,Sat,Away,D,1,1,Celta Vigo,0.6,0.6,52,16215,Javi López,4-3-3,4-2-3-1,Santiago Jaime,Match Report,,2018-2019,Espanyol
2018-08-26,18:15,La Liga,Matchweek 2,Sun,Home,W,2,0,Valencia,1.3,1.9,49,18714,Javi López,4-1-4-1,4-4-2,Carlos del Cerro,Match Report,,2018-2019,Espanyol
2018-09-02,16:15,La Liga,Matchweek 3,Sun,Away,L,1,2,Alavés,1.2,1.4,62,18052,Javi López,4-3-3,4-4-2,Ignacio Iglesias,Match Report,,2018-2019,Espanyol
2018-09-16,16:15,La Liga,Matchweek 4,Sun,Home,W,1,0,Levante,1.6,0.8,56,18627,Sergio García,4-3-3,4-4-2,Alberto Undiano,Match Report,,2018-2019,Espanyol
2018-09-22,20:45,La Liga,Matchweek 5,Sat,Away,L,0,1,Real Madrid,0.4,1.0,36,67658,Javi López,4-1-4-1,4-3-3,Antonio Matéu Lahoz,Match Report,,2018-2019,Espanyol
2018-09-25,20:00,La Liga,Matchweek 6,Tue,Home,W,1,0,Eibar,0.9,0.3,46,13547,Sergio García,4-3-3,4-2-3-1,José Luis Munuera,Match Report,,2018-2019,Espanyol
2018-09-28,21:00,La Liga,Matchweek 7,Fri,Away,D,2,2,Rayo Vallecano,1.5,1.3,48,12100,Javi López,4-1-4-1,4-1-4-1,Alberola Rojas,Match Report,,2018-2019,Espanyol
2018-10-07,18:30,La Liga,Matchweek 8,Sun,Home,W,3,1,Villarreal,2.4,1.5,55,20032,Javi López,4-3-3,4-4-2,Ricardo de Burgos,Match Report,,2018-2019,Espanyol
2018-10-21,18:30,La Liga,Matchweek 9,Sun,Away,W,2,0,Huesca,1.7,0.4,47,6943,Javi López,4-3-3,4-4-2,Eduardo Prieto,Match Report,,2018-2019,Espanyol
2018-10-26,21:00,La Liga,Matchweek 10,Fri,Away,D,1,1,Valladolid,0.5,1.1,45,18231,Javi López,4-3-3,4-4-2,Adrián Cordero,Match Report,,2018-2019,Espanyol
2018-11-01,18:30,Copa del Rey,Round of 32,Thu,Away,L,1,2,Cádiz,,,71,11830,Víctor Sánchez,4-4-2,4-2-3-1,Juan Martínez,Match Report,Leg 1 of 2,2018-2019,Espanyol
2018-11-05,21:00,La Liga,Matchweek 11,Mon,Home,W,1,0,Athletic Club,1.5,0.5,42,14328,Javi López,4-3-3,4-2-3-1,Pablo González,Match Report,,2018-2019,Espanyol
2018-11-11,18:30,La Liga,Matchweek 12,Sun,Away,L,1,2,Sevilla,0.8,4.1,48,38769,David López,4-3-3,3-5-2,Santiago Jaime,Match Report,,2018-2019,Espanyol
2018-11-25,18:30,La Liga,Matchweek 13,Sun,Home,L,1,3,Girona,2.4,2.2,61,22716,David López,4-3-3,3-4-3,Alejandro Hernández,Match Report,,2018-2019,Espanyol
2018-12-01,18:30,La Liga,Matchweek 14,Sat,Away,L,0,3,Getafe,1.1,1.4,58,9287,Javi López,4-1-4-1,4-4-2,Antonio Matéu Lahoz,Match Report,,2018-2019,Espanyol
2018-12-04,21:30,Copa del Rey,Round of 32,Tue,Home,W,1,0,Cádiz,,,69,12560,David López,4-4-2,4-2-3-1,Ricardo de Burgos,Match Report,Leg 2 of 2; Cádiz won,2018-2019,Espanyol
2018-12-08,20:45,La Liga,Matchweek 15,Sat,Home,L,0,4,Barcelona,1.1,2.9,45,24037,Javi López,4-4-1-1,4-3-3,Carlos del Cerro,Match Report,,2018-2019,Espanyol
2018-12-16,16:15,La Liga,Matchweek 16,Sun,Home,L,1,3,Betis,0.6,1.7,34,20275,Víctor Sánchez,4-3-3,3-1-4-2,José Sánchez,Match Report,,2018-2019,Espanyol
2018-12-22,16:15,La Liga,Matchweek 17,Sat,Away,L,0,1,Atlético Madrid,0.8,1.0,62,58069,David López,4-1-4-1,4-4-2,Mario Melero,Match Report,,2018-2019,Espanyol
2019-01-04,21:00,La Liga,Matchweek 18,Fri,Home,W,1,0,Leganés,1.3,0.4,52,15085,David López,4-2-3-1,5-3-2,José González,Match Report,,2018-2019,Espanyol
2019-01-09,20:30,Copa del Rey,Round of 16,Wed,Away,D,2,2,Villarreal,,,51,12207,David López,4-1-4-1,4-4-2,José Luis Munuera,Match Report,Leg 1 of 2,2018-2019,Espanyol
2019-01-14,21:00,La Liga,Matchweek 19,Mon,Away,L,2,3,Real Sociedad,2.1,2.6,59,17301,David López,4-1-4-1,4-2-3-1,Carlos del Cerro,Match Report,,2018-2019,Espanyol
2019-01-17,20:30,Copa del Rey,Round of 16,Thu,Home,W,3,1,Villarreal,,,60,11171,Javi López,4-3-3,4-4-2,Pablo González,Match Report,Leg 2 of 2; Espanyol won,2018-2019,Espanyol
2019-01-21,21:00,La Liga,Matchweek 20,Mon,Away,L,0,3,Eibar,0.9,1.6,44,3592,Javi López,4-3-3,4-4-2,Juan Martínez,Match Report,,2018-2019,Espanyol
2019-01-24,19:30,Copa del Rey,Quarter-finals,Thu,Home,D,1,1,Betis,,,39,13381,Dídac Vilà,4-3-3,3-5-2,Antonio Matéu Lahoz,Match Report,Leg 1 of 2,2018-2019,Espanyol
2019-01-27,20:45,La Liga,Matchweek 21,Sun,Home,L,2,4,Real Madrid,1.1,2.1,37,21215,Javi López,4-3-3,4-3-3,Jesús Gil,Match Report,,2018-2019,Espanyol
2019-01-30,19:30,Copa del Rey,Quarter-finals,Wed,Away,L,1,3,Betis,,,39,40028,Javi López,4-4-2,3-1-4-2,Ricardo de Burgos,Match Report,Leg 2 of 2; Betis won; Required Extra Time,2018-2019,Espanyol
2019-02-03,12:00,La Liga,Matchweek 22,Sun,Away,D,2,2,Villarreal,1.6,2.8,58,15476,Víctor Sánchez,4-3-3,3-4-3,Guillermo Cuadra,Match Report,,2018-2019,Espanyol
2019-02-09,18:30,La Liga,Matchweek 23,Sat,Home,W,2,1,Rayo Vallecano,2.0,0.6,61,22104,David López,4-3-3,3-4-3,Eduardo Prieto,Match Report,,2018-2019,Espanyol
2019-02-17,16:15,La Liga,Matchweek 24,Sun,Away,D,0,0,Valencia,0.4,1.7,48,39564,Javi López,4-1-4-1,4-4-2,Ricardo de Burgos,Match Report,,2018-2019,Espanyol
2019-02-22,21:00,La Liga,Matchweek 25,Fri,Home,D,1,1,Huesca,0.8,0.8,67,20078,David López,4-1-4-1,3-5-2,Alejandro Hernández,Match Report,,2018-2019,Espanyol
2019-03-02,13:00,La Liga,Matchweek 26,Sat,Home,W,3,1,Valladolid,2.6,1.5,54,20467,David López,4-3-3,3-4-1-2,Adrián Cordero,Match Report,,2018-2019,Espanyol
2019-03-08,21:00,La Liga,Matchweek 27,Fri,Away,D,1,1,Athletic Club,0.8,0.8,35,38453,Javi López,4-1-4-1,4-2-3-1,Pablo González,Match Report,,2018-2019,Espanyol
2019-03-17,16:15,La Liga,Matchweek 28,Sun,Home,L,0,1,Sevilla,0.7,1.5,50,20219,Esteban Granero,4-1-4-1,4-4-2,Guillermo Cuadra,Match Report,,2018-2019,Espanyol
2019-03-30,16:15,La Liga,Matchweek 29,Sat,Away,L,0,2,Barcelona,0.2,1.3,31,92795,Víctor Sánchez,5-3-2,4-3-3,Carlos del Cerro,Match Report,,2018-2019,Espanyol
2019-04-02,20:30,La Liga,Matchweek 30,Tue,Home,D,1,1,Getafe,1.7,1.5,50,16322,Dídac Vilà,4-3-3,4-4-2,Ricardo de Burgos,Match Report,,2018-2019,Espanyol
