Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2020-09-12,21:00,La Liga 2,Matchweek 1,Sat,Home,W,3,0,Albacete,72.0,,David López,4-2-3-1,4-4-2,Saúl Ais,Match Report,,2020-2021,Espanyol
2020-09-20,16:00,La Liga 2,Matchweek 2,Sun,Home,D,0,0,Mallorca,53.0,,David López,4-2-3-1,4-3-3,Dámaso Arcediano,Match Report,,2020-2021,Espanyol
2020-09-27,18:15,La Liga 2,Matchweek 3,Sun,Away,W,2,0,Oviedo,53.0,,David López,4-4-1-1,4-4-2,Gorka Sagues,Match Report,,2020-2021,Espanyol
2020-10-04,16:00,La Liga 2,Matchweek 4,Sun,Away,W,1,0,Sabadell,48.0,,David López,4-2-3-1,3-4-3,Miguel Ángel Ortiz Arias,Match Report,,2020-2021,Espanyol
2020-10-10,16:00,La Liga 2,Matchweek 5,Sat,Home,W,1,0,Alcorcón,68.0,,David López,4-3-3,3-4-3,Eduardo Prieto,Match Report,,2020-2021,Espanyol
2020-10-18,16:00,La Liga 2,Matchweek 6,Sun,Away,L,0,1,Rayo Vallecano,48.0,,David López,4-2-3-1,4-2-3-1,José López,Match Report,,2020-2021,Espanyol
2020-10-21,16:30,La Liga 2,Matchweek 7,Wed,Home,W,2,0,CD Mirandés,49.0,,David López,4-4-2,4-3-3,Álvaro Moreno,Match Report,,2020-2021,Espanyol
2020-10-25,17:15,La Liga 2,Matchweek 8,Sun,Away,D,0,0,Tenerife,59.0,,David López,4-1-4-1,4-2-3-1,Jon González,Match Report,,2020-2021,Espanyol
2020-10-28,19:00,La Liga 2,Matchweek 9,Wed,Home,W,2,0,Ponferradina,48.0,,David López,4-4-2,4-2-3-1,Luis Milla,Match Report,,2020-2021,Espanyol
2020-11-02,21:00,La Liga 2,Matchweek 10,Mon,Away,W,3,0,Málaga,53.0,,David López,4-2-3-1,3-4-3,Saúl Ais,Match Report,,2020-2021,Espanyol
2020-11-07,21:00,La Liga 2,Matchweek 11,Sat,Home,W,2,1,Lugo,67.0,,David López,4-1-4-1,4-3-3,David Gálvez,Match Report,,2020-2021,Espanyol
2020-11-14,14:00,La Liga 2,Matchweek 12,Sat,Away,D,1,1,Fuenlabrada,54.0,,David López,4-1-4-1,4-2-3-1,Eduardo Prieto,Match Report,,2020-2021,Espanyol
2020-11-20,21:00,La Liga 2,Matchweek 13,Fri,Home,L,1,2,Girona,52.0,,David López,4-1-4-1,4-4-2,José López,Match Report,,2020-2021,Espanyol
2020-11-26,19:00,La Liga 2,Matchweek 14,Thu,Away,L,0,2,Leganés,45.0,,David López,4-2-3-1,4-4-2,Alejandro Muñíz,Match Report,,2020-2021,Espanyol
2020-11-29,16:00,La Liga 2,Matchweek 15,Sun,Home,W,2,0,Zaragoza,58.0,,David López,4-2-3-1,5-3-2,Juan Pulido,Match Report,,2020-2021,Espanyol
2020-12-02,19:00,La Liga 2,Matchweek 16,Wed,Away,W,3,1,Cartagena,59.0,,Diego López,4-2-3-1,4-4-2,Dámaso Arcediano,Match Report,,2020-2021,Espanyol
2020-12-06,16:00,La Liga 2,Matchweek 17,Sun,Home,W,2,0,Sporting Gijón,49.0,,David López,4-4-2◆,4-2-3-1,Gorka Sagues,Match Report,,2020-2021,Espanyol
2020-12-13,14:00,La Liga 2,Matchweek 18,Sun,Away,W,3,0,UD Logroñés,49.0,,David López,4-4-2◆,4-4-2,Jon González,Match Report,,2020-2021,Espanyol
2020-12-16,19:00,Copa del Rey,First round,Wed,Away,W,1,0,Llagostera,,,,4-4-2,4-1-4-1,Daniel Trujillo,Match Report,Required Extra Time,2020-2021,Espanyol
2020-12-20,16:00,La Liga 2,Matchweek 19,Sun,Home,W,2,1,Almería,41.0,,David López,4-4-2,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,,2020-2021,Espanyol
2021-01-03,15:00,La Liga 2,Matchweek 20,Sun,Away,L,0,1,Las Palmas,47.0,,David López,4-4-2,4-4-2,Daniel Ocón,Match Report,,2020-2021,Espanyol
2021-01-06,19:00,Copa del Rey,Second round,Wed,Away,W,2,0,Burgos,,,Dídac Vilà,4-2-3-1,5-4-1,José López,Match Report,,2020-2021,Espanyol
2021-01-10,21:00,La Liga 2,Matchweek 21,Sun,Home,W,2,0,Castellón,54.0,,David López,4-2-3-1,5-4-1,Oliver De La Fuente,Match Report,,2020-2021,Espanyol
2021-01-17,12:00,Copa del Rey,Round of 32,Sun,Home,L,0,2,Osasuna,58.0,,David López,4-2-3-1,4-4-2,Mario Melero,Match Report,,2020-2021,Espanyol
2021-01-23,18:15,La Liga 2,Matchweek 22,Sat,Away,L,0,1,Girona,64.0,,David López,4-4-2,4-4-2,Juan Pulido,Match Report,,2020-2021,Espanyol
2021-01-31,16:00,La Liga 2,Matchweek 23,Sun,Home,L,2,3,Rayo Vallecano,43.0,,Diego López,4-4-2,4-2-3-1,Jon González,Match Report,,2020-2021,Espanyol
2021-02-08,21:00,La Liga 2,Matchweek 24,Mon,Away,D,1,1,Lugo,72.0,,David López,4-4-2,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,,2020-2021,Espanyol
2021-02-14,14:00,La Liga 2,Matchweek 25,Sun,Away,W,2,1,Mallorca,43.0,,David López,4-2-3-1,4-2-3-1,Dámaso Arcediano,Match Report,,2020-2021,Espanyol
2021-02-20,16:00,La Liga 2,Matchweek 26,Sat,Home,W,1,0,Sabadell,46.0,,David López,4-4-2,3-4-3,Daniel Ocón,Match Report,,2020-2021,Espanyol
2021-02-28,16:00,La Liga 2,Matchweek 27,Sun,Away,D,1,1,Sporting Gijón,51.0,,David López,4-4-2,4-1-4-1,Luis Milla,Match Report,,2020-2021,Espanyol
2021-03-05,21:00,La Liga 2,Matchweek 28,Fri,Home,D,1,1,Oviedo,46.0,,David López,4-4-2,4-4-2,Daniel Trujillo,Match Report,,2020-2021,Espanyol
2021-03-13,21:00,La Liga 2,Matchweek 29,Sat,Away,D,2,2,CD Mirandés,54.0,,David López,4-2-3-1,4-2-3-1,Jon González,Match Report,,2020-2021,Espanyol
2021-03-20,21:00,La Liga 2,Matchweek 30,Sat,Home,W,4,0,UD Logroñés,66.0,,David López,4-2-3-1,5-4-1,Juan Pulido,Match Report,,2020-2021,Espanyol
2021-03-26,21:00,La Liga 2,Matchweek 31,Fri,Away,W,3,1,Castellón,75.0,,David López,4-2-3-1,4-2-3-1,Aitor Gorostegui,Match Report,,2020-2021,Espanyol
2021-04-01,17:00,La Liga 2,Matchweek 32,Thu,Home,W,4,0,Fuenlabrada,77.0,,David López,4-4-2,4-2-3-1,Iosu Galech,Match Report,,2020-2021,Espanyol
2021-04-04,16:00,La Liga 2,Matchweek 33,Sun,Away,W,3,0,Albacete,53.0,,David López,4-4-2,4-4-2,José López,Match Report,,2020-2021,Espanyol
2021-04-11,21:00,La Liga 2,Matchweek 34,Sun,Home,W,2,1,Leganés,38.0,,David López,4-4-2,4-4-2,Javier Villanueva,Match Report,,2020-2021,Espanyol
2021-04-19,21:00,La Liga 2,Matchweek 35,Mon,Away,D,1,1,Almería,47.0,,Diego López,4-4-2,4-2-3-1,David Gálvez,Match Report,,2020-2021,Espanyol
2021-04-24,18:15,La Liga 2,Matchweek 36,Sat,Home,W,4,0,Las Palmas,51.0,,Diego López,4-4-2,4-2-3-1,Álvaro Moreno,Match Report,,2020-2021,Espanyol
2021-05-02,16:00,La Liga 2,Matchweek 37,Sun,Home,W,3,0,Málaga,50.0,,Diego López,4-4-2,5-4-1,Miguel Ángel Ortiz Arias,Match Report,,2020-2021,Espanyol
2021-05-08,18:15,La Liga 2,Matchweek 38,Sat,Away,D,0,0,Zaragoza,59.0,,David López,4-2-3-1,4-2-3-1,Juan Pulido,Match Report,,2020-2021,Espanyol
2021-05-14,21:00,La Liga 2,Matchweek 39,Fri,Home,L,0,2,Cartagena,64.0,,Leandro Cabrera,4-4-2,4-4-2,Iñaki Bikandi,Match Report,,2020-2021,Espanyol
2021-05-18,21:30,La Liga 2,Matchweek 40,Tue,Away,W,4,1,Ponferradina,60.0,,David López,4-2-3-1,4-2-3-1,Rafael Sánchez,Match Report,,2020-2021,Espanyol
2021-05-23,18:15,La Liga 2,Matchweek 41,Sun,Home,D,1,1,Tenerife,67.0,,David López,4-2-3-1,4-4-2,Oliver De La Fuente,Match Report,,2020-2021,Espanyol
2021-05-30,21:00,La Liga 2,Matchweek 42,Sun,Away,L,0,1,Alcorcón,62.0,,David López,4-4-2,4-1-4-1,Iosu Galech,Match Report,,2020-2021,Espanyol
