Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-10,15:00,Premier League,Matchweek 1,Sat,Away,D,0,0,Crystal Palace,1.1,0.9,64,25151.0,Séamus Coleman,4-2-3-1,4-4-2,Jonathan Moss,Match Report,,2019-2020,Everton
2019-08-17,15:00,Premier League,Matchweek 2,Sat,Home,W,1,0,Watford,0.7,1.2,44,39066.0,Séamus Coleman,4-2-3-1,4-2-2-2,Lee Mason,Match Report,,2019-2020,Everton
2019-08-23,20:00,Premier League,Matchweek 3,Fri,Away,L,0,2,Aston Villa,1.3,1.0,64,41922.0,Séamus Coleman,4-2-3-1,4-1-4-1,Michael Oliver,Match Report,,2019-2020,Everton
2019-08-28,19:45,EFL Cup,Second round,Wed,Away,W,4,2,Lincoln City,,,75,9971.0,Gylfi Sigurðsson,4-2-3-1,4-2-3-1,Darren Bond,Match Report,,2019-2020,Everton
2019-09-01,14:00,Premier League,Matchweek 4,Sun,Home,W,3,2,Wolves,1.3,2.0,58,39374.0,Séamus Coleman,4-2-3-1,3-5-2,Anthony Taylor,Match Report,,2019-2020,Everton
2019-09-15,14:00,Premier League,Matchweek 5,Sun,Away,L,1,3,Bournemouth,1.5,1.4,59,10416.0,Séamus Coleman,4-2-3-1,4-4-2,Paul Tierney,Match Report,,2019-2020,Everton
2019-09-21,15:00,Premier League,Matchweek 6,Sat,Home,L,0,2,Sheffield Utd,1.0,0.5,69,39354.0,Séamus Coleman,4-2-3-1,3-5-2,Simon Hooper,Match Report,,2019-2020,Everton
2019-09-24,19:45,EFL Cup,Third round,Tue,Away,W,2,0,Sheffield Weds,,,62,21485.0,Lucas Digne,4-2-3-1,4-4-2,Jeremy Simpson,Match Report,,2019-2020,Everton
2019-09-28,17:30,Premier League,Matchweek 7,Sat,Home,L,1,3,Manchester City,2.4,2.8,37,39222.0,Séamus Coleman,4-2-3-1,4-3-3,Michael Oliver,Match Report,,2019-2020,Everton
2019-10-05,15:00,Premier League,Matchweek 8,Sat,Away,L,0,1,Burnley,1.3,0.6,58,20650.0,Séamus Coleman,4-2-3-1,4-4-2,Graham Scott,Match Report,,2019-2020,Everton
2019-10-19,12:30,Premier League,Matchweek 9,Sat,Home,W,2,0,West Ham,2.1,0.8,51,39263.0,Lucas Digne,4-2-3-1,4-1-4-1,Paul Tierney,Match Report,,2019-2020,Everton
2019-10-26,15:00,Premier League,Matchweek 10,Sat,Away,L,2,3,Brighton,0.9,1.2,45,30529.0,Lucas Digne,4-2-3-1,4-4-2,Andy Madley,Match Report,,2019-2020,Everton
2019-10-29,19:45,EFL Cup,Fourth round,Tue,Home,W,2,0,Watford,,,60,34979.0,Séamus Coleman,4-2-3-1,5-3-2,Simon Hooper,Match Report,,2019-2020,Everton
2019-11-03,16:30,Premier League,Matchweek 11,Sun,Home,D,1,1,Tottenham,1.1,0.6,47,39001.0,Lucas Digne,4-1-4-1,4-2-3-1,Martin Atkinson,Match Report,,2019-2020,Everton
2019-11-09,15:00,Premier League,Matchweek 12,Sat,Away,W,2,1,Southampton,1.8,0.9,53,29754.0,Gylfi Sigurðsson,4-2-3-1,3-4-3,Paul Tierney,Match Report,,2019-2020,Everton
2019-11-23,15:00,Premier League,Matchweek 13,Sat,Home,L,0,2,Norwich City,0.9,1.7,57,39241.0,Gylfi Sigurðsson,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,2019-2020,Everton
2019-12-01,16:30,Premier League,Matchweek 14,Sun,Away,L,1,2,Leicester City,1.1,2.2,32,32144.0,Gylfi Sigurðsson,3-4-3,4-1-4-1,Graham Scott,Match Report,,2019-2020,Everton
2019-12-04,20:15,Premier League,Matchweek 15,Wed,Away,L,2,5,Liverpool,1.5,2.0,42,53094.0,Gylfi Sigurðsson,5-4-1,4-2-3-1,Mike Dean,Match Report,,2019-2020,Everton
2019-12-07,12:30,Premier League,Matchweek 16,Sat,Home,W,3,1,Chelsea,1.8,1.1,31,39114.0,Gylfi Sigurðsson,4-4-2,4-2-3-1,Craig Pawson,Match Report,,2019-2020,Everton
2019-12-15,14:00,Premier League,Matchweek 17,Sun,Away,D,1,1,Manchester Utd,0.3,1.4,34,63328.0,Séamus Coleman,4-4-2,4-2-3-1,Michael Oliver,Match Report,,2019-2020,Everton
2019-12-18,19:45,EFL Cup,Quarter-finals,Wed,Home,D,2 (2),2 (4),Leicester City,,,44,39027.0,Séamus Coleman,4-4-2,4-1-4-1,Jonathan Moss,Match Report,Leicester City won on penalty kicks following extra time,2019-2020,Everton
2019-12-21,12:30,Premier League,Matchweek 18,Sat,Home,D,0,0,Arsenal,0.5,0.6,43,39336.0,Gylfi Sigurðsson,4-4-2,4-2-3-1,Kevin Friend,Match Report,,2019-2020,Everton
2019-12-26,15:00,Premier League,Matchweek 19,Thu,Home,W,1,0,Burnley,1.4,0.3,67,39177.0,Séamus Coleman,3-4-1-2,4-4-2,Anthony Taylor,Match Report,,2019-2020,Everton
2019-12-28,15:00,Premier League,Matchweek 20,Sat,Away,W,2,1,Newcastle Utd,2.9,1.8,57,52211.0,Leighton Baines,4-4-2,3-5-2,Lee Mason,Match Report,,2019-2020,Everton
