Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-26,20:30,Serie A,Matchweek 2,Sun,Home,W,6,1,Chievo,3.5,0.7,46.0,27790,Germán Pezzella,4-3-3,4-3-3,Rosario Abisso,Match Report,,2018-2019,Fiorentina
2018-09-02,18:00,Serie A,Matchweek 3,Sun,Home,W,1,0,Udinese,0.9,0.2,62.0,31009,Germán Pezzella,4-3-3,4-2-3-1,Antonio Giua,Match Report,,2018-2019,Fiorentina
2018-09-15,18:00,Serie A,Matchweek 4,Sat,Away,L,0,1,Napoli,0.3,1.4,43.0,20131,Germán Pezzella,4-3-3,4-3-3,Michael Fabbri,Match Report,,2018-2019,Fiorentina
2018-09-19,19:00,Serie A,Matchweek 1,Wed,Away,D,1,1,Sampdoria,1.4,0.5,40.0,18334,Germán Pezzella,4-1-4-1,4-3-1-2,Fabio Maresca,Match Report,,2018-2019,Fiorentina
2018-09-22,18:00,Serie A,Matchweek 5,Sat,Home,W,3,0,SPAL,1.5,0.6,53.0,30068,Germán Pezzella,4-3-3,3-5-2,Davide Ghersini,Match Report,,2018-2019,Fiorentina
2018-09-25,21:00,Serie A,Matchweek 6,Tue,Away,L,1,2,Inter,1.8,1.7,50.0,55840,Germán Pezzella,4-3-3,4-2-3-1,Paolo Mazzoleni,Match Report,,2018-2019,Fiorentina
2018-09-30,15:00,Serie A,Matchweek 7,Sun,Home,W,2,0,Atalanta,1.1,0.8,35.0,30535,Germán Pezzella,4-3-3,3-4-1-2,Paolo Valeri,Match Report,,2018-2019,Fiorentina
2018-10-07,15:00,Serie A,Matchweek 8,Sun,Away,L,0,1,Lazio,1.1,1.5,60.0,30000,Germán Pezzella,4-3-3,3-5-2,Daniele Orsato,Match Report,,2018-2019,Fiorentina
2018-10-21,18:00,Serie A,Matchweek 9,Sun,Home,D,1,1,Cagliari,1.6,1.0,57.0,31567,Germán Pezzella,4-3-3,4-3-1-2,Piero Giacomelli,Match Report,,2018-2019,Fiorentina
2018-10-27,20:30,Serie A,Matchweek 10,Sat,Away,D,1,1,Torino,1.2,0.9,45.0,17871,Germán Pezzella,4-3-3,3-5-2,Michael Fabbri,Match Report,,2018-2019,Fiorentina
