Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-07-27,21:05,Europa Lg,Third qualifying round,Thu,Home,W,1,0,si NK Domžale,,,,14000,Mike Frantz,4-4-2,4-1-4-1,Anatolii Zhabchenko,Match Report,Leg 1 of 2,2017-2018,Freiburg
2017-08-03,21:05,Europa Lg,Third qualifying round,Thu,Away,L,0,2,si NK Domžale,,,,5136,Mike Frantz,4-4-2,4-1-4-1,Alexandre Boucaut,Match Report,Leg 2 of 2; NK Domžale won,2017-2018,Freiburg
2017-08-12,15:30,DFB-Pokal,First round,Sat,Away,W,2,1,Halberstadt,,,67.0,5037,Julian Schuster,3-5-2,3-5-2,Christof Günsch,Match Report,,2017-2018,Freiburg
2017-08-20,15:30,Bundesliga,Matchweek 1,Sun,Home,D,0,0,Eint Frankfurt,0.4,1.3,57.0,24000,Julian Schuster,3-4-3,3-1-4-2,Manuel Gräfe,Match Report,,2017-2018,Freiburg
2017-08-27,15:30,Bundesliga,Matchweek 2,Sun,Away,L,1,4,RB Leipzig,0.5,2.7,33.0,39265,Julian Schuster,3-4-3,4-2-2-2,Christian Dingert,Match Report,,2017-2018,Freiburg
2017-09-09,15:30,Bundesliga,Matchweek 3,Sat,Home,D,0,0,Dortmund,0.5,1.6,18.0,24000,Christian Günter,4-4-2,4-3-3,Benjamin Cortus,Match Report,,2017-2018,Freiburg
2017-09-17,15:30,Bundesliga,Matchweek 4,Sun,Away,L,0,4,Leverkusen,0.5,1.9,36.0,26232,Christian Günter,4-4-1-1,4-4-2,Sven Jablonski,Match Report,,2017-2018,Freiburg
2017-09-20,20:30,Bundesliga,Matchweek 5,Wed,Home,D,1,1,Hannover 96,2.9,1.1,50.0,22900,Julian Schuster,3-4-3,4-3-3,Tobias Stieler,Match Report,,2017-2018,Freiburg
2017-09-23,15:30,Bundesliga,Matchweek 6,Sat,Away,D,0,0,Werder Bremen,0.9,1.4,46.0,41000,Julian Schuster,3-4-3,3-1-4-2,Robert Hartmann,Match Report,,2017-2018,Freiburg
2017-10-01,13:30,Bundesliga,Matchweek 7,Sun,Home,W,3,2,Hoffenheim,1.2,0.8,44.0,24000,Julian Schuster,3-4-3,4-3-3,Daniel Siebert,Match Report,,2017-2018,Freiburg
2017-10-14,15:30,Bundesliga,Matchweek 8,Sat,Away,L,0,5,Bayern Munich,0.6,1.6,32.0,75000,Julian Schuster,3-5-2,4-2-3-1,Frank Willenborg,Match Report,,2017-2018,Freiburg
2017-10-22,15:30,Bundesliga,Matchweek 9,Sun,Home,D,1,1,Hertha BSC,2.6,2.1,57.0,23800,Julian Schuster,3-4-3,4-2-3-1,Guido Winkmann,Match Report,,2017-2018,Freiburg
2017-10-25,20:45,DFB-Pokal,Second round,Wed,Home,W,3,1,Dresden,,,46.0,17800,Julian Schuster,3-4-3,4-3-3,Benjamin Brand,Match Report,,2017-2018,Freiburg
2017-10-29,18:00,Bundesliga,Matchweek 10,Sun,Away,L,0,3,Stuttgart,0.4,1.4,29.0,58872,Julian Schuster,4-3-3,4-2-3-1,Tobias Stieler,Match Report,,2017-2018,Freiburg
