Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-05,15:00,Championship,Matchweek 1,Sat,Home,D,1,1,Norwich City,49,20134,Tom Cairney,4-3-3,3-5-2,James Linington,Match Report,,2017-2018,Fulham
2017-08-08,19:45,EFL Cup,First round,Tue,Away,W,2,0,Wycombe,55,3639,Michael Madl,4-3-3,4-3-3,Gavin Ward,Match Report,,2017-2018,Fulham
2017-08-12,15:00,Championship,Matchweek 2,Sat,Away,D,1,1,Reading,29,17398,Sone Aluko,4-3-3,3-4-1-2,Simon Hooper,Match Report,,2017-2018,Fulham
2017-08-15,19:45,Championship,Matchweek 3,Tue,Away,D,0,0,Leeds United,56,28918,Sone Aluko,4-3-3,4-2-3-1,Darren Bond,Match Report,,2017-2018,Fulham
2017-08-19,15:00,Championship,Matchweek 4,Sat,Home,L,0,1,Sheffield Weds,55,20165,Tom Cairney,4-3-3,4-4-2,Stuart Attwell,Match Report,,2017-2018,Fulham
2017-08-22,19:45,EFL Cup,Second round,Tue,Home,L,0,1,Bristol Rovers,73,6243,Michael Madl,4-3-3,4-3-3,Dean Whitestone,Match Report,,2017-2018,Fulham
2017-08-26,15:00,Championship,Matchweek 5,Sat,Away,W,2,0,Ipswich Town,69,16844,Tom Cairney,4-1-4-1,4-4-2,Paul Tierney,Match Report,,2017-2018,Fulham
2017-09-09,15:00,Championship,Matchweek 6,Sat,Home,D,1,1,Cardiff City,64,20984,Kevin McDonald,4-2-3-1,4-2-3-1,Tony Harrington,Match Report,,2017-2018,Fulham
2017-09-13,19:45,Championship,Matchweek 7,Wed,Home,W,2,1,Hull City,57,15792,Kevin McDonald,4-3-3,3-4-3,Tim Robinson,Match Report,,2017-2018,Fulham
2017-09-16,15:00,Championship,Matchweek 8,Sat,Away,L,1,2,Burton Albion,70,4049,Kevin McDonald,4-3-3,3-5-2,Steve Martin,Match Report,,2017-2018,Fulham
2017-09-23,15:00,Championship,Matchweek 9,Sat,Home,D,1,1,Middlesbrough,62,20718,Kevin McDonald,4-2-3-1,4-4-2,Oliver Langford,Match Report,,2017-2018,Fulham
2017-09-26,19:45,Championship,Matchweek 10,Tue,Away,W,3,1,Nott'ham Forest,46,21208,Kevin McDonald,4-2-3-1,3-4-1-2,Scott Duncan,Match Report,,2017-2018,Fulham
2017-09-29,19:45,Championship,Matchweek 11,Fri,Away,W,2,1,QPR,51,16415,Kevin McDonald,4-3-3,4-1-3-2,Peter Bankes,Match Report,,2017-2018,Fulham
2017-10-14,15:00,Championship,Matchweek 12,Sat,Home,D,2,2,Preston,71,18435,Kevin McDonald,4-3-3,4-2-3-1,Darren England,Match Report,,2017-2018,Fulham
2017-10-21,15:00,Championship,Matchweek 13,Sat,Away,L,1,2,Aston Villa,68,30724,Kevin McDonald,4-3-3,4-4-1-1,Mike Jones,Match Report,,2017-2018,Fulham
2017-10-28,15:00,Championship,Matchweek 14,Sat,Home,D,1,1,Bolton,77,18792,Tom Cairney,4-3-3,4-2-3-1,Geoff Eltringham,Match Report,,2017-2018,Fulham
2017-10-31,19:45,Championship,Matchweek 15,Tue,Home,L,0,2,Bristol City,58,17634,Tom Cairney,3-5-2,4-1-4-1,Scott Duncan,Match Report,,2017-2018,Fulham
2017-11-03,19:45,Championship,Matchweek 16,Fri,Away,L,0,2,Wolves,54,24388,Kevin McDonald,4-3-3,3-4-3,David Coote,Match Report,,2017-2018,Fulham
2017-11-18,17:30,Championship,Matchweek 17,Sat,Home,D,1,1,Derby County,57,18192,Tom Cairney,4-3-3,4-2-3-1,Darren Bond,Match Report,,2017-2018,Fulham
2017-11-21,19:45,Championship,Matchweek 18,Tue,Away,W,5,4,Sheffield Utd,45,25445,Tom Cairney,4-2-3-1,3-5-2,James Linington,Match Report,,2017-2018,Fulham
2017-11-25,15:00,Championship,Matchweek 19,Sat,Home,W,1,0,Millwall,64,17984,Tom Cairney,4-3-3,4-4-2,Paul Tierney,Match Report,,2017-2018,Fulham
2017-12-02,15:00,Championship,Matchweek 20,Sat,Away,L,1,3,Brentford,49,11090,Tom Cairney,4-3-3,4-3-3,Robert Madley,Match Report,,2017-2018,Fulham
2017-12-09,15:00,Championship,Matchweek 21,Sat,Home,W,1,0,Birmingham City,68,19644,Tom Cairney,4-3-3,3-5-2,Tony Harrington,Match Report,,2017-2018,Fulham
2017-12-16,15:00,Championship,Matchweek 22,Sat,Away,L,0,1,Sunderland,66,25904,Tom Cairney,4-3-3,5-3-2,Steve Martin,Match Report,,2017-2018,Fulham
2017-12-23,15:00,Championship,Matchweek 23,Sat,Home,W,2,1,Barnsley,61,17308,Tom Cairney,4-3-3,4-4-2,James Linington,Match Report,,2017-2018,Fulham
2017-12-26,15:00,Championship,Matchweek 24,Tue,Away,W,4,2,Cardiff City,53,21662,Tom Cairney,4-3-3,4-3-3,Simon Hooper,Match Report,,2017-2018,Fulham
2017-12-30,15:00,Championship,Matchweek 25,Sat,Away,D,2,2,Hull City,60,15701,Tom Cairney,4-3-3,4-2-3-1,David Webb,Match Report,,2017-2018,Fulham
2018-01-02,19:45,Championship,Matchweek 26,Tue,Home,W,4,1,Ipswich Town,76,17415,Tom Cairney,4-3-3,4-2-3-1,Keith Stroud,Match Report,,2017-2018,Fulham
2018-01-06,15:00,FA Cup,Third round,Sat,Home,L,0,1,Southampton,59,17327,Kevin McDonald,4-3-3,4-2-3-1,Michael Oliver,Match Report,,2017-2018,Fulham
2018-01-13,15:00,Championship,Matchweek 27,Sat,Away,W,1,0,Middlesbrough,63,23850,Kevin McDonald,4-3-3,4-3-3,Geoff Eltringham,Match Report,,2017-2018,Fulham
2018-01-20,15:00,Championship,Matchweek 28,Sat,Home,W,6,0,Burton Albion,68,19003,Kevin McDonald,4-3-3,5-4-1,Tim Robinson,Match Report,,2017-2018,Fulham
2018-01-27,15:00,Championship,Matchweek 29,Sat,Away,W,3,1,Barnsley,48,12147,Kevin McDonald,4-2-3-1,4-4-2,Andrew Davies,Match Report,,2017-2018,Fulham
2018-02-03,15:00,Championship,Matchweek 30,Sat,Home,W,2,0,Nott'ham Forest,64,22076,Kevin McDonald,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,2017-2018,Fulham
