Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2021-08-08,13:30,Championship,Matchweek 1,Sun,Home,D,1,1,Middlesbrough,1.5,0.5,65,16058,Tim Ream,4-2-3-1,4-1-2-1-2,Keith Stroud,Match Report,,2021-2022,Fulham
2021-08-14,15:00,Championship,Matchweek 2,Sat,Away,W,5,1,Huddersfield,2.2,0.6,56,15126,Tim Ream,4-2-3-1,3-5-2,Dean Whitestone,Match Report,,2021-2022,Fulham
2021-08-17,19:45,Championship,Matchweek 3,Tue,Away,W,2,1,Millwall,2.7,0.6,64,12700,Tim Ream,4-2-3-1,3-4-1-2,Geoff Eltringham,Match Report,,2021-2022,Fulham
2021-08-21,15:00,Championship,Matchweek 4,Sat,Home,W,2,0,Hull City,1.4,0.5,62,16189,Tim Ream,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,2021-2022,Fulham
2021-08-24,19:45,EFL Cup,Second round,Tue,Away,W,2,0,Birmingham City,,,61,4783,Denis Odoi,3-4-3,3-4-3,Samuel Barrott,Match Report,,2021-2022,Fulham
2021-08-28,15:00,Championship,Matchweek 5,Sat,Home,W,3,0,Stoke City,4.7,1.0,50,16791,Tim Ream,4-2-3-1,3-5-2,Jarred Gillett,Match Report,,2021-2022,Fulham
2021-09-11,15:00,Championship,Matchweek 6,Sat,Away,L,0,1,Blackpool,1.4,0.5,69,11268,Tim Ream,4-2-3-1,4-4-2,John Busby,Match Report,,2021-2022,Fulham
2021-09-15,19:45,Championship,Matchweek 7,Wed,Away,W,4,1,Birmingham City,2.9,1.8,49,14562,Tim Ream,4-3-3,3-4-3,David Webb,Match Report,,2021-2022,Fulham
2021-09-18,15:00,Championship,Matchweek 8,Sat,Home,L,1,2,Reading,3.0,1.3,65,18901,Tim Ream,4-2-3-1,4-2-3-1,Steve Martin,Match Report,,2021-2022,Fulham
2021-09-21,19:45,EFL Cup,Third round,Tue,Home,D,0 (5),0 (6),Leeds United,,,38,11299,Alfie Mawson,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,Leeds United won on penalty kicks following extra time,2021-2022,Fulham
2021-09-25,15:00,Championship,Matchweek 9,Sat,Away,D,1,1,Bristol City,2.8,1.3,63,19326,Tim Ream,4-2-3-1,4-4-2,Simon Hooper,Match Report,,2021-2022,Fulham
2021-09-29,19:45,Championship,Matchweek 10,Wed,Home,W,3,1,Swansea City,1.2,1.1,38,16113,Tim Ream,4-2-3-1,3-4-3,Joshua Smith,Match Report,,2021-2022,Fulham
2021-10-02,12:30,Championship,Matchweek 11,Sat,Away,L,1,4,Coventry City,0.9,1.7,59,18497,Tim Ream,4-2-3-1,3-4-1-2,Gavin Ward,Match Report,,2021-2022,Fulham
2021-10-16,12:30,Championship,Matchweek 12,Sat,Home,W,4,1,QPR,2.0,1.1,47,18371,Tim Ream,4-2-3-1,3-4-3,Oliver Langford,Match Report,,2021-2022,Fulham
2021-10-20,19:45,Championship,Matchweek 13,Wed,Home,W,2,0,Cardiff City,2.5,1.2,66,15789,Tim Ream,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,2021-2022,Fulham
2021-10-24,15:00,Championship,Matchweek 14,Sun,Away,W,4,0,Nott'ham Forest,1.8,0.6,51,27470,Tom Cairney,4-2-3-1,3-4-1-2,James Linington,Match Report,,2021-2022,Fulham
2021-10-30,12:30,Championship,Matchweek 15,Sat,Home,W,3,0,West Brom,3.0,1.4,53,18103,Tim Ream,4-2-3-1,3-4-3,Michael Salisbury,Match Report,,2021-2022,Fulham
