Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2022-08-08,17:45,Coppa Italia,First round,Mon,Home,W,3,2,Benevento,,,56,10366.0,Milan Badelj,4-2-3-1,4-5-1,Andrea Colombo,Match Report,,2022-2023,Genoa
2022-08-14,20:45,Serie B,Matchweek 1,Sun,Away,W,2,1,Venezia,1.8,1.3,50,5263.0,Milan Badelj,4-4-2,4-3-3,Massimiliano Irrati,Match Report,,2022-2023,Genoa
2022-08-20,20:45,Serie B,Matchweek 2,Sat,Home,D,0,0,Benevento,0.5,0.3,64,22800.0,Milan Badelj,4-4-2,3-5-2,Ivan Pezzuto,Match Report,,2022-2023,Genoa
2022-08-28,20:45,Serie B,Matchweek 3,Sun,Away,W,1,0,Pisa,0.6,0.5,43,9842.0,Milan Badelj,4-4-2,4-3-2-1,Daniele Chiffi,Match Report,,2022-2023,Genoa
2022-09-03,16:15,Serie B,Matchweek 4,Sat,Home,D,3,3,Parma,1.4,0.7,55,24153.0,Milan Badelj,4-4-2,4-2-3-1,Giacomo Camplone,Match Report,,2022-2023,Genoa
2022-09-09,20:30,Serie B,Matchweek 5,Fri,Away,L,0,1,Palermo,2.0,1.0,65,23643.0,Milan Badelj,4-4-2,4-3-3,Francesco Cosso,Match Report,,2022-2023,Genoa
2022-09-17,16:15,Serie B,Matchweek 6,Sat,Home,W,1,0,Modena,0.7,0.4,64,24000.0,Milan Badelj,4-3-2-1,4-3-2-1,Luca Zufferli,Match Report,,2022-2023,Genoa
2022-10-01,14:00,Serie B,Matchweek 7,Sat,Away,W,2,0,SPAL,0.8,0.7,52,12257.0,Massimo Coda,4-2-3-1,4-3-1-2,Andrea Colombo,Match Report,,2022-2023,Genoa
2022-10-07,20:30,Serie B,Matchweek 8,Fri,Home,D,0,0,Cagliari,0.9,0.3,59,26042.0,Mattia Bani,4-2-3-1,4-3-3,Matteo Marchetti,Match Report,,2022-2023,Genoa
2022-10-15,14:00,Serie B,Matchweek 9,Sat,Away,W,2,1,Cosenza,2.3,0.9,54,7434.0,Mattia Bani,4-2-3-1,3-4-1-2,Niccolò Baroni,Match Report,,2022-2023,Genoa
2022-10-18,18:00,Coppa Italia,Second round,Tue,Home,W,1,0,SPAL,,,56,,Milan Badelj,4-2-3-1,3-4-3,Alberto Santoro,Match Report,,2022-2023,Genoa
2022-10-22,16:15,Serie B,Matchweek 10,Sat,Away,W,2,1,Ternana,1.8,1.2,66,11059.0,Milan Badelj,4-2-3-1,4-3-2-1,Daniele Doveri,Match Report,,2022-2023,Genoa
