Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2020-09-26,18:15,La Liga 2,Matchweek 3,Sat,Away,L,0,2,Sporting Gijón,63.0,,Juanpe,4-2-3-1,4-4-2,Alejandro Muñíz,Match Report,,2020-2021,Girona
2020-10-04,12:00,La Liga 2,Matchweek 4,Sun,Home,L,0,1,Fuenlabrada,57.0,,Cristhian Stuani,4-4-2,4-4-2,Oliver De La Fuente,Match Report,,2020-2021,Girona
2020-10-11,16:00,La Liga 2,Matchweek 5,Sun,Away,W,1,0,Leganés,40.0,,Aday,4-2-3-1,4-4-2,Juan Pulido,Match Report,,2020-2021,Girona
2020-10-18,20:30,La Liga 2,Matchweek 6,Sun,Home,W,1,0,Oviedo,48.0,,Aday,4-2-3-1,4-2-3-1,Daniel Trujillo,Match Report,,2020-2021,Girona
2020-10-21,19:00,La Liga 2,Matchweek 7,Wed,Away,L,0,3,Lugo,47.0,,Jonás Ramalho,4-2-3-1,4-2-3-1,Iosu Galech,Match Report,,2020-2021,Girona
2020-10-24,20:30,La Liga 2,Matchweek 8,Sat,Away,W,1,0,Castellón,35.0,,Jonás Ramalho,3-1-4-2,3-4-3,Miguel Ángel Ortiz Arias,Match Report,,2020-2021,Girona
2020-10-27,19:00,La Liga 2,Matchweek 9,Tue,Home,W,2,1,Cartagena,61.0,,Jonás Ramalho,4-4-2,4-4-2,Javier Villanueva,Match Report,,2020-2021,Girona
2020-11-01,21:00,La Liga 2,Matchweek 10,Sun,Away,D,0,0,Almería,26.0,,Aday,4-5-1,4-2-3-1,Dámaso Arcediano,Match Report,,2020-2021,Girona
2020-11-04,19:00,La Liga 2,Matchweek 1,Wed,Away,D,2,2,Zaragoza,32.0,,Aday,4-4-2,4-2-3-1,Francisco Hernández,Match Report,,2020-2021,Girona
2020-11-09,21:00,La Liga 2,Matchweek 11,Mon,Home,D,1,1,Las Palmas,60.0,,Aday,4-3-3,4-1-4-1,Luis Milla,Match Report,,2020-2021,Girona
2020-11-14,18:30,La Liga 2,Matchweek 12,Sat,Home,L,0,1,Mallorca,46.0,,Aday,4-4-2,4-2-3-1,Jon González,Match Report,,2020-2021,Girona
2020-11-20,21:00,La Liga 2,Matchweek 13,Fri,Away,W,2,1,Espanyol,48.0,,Bernardo Espinosa,4-4-2,4-1-4-1,José López,Match Report,,2020-2021,Girona
2020-11-24,19:00,La Liga 2,Matchweek 14,Tue,Home,L,0,1,Málaga,56.0,,Bernardo Espinosa,4-4-2,4-4-2,Miguel Ángel Ortiz Arias,Match Report,,2020-2021,Girona
2020-11-27,19:00,La Liga 2,Matchweek 15,Fri,Away,L,0,1,Alcorcón,56.0,,Bernardo Espinosa,4-3-3,4-2-3-1,Iñaki Bikandi,Match Report,,2020-2021,Girona
2020-12-01,21:30,La Liga 2,Matchweek 16,Tue,Home,W,1,0,CD Mirandés,39.0,,Cristhian Stuani,4-4-2,4-2-3-1,Francisco Hernández,Match Report,,2020-2021,Girona
2020-12-06,18:15,La Liga 2,Matchweek 17,Sun,Away,W,2,0,Albacete,58.0,,Bernardo Espinosa,4-4-2,4-3-3,David Gálvez,Match Report,,2020-2021,Girona
2020-12-10,19:00,La Liga 2,Matchweek 2,Thu,Home,W,2,0,UD Logroñés,52.0,,Cristhian Stuani,4-4-2,5-4-1,Dámaso Arcediano,Match Report,,2020-2021,Girona
2020-12-14,19:00,La Liga 2,Matchweek 18,Mon,Home,D,0,0,Rayo Vallecano,47.0,,Cristhian Stuani,4-4-2,4-4-2,Alejandro Muñíz,Match Report,,2020-2021,Girona
2020-12-17,19:00,Copa del Rey,First round,Thu,Away,W,2,0,Gimn Segoviana,,800.0,,4-4-2,4-4-2,Álvaro Moreno,Match Report,,2020-2021,Girona
2020-12-21,20:30,La Liga 2,Matchweek 19,Mon,Away,L,0,2,Tenerife,64.0,,Cristhian Stuani,4-4-2,4-4-2,Javier Toca,Match Report,,2020-2021,Girona
2021-01-04,18:30,La Liga 2,Matchweek 20,Mon,Home,D,0,0,Sabadell,44.0,,Aday,4-4-2,3-5-2,Gorka Sagues,Match Report,,2020-2021,Girona
2021-01-07,19:00,Copa del Rey,Second round,Thu,Home,W,2,1,Lugo,64.0,,Jonás Ramalho,4-4-2,5-3-2,Eduardo Prieto,Match Report,Required Extra Time,2020-2021,Girona
2021-01-11,19:00,La Liga 2,Matchweek 21,Mon,Away,D,1,1,Ponferradina,50.0,,Aday,4-1-4-1,4-2-3-1,Saúl Ais,Match Report,,2020-2021,Girona
2021-01-16,16:00,Copa del Rey,Round of 32,Sat,Home,W,2,0,Cádiz,54.0,,Jonás Ramalho,4-4-2,4-4-2,Valentín Pizarro,Match Report,,2020-2021,Girona
2021-01-23,18:15,La Liga 2,Matchweek 22,Sat,Home,W,1,0,Espanyol,36.0,,Aday,4-4-2,4-4-2,Juan Pulido,Match Report,,2020-2021,Girona
2021-01-26,21:00,Copa del Rey,Round of 16,Tue,Home,L,0,1,Villarreal,44.0,,Jonás Ramalho,4-4-2,4-2-3-1,Ricardo de Burgos,Match Report,,2020-2021,Girona
2021-01-30,20:30,La Liga 2,Matchweek 23,Sat,Away,L,0,1,Mallorca,46.0,,Aday,4-4-2,4-2-3-1,Alejandro Muñíz,Match Report,,2020-2021,Girona
2021-02-07,14:00,La Liga 2,Matchweek 24,Sun,Home,L,0,2,Leganés,57.0,,Cristhian Stuani,4-2-3-1,4-2-3-1,Eduardo Prieto,Match Report,,2020-2021,Girona
2021-02-13,18:15,La Liga 2,Matchweek 25,Sat,Away,D,3,3,CD Mirandés,54.0,,Cristhian Stuani,4-1-4-1,4-4-2,Luis Milla,Match Report,,2020-2021,Girona
2021-02-21,18:15,La Liga 2,Matchweek 26,Sun,Home,W,2,1,Castellón,48.0,,Cristhian Stuani,4-3-3,4-4-2,Daniel Trujillo,Match Report,,2020-2021,Girona
2021-02-28,14:00,La Liga 2,Matchweek 27,Sun,Away,D,1,1,Fuenlabrada,46.0,,Cristhian Stuani,4-1-4-1,4-4-2,José López,Match Report,,2020-2021,Girona
2021-03-07,21:00,La Liga 2,Matchweek 28,Sun,Home,L,0,1,Almería,47.0,,Aday,5-4-1,4-2-3-1,Javier Villanueva,Match Report,,2020-2021,Girona
2021-03-13,18:15,La Liga 2,Matchweek 29,Sat,Home,D,1,1,Lugo,57.0,,Aday,5-4-1,4-3-3,Aitor Gorostegui,Match Report,,2020-2021,Girona
2021-03-19,20:00,La Liga 2,Matchweek 30,Fri,Away,W,2,1,Las Palmas,47.0,,Aday,3-5-2,4-4-2,Álvaro Moreno,Match Report,,2020-2021,Girona
2021-03-28,16:00,La Liga 2,Matchweek 31,Sun,Home,W,2,1,Albacete,54.0,,Aday,4-1-4-1,4-4-2,David Gálvez,Match Report,,2020-2021,Girona
2021-03-31,19:00,La Liga 2,Matchweek 32,Wed,Away,D,2,2,Sabadell,61.0,,Bernardo Espinosa,3-1-4-2,3-4-3,Francisco Hernández,Match Report,,2020-2021,Girona
2021-04-03,16:00,La Liga 2,Matchweek 33,Sat,Home,W,3,1,Ponferradina,42.0,,Cristhian Stuani,5-3-2,4-2-3-1,Dámaso Arcediano,Match Report,,2020-2021,Girona
2021-04-10,18:15,La Liga 2,Matchweek 34,Sat,Away,L,1,2,Rayo Vallecano,52.0,,Aday,3-5-2,4-2-3-1,Juan Pulido,Match Report,,2020-2021,Girona
2021-04-16,21:00,La Liga 2,Matchweek 35,Fri,Home,W,3,0,Zaragoza,47.0,,Aday,3-5-2,4-1-4-1,José López,Match Report,,2020-2021,Girona
2021-04-25,14:00,La Liga 2,Matchweek 36,Sun,Away,W,1,0,Oviedo,55.0,,Juanpe,3-1-4-2,4-4-2,Gorka Sagues,Match Report,,2020-2021,Girona
2021-05-01,16:00,La Liga 2,Matchweek 37,Sat,Home,W,1,0,Tenerife,52.0,,Cristhian Stuani,5-3-2,4-4-2,Rubén Ávalos,Match Report,,2020-2021,Girona
2021-05-09,18:15,La Liga 2,Matchweek 38,Sun,Away,W,4,1,UD Logroñés,46.0,,Cristhian Stuani,3-5-2,4-4-2,Rafael Sánchez,Match Report,,2020-2021,Girona
2021-05-17,21:00,La Liga 2,Matchweek 39,Mon,Home,W,1,0,Sporting Gijón,58.0,,Cristhian Stuani,5-3-2,4-2-3-1,Alejandro Muñíz,Match Report,,2020-2021,Girona
2021-05-20,19:00,La Liga 2,Matchweek 40,Thu,Away,W,1,0,Málaga,73.0,,Cristhian Stuani,5-3-2,4-1-4-1,Álvaro Moreno,Match Report,,2020-2021,Girona
2021-05-24,21:00,La Liga 2,Matchweek 41,Mon,Home,W,1,0,Alcorcón,69.0,,Juanpe,3-4-3,4-1-4-1,Gorka Sagues,Match Report,,2020-2021,Girona
