Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-19,18:30,DFB-Pokal,First round,Sun,Away,W,11,1,Hastedt,,,73,4997,Oscar Wendt,4-3-2-1,5-4-1,Christof Günsch,Match Report,,2018-2019,Gladbach
2018-08-25,18:30,Bundesliga,Matchweek 1,Sat,Home,W,2,0,Leverkusen,3.3,1.1,49,53087,Yann Sommer,4-3-3,4-2-3-1,Christian Dingert,Match Report,,2018-2019,Gladbach
2018-09-01,15:30,Bundesliga,Matchweek 2,Sat,Away,D,1,1,Augsburg,1.2,2.0,61,29580,Yann Sommer,4-3-3,4-3-3,Frank Willenborg,Match Report,,2018-2019,Gladbach
2018-09-15,18:30,Bundesliga,Matchweek 3,Sat,Home,W,2,1,Schalke 04,1.1,1.1,50,54022,Yann Sommer,4-3-3,3-4-1-2,Manuel Gräfe,Match Report,,2018-2019,Gladbach
2018-09-22,15:30,Bundesliga,Matchweek 4,Sat,Away,L,2,4,Hertha BSC,2.7,3.9,51,51852,Yann Sommer,4-3-3,4-2-3-1,Markus Schmidt,Match Report,,2018-2019,Gladbach
2018-09-26,20:30,Bundesliga,Matchweek 5,Wed,Home,W,3,1,Eint Frankfurt,1.6,1.0,55,41257,Yann Sommer,4-3-3,4-2-3-1,Sven Jablonski,Match Report,,2018-2019,Gladbach
2018-09-29,15:30,Bundesliga,Matchweek 6,Sat,Away,D,2,2,Wolfsburg,0.9,1.2,44,24100,Yann Sommer,4-3-3,4-2-3-1,Felix Zwayer,Match Report,,2018-2019,Gladbach
2018-10-06,18:30,Bundesliga,Matchweek 7,Sat,Away,W,3,0,Bayern Munich,0.4,0.9,28,75000,Lars Stindl,4-3-3,4-1-4-1,Frank Willenborg,Match Report,,2018-2019,Gladbach
2018-10-21,18:00,Bundesliga,Matchweek 8,Sun,Home,W,4,0,Mainz 05,2.7,0.9,54,51123,Lars Stindl,4-3-3,4-3-1-2,Sören Storks,Match Report,,2018-2019,Gladbach
2018-10-26,20:30,Bundesliga,Matchweek 9,Fri,Away,L,1,3,Freiburg,1.2,1.4,59,24000,Lars Stindl,4-3-3,4-4-2,Robert Hartmann,Match Report,,2018-2019,Gladbach
2018-10-31,20:45,DFB-Pokal,Second round,Wed,Home,L,0,5,Leverkusen,,,62,48755,Lars Stindl,4-3-3,3-4-3,Tobias Welz,Match Report,,2018-2019,Gladbach
2018-11-04,15:30,Bundesliga,Matchweek 10,Sun,Home,W,3,0,Düsseldorf,3.0,0.8,57,54022,Yann Sommer,4-1-4-1,4-2-2-2,Felix Brych,Match Report,,2018-2019,Gladbach
2018-11-10,15:30,Bundesliga,Matchweek 11,Sat,Away,W,3,1,Werder Bremen,2.7,1.4,46,42100,Lars Stindl,4-3-3,4-4-1-1,Sören Storks,Match Report,,2018-2019,Gladbach
2018-11-25,18:00,Bundesliga,Matchweek 12,Sun,Home,W,4,1,Hannover 96,1.5,0.6,62,48692,Lars Stindl,4-1-4-1,4-4-2,Daniel Siebert,Match Report,,2018-2019,Gladbach
2018-12-02,15:30,Bundesliga,Matchweek 13,Sun,Away,L,0,2,RB Leipzig,0.6,2.1,54,41939,Lars Stindl,4-1-4-1,4-1-2-1-2,Markus Schmidt,Match Report,,2018-2019,Gladbach
2018-12-09,18:00,Bundesliga,Matchweek 14,Sun,Home,W,3,0,Stuttgart,2.3,0.8,71,48590,Lars Stindl,4-1-4-1,3-4-3,Deniz Aytekin,Match Report,,2018-2019,Gladbach
2018-12-15,15:30,Bundesliga,Matchweek 15,Sat,Away,D,0,0,Hoffenheim,0.4,3.8,39,30150,Lars Stindl,4-3-3,3-4-3,Benjamin Cortus,Match Report,,2018-2019,Gladbach
2018-12-18,18:30,Bundesliga,Matchweek 16,Tue,Home,W,2,0,Nürnberg,3.3,1.1,53,42323,Yann Sommer,4-3-3,4-1-4-1,Robert Schröder,Match Report,,2018-2019,Gladbach
2018-12-21,20:30,Bundesliga,Matchweek 17,Fri,Away,L,1,2,Dortmund,0.8,1.9,46,81365,Yann Sommer,4-3-3,4-2-3-1,Felix Zwayer,Match Report,,2018-2019,Gladbach
2019-01-19,15:30,Bundesliga,Matchweek 18,Sat,Away,W,1,0,Leverkusen,0.5,1.4,36,29628,Lars Stindl,4-3-3,4-3-3,Daniel Siebert,Match Report,,2018-2019,Gladbach
2019-01-26,15:30,Bundesliga,Matchweek 19,Sat,Home,W,2,0,Augsburg,1.9,0.8,62,42509,Lars Stindl,4-3-3,4-3-3,Harm Osmers,Match Report,,2018-2019,Gladbach
2019-02-02,18:30,Bundesliga,Matchweek 20,Sat,Away,W,2,0,Schalke 04,1.8,0.7,61,62271,Lars Stindl,4-3-3,4-4-2,Marco Fritz,Match Report,,2018-2019,Gladbach
2019-02-09,15:30,Bundesliga,Matchweek 21,Sat,Home,L,0,3,Hertha BSC,1.3,2.2,69,48232,Lars Stindl,4-3-3,4-2-3-1,Martin Petersen,Match Report,,2018-2019,Gladbach
2019-02-17,15:30,Bundesliga,Matchweek 22,Sun,Away,D,1,1,Eint Frankfurt,1.2,1.0,59,51500,Lars Stindl,4-3-3,3-4-1-2,Deniz Aytekin,Match Report,,2018-2019,Gladbach
2019-02-23,15:30,Bundesliga,Matchweek 23,Sat,Home,L,0,3,Wolfsburg,1.3,1.0,58,48041,Lars Stindl,4-3-3,4-3-3,Robert Kampka,Match Report,,2018-2019,Gladbach
2019-03-02,18:30,Bundesliga,Matchweek 24,Sat,Home,L,1,5,Bayern Munich,0.6,5.4,38,54022,Lars Stindl,4-3-3,4-2-3-1,Felix Zwayer,Match Report,,2018-2019,Gladbach
2019-03-09,18:30,Bundesliga,Matchweek 25,Sat,Away,W,1,0,Mainz 05,0.9,0.6,54,30405,Lars Stindl,4-3-3,4-4-2,Markus Schmidt,Match Report,,2018-2019,Gladbach
2019-03-15,20:30,Bundesliga,Matchweek 26,Fri,Home,D,1,1,Freiburg,1.3,0.5,55,46832,Lars Stindl,4-3-3,4-4-1-1,Robert Kampka,Match Report,,2018-2019,Gladbach
2019-03-30,15:30,Bundesliga,Matchweek 27,Sat,Away,L,1,3,Düsseldorf,1.0,1.5,70,52500,Lars Stindl,4-3-3,4-1-4-1,Tobias Stieler,Match Report,,2018-2019,Gladbach
2019-04-07,18:00,Bundesliga,Matchweek 28,Sun,Home,D,1,1,Werder Bremen,1.6,1.1,53,54022,Yann Sommer,3-4-1-2,5-3-2,Daniel Schlager,Match Report,,2018-2019,Gladbach
2019-04-13,15:30,Bundesliga,Matchweek 29,Sat,Away,W,1,0,Hannover 96,1.6,1.1,57,40200,Lars Stindl,3-4-1-2,4-3-3,Felix Brych,Match Report,,2018-2019,Gladbach
2019-04-20,18:30,Bundesliga,Matchweek 30,Sat,Home,L,1,2,RB Leipzig,2.2,2.0,61,51757,Yann Sommer,3-4-1-2,3-5-2,Harm Osmers,Match Report,,2018-2019,Gladbach
2019-04-27,18:30,Bundesliga,Matchweek 31,Sat,Away,L,0,1,Stuttgart,1.6,1.6,67,56730,Yann Sommer,3-4-1-2,4-3-3,Bastian Dankert,Match Report,,2018-2019,Gladbach
2019-05-04,15:30,Bundesliga,Matchweek 32,Sat,Home,D,2,2,Hoffenheim,1.1,2.6,43,51807,Yann Sommer,3-1-4-2,3-4-3,Sascha Stegemann,Match Report,,2018-2019,Gladbach
2019-05-11,15:30,Bundesliga,Matchweek 33,Sat,Away,W,4,0,Nürnberg,2.1,0.9,51,50000,Yann Sommer,4-3-3,4-3-3,Frank Willenborg,Match Report,,2018-2019,Gladbach
2019-05-18,15:30,Bundesliga,Matchweek 34,Sat,Home,L,0,2,Dortmund,0.5,2.1,31,54022,Yann Sommer,4-3-3,4-2-3-1,Manuel Gräfe,Match Report,,2018-2019,Gladbach
