Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-07-27,15:30,2. Bundesliga,Matchweek 1,Sat,Away,W,3,1,Osnabrück,58.0,12909.0,Marc Schnatterer,4-2-2-2,3-4-3,Sascha Stegemann,Match Report,,2019-2020,Heidenheim
2019-08-04,13:30,2. Bundesliga,Matchweek 2,Sun,Home,D,2,2,Stuttgart,34.0,15000.0,Marc Schnatterer,4-4-1-1,4-3-3,Benjamin Cortus,Match Report,,2019-2020,Heidenheim
2019-08-10,18:30,DFB-Pokal,First round,Sat,Away,W,2,0,Ulm,60.0,16521.0,Marc Schnatterer,4-2-3-1,4-1-4-1,Florian Badstübner,Match Report,,2019-2020,Heidenheim
2019-08-18,13:30,2. Bundesliga,Matchweek 3,Sun,Away,L,1,2,Dresden,40.0,26350.0,Marc Schnatterer,3-4-1-2,3-4-3,Patrick Alt,Match Report,,2019-2020,Heidenheim
2019-08-25,13:30,2. Bundesliga,Matchweek 4,Sun,Home,L,0,2,Sandhausen,54.0,10500.0,Marc Schnatterer,4-4-2,4-3-3,Frank Willenborg,Match Report,,2019-2020,Heidenheim
2019-08-30,18:30,2. Bundesliga,Matchweek 5,Fri,Away,D,2,2,Nürnberg,56.0,27444.0,Marc Schnatterer,4-3-2-1,3-4-3,Florian Heft,Match Report,,2019-2020,Heidenheim
2019-09-14,13:00,2. Bundesliga,Matchweek 6,Sat,Home,W,3,0,Holstein Kiel,46.0,10800.0,Marc Schnatterer,4-1-4-1,4-4-2,Nicolas Winter,Match Report,,2019-2020,Heidenheim
2019-09-20,18:30,2. Bundesliga,Matchweek 7,Fri,Home,W,1,0,Darmstadt 98,47.0,10800.0,Marc Schnatterer,4-3-1-2,4-4-2,Florian Badstübner,Match Report,,2019-2020,Heidenheim
2019-09-28,13:00,2. Bundesliga,Matchweek 8,Sat,Away,D,1,1,Karlsruher,70.0,12713.0,Marc Schnatterer,4-3-1-2,4-1-4-1,Bastian Dankert,Match Report,,2019-2020,Heidenheim
2019-10-06,13:30,2. Bundesliga,Matchweek 9,Sun,Home,L,2,3,Bochum,65.0,10350.0,Marc Schnatterer,4-1-3-2,4-3-3,Michael Bacher,Match Report,,2019-2020,Heidenheim
