Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-05,20:30,Coppa Italia,Second round,Sun,Home,W,4,1,Juve Stabia,,,,5894.0,,,,Antonio Rapuano,Match Report,,2018-2019,Hellas Verona
2018-08-12,20:00,Coppa Italia,Third round,Sun,Away,L,0,2,Catania,,,,7202.0,,,,Fabrizio Pasqua,Match Report,,2018-2019,Hellas Verona
2018-08-26,18:00,Serie B,Matchweek 1,Sun,Home,D,1,1,Padova,1.3,0.6,65.0,13503.0,Antonio Caracciolo,4-3-3,3-4-3,Francesco Fourneau,Match Report,,2018-2019,Hellas Verona
2018-09-01,18:00,Serie B,Matchweek 2,Sat,Away,W,3,0,Cosenza,,,,,Antonio Caracciolo,,,Fabio Piscopo,Match Report,Match awarded to Hellas Verona,2018-2019,Hellas Verona
2018-09-16,15:00,Serie B,Matchweek 3,Sun,Home,W,4,1,Carpi,2.9,1.1,67.0,9966.0,Giampaolo Pazzini,4-3-3,4-1-4-1,Manuel Volpi,Match Report,,2018-2019,Hellas Verona
2018-09-22,15:00,Serie B,Matchweek 4,Sat,Away,W,2,1,Crotone,1.6,0.8,49.0,5653.0,Antonio Caracciolo,4-3-3,3-5-2,Juan Sacchi,Match Report,,2018-2019,Hellas Verona
2018-09-25,21:00,Serie B,Matchweek 5,Tue,Home,W,2,1,Spezia,1.8,1.4,60.0,9914.0,Giampaolo Pazzini,4-3-3,4-3-3,Valerio Marini,Match Report,,2018-2019,Hellas Verona
2018-09-29,15:00,Serie B,Matchweek 6,Sat,Away,L,0,1,Salernitana,1.0,1.1,64.0,10513.0,Antonio Caracciolo,4-3-3,5-3-2,Gianluca Aureliano,Match Report,,2018-2019,Hellas Verona
2018-10-05,21:00,Serie B,Matchweek 7,Fri,Home,L,0,2,Lecce,1.8,1.9,63.0,11993.0,Giampaolo Pazzini,4-2-3-1,4-1-3-2,Luca Massimi,Match Report,,2018-2019,Hellas Verona
2018-10-21,15:00,Serie B,Matchweek 8,Sun,Away,D,1,1,Venezia,1.4,1.1,55.0,5630.0,Antonio Caracciolo,4-3-3,4-3-3,Eugenio Abbattista,Match Report,,2018-2019,Hellas Verona
2018-10-27,18:00,Serie B,Matchweek 9,Sat,Home,W,2,1,Perugia,1.2,1.9,52.0,9525.0,Antonio Caracciolo,4-1-4-1,4-3-1-2,Livio Marinelli,Match Report,,2018-2019,Hellas Verona
2018-10-30,21:00,Serie B,Matchweek 10,Tue,Away,L,0,1,Ascoli,0.3,0.9,56.0,5583.0,Antonio Caracciolo,4-3-3,4-3-1-2,Marco Serra,Match Report,,2018-2019,Hellas Verona
2018-11-02,21:00,Serie B,Matchweek 11,Fri,Home,D,1,1,Cremonese,1.0,1.2,58.0,10489.0,Antonio Caracciolo,4-3-3,4-1-4-1,Antonio Giua,Match Report,,2018-2019,Hellas Verona
2018-11-11,15:00,Serie B,Matchweek 12,Sun,Away,L,2,4,Brescia,1.0,1.1,55.0,8500.0,Giampaolo Pazzini,4-2-3-1,4-3-1-2,Davide Ghersini,Match Report,,2018-2019,Hellas Verona
2018-11-23,21:00,Serie B,Matchweek 13,Fri,Home,D,1,1,Palermo,0.6,1.3,43.0,8258.0,Antonio Caracciolo,4-3-3,4-3-1-2,Aleandro Di Paolo,Match Report,,2018-2019,Hellas Verona
2018-12-09,21:00,Serie B,Matchweek 15,Sun,Away,W,1,0,Benevento,2.2,1.5,59.0,9808.0,Luca Marrone,4-3-3,3-4-1-2,Marco Piccinini,Match Report,,2018-2019,Hellas Verona
2018-12-17,21:00,Serie B,Matchweek 16,Mon,Home,W,3,1,Pescara,1.9,1.4,54.0,9346.0,Luca Marrone,4-1-4-1,4-3-3,Daniele Minelli,Match Report,,2018-2019,Hellas Verona
2018-12-22,15:00,Serie B,Matchweek 17,Sat,Away,D,0,0,Livorno,0.8,0.8,57.0,5662.0,Luca Marrone,4-1-4-1,3-4-1-2,Marco Serra,Match Report,,2018-2019,Hellas Verona
2018-12-27,21:00,Serie B,Matchweek 18,Thu,Home,W,4,0,Cittadella,2.8,1.0,42.0,9593.0,Giampaolo Pazzini,4-3-3,4-3-1-2,Juan Sacchi,Match Report,,2018-2019,Hellas Verona
