Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-18,15:30,DFB-Pokal,First round,Sat,Away,W,6,1,Kaiserslautern,,,66,22818,Kevin Vogt,3-5-2,4-2-2-2,Patrick Ittrich,Match Report,,2018-2019,Hoffenheim
2018-08-24,20:30,Bundesliga,Matchweek 1,Fri,Away,L,1,3,Bayern Munich,0.7,2.7,33,75000,Kevin Vogt,3-5-2,4-1-4-1,Bastian Dankert,Match Report,,2018-2019,Hoffenheim
2018-09-01,15:30,Bundesliga,Matchweek 2,Sat,Home,W,3,1,Freiburg,3.7,1.2,59,28619,Kevin Vogt,3-5-2,4-2-3-1,Robert Hartmann,Match Report,,2018-2019,Hoffenheim
2018-09-15,15:30,Bundesliga,Matchweek 3,Sat,Away,L,1,2,Düsseldorf,2.2,1.8,67,40111,Kevin Vogt,3-5-2,5-3-2,Tobias Stieler,Match Report,,2018-2019,Hoffenheim
2018-09-19,19:55,Champions Lg,Group stage,Wed,Away,D,2,2,ua Shakhtar,1.8,0.6,34,28336,Kevin Vogt,5-3-2,4-2-3-1,Jakob Kehlet,Match Report,,2018-2019,Hoffenheim
2018-09-22,15:30,Bundesliga,Matchweek 4,Sat,Home,D,1,1,Dortmund,2.0,1.3,40,30150,Kevin Vogt,3-5-2,4-2-3-1,Harm Osmers,Match Report,,2018-2019,Hoffenheim
2018-09-25,20:30,Bundesliga,Matchweek 5,Tue,Away,W,3,1,Hannover 96,1.9,2.2,42,33500,Kevin Vogt,3-5-2,4-3-3,Christian Dingert,Match Report,,2018-2019,Hoffenheim
2018-09-29,15:30,Bundesliga,Matchweek 6,Sat,Home,L,1,2,RB Leipzig,1.8,1.5,56,28115,Oliver Baumann,3-5-2,5-3-2,Deniz Aytekin,Match Report,,2018-2019,Hoffenheim
2018-10-02,18:55,Champions Lg,Group stage,Tue,Home,L,1,2,eng Manchester City,0.6,2.2,34,24851,Oliver Baumann,4-3-3,4-3-3,Matej Jug,Match Report,,2018-2019,Hoffenheim
2018-10-07,15:30,Bundesliga,Matchweek 7,Sun,Home,L,1,2,Eint Frankfurt,2.7,0.9,69,29785,Kevin Vogt,3-5-2,3-5-2,Daniel Siebert,Match Report,,2018-2019,Hoffenheim
2018-10-20,15:30,Bundesliga,Matchweek 8,Sat,Away,W,3,1,Nürnberg,2.5,1.1,70,36472,Kevin Vogt,3-5-2,4-1-4-1,Felix Zwayer,Match Report,,2018-2019,Hoffenheim
2018-10-23,21:00,Champions Lg,Group stage,Tue,Home,D,3,3,fr Lyon,4.1,1.5,55,24144,Kevin Vogt,3-4-3,4-3-3,Alberto Undiano,Match Report,,2018-2019,Hoffenheim
2018-10-27,18:30,Bundesliga,Matchweek 9,Sat,Home,W,4,0,Stuttgart,2.8,0.3,74,30150,Kevin Vogt,4-1-3-2,5-3-2,Frank Willenborg,Match Report,,2018-2019,Hoffenheim
2018-10-31,20:45,DFB-Pokal,Second round,Wed,Away,L,0,2,RB Leipzig,,,51,21042,Kevin Vogt,5-3-2,4-3-1-2,Marco Fritz,Match Report,,2018-2019,Hoffenheim
2018-11-03,15:30,Bundesliga,Matchweek 10,Sat,Away,W,4,1,Leverkusen,1.8,2.4,41,27589,Kevin Vogt,3-4-1-2,3-4-3,Tobias Stieler,Match Report,,2018-2019,Hoffenheim
2018-11-07,21:00,Champions Lg,Group stage,Wed,Away,D,2,2,fr Lyon,1.9,2.5,49,53850,Kevin Vogt,3-5-2,3-5-1-1,Danny Makkelie,Match Report,,2018-2019,Hoffenheim
2018-11-10,15:30,Bundesliga,Matchweek 11,Sat,Home,W,2,1,Augsburg,1.9,1.4,50,27009,Kevin Vogt,4-3-3,3-4-3,Robert Schröder,Match Report,,2018-2019,Hoffenheim
2018-11-24,15:30,Bundesliga,Matchweek 12,Sat,Away,D,3,3,Hertha BSC,1.3,3.1,43,44508,Kevin Vogt,3-5-2,4-2-3-1,Tobias Welz,Match Report,,2018-2019,Hoffenheim
2018-11-27,21:00,Champions Lg,Group stage,Tue,Home,L,2,3,ua Shakhtar,1.3,2.1,59,22920,Kevin Vogt,4-3-3,5-3-2,Filip Glova,Match Report,,2018-2019,Hoffenheim
2018-12-01,18:30,Bundesliga,Matchweek 13,Sat,Home,D,1,1,Schalke 04,2.1,2.2,49,30000,Kevin Vogt,3-1-4-2,4-1-2-1-2,Robert Kampka,Match Report,,2018-2019,Hoffenheim
2018-12-08,15:30,Bundesliga,Matchweek 14,Sat,Away,D,2,2,Wolfsburg,1.7,0.5,48,20602,Kevin Vogt,4-1-4-1,4-3-3,Felix Zwayer,Match Report,,2018-2019,Hoffenheim
2018-12-12,20:00,Champions Lg,Group stage,Wed,Away,L,1,2,eng Manchester City,1.4,3.4,39,50411,Benjamin Hübner,4-3-3,4-3-3,Andreas Ekberg,Match Report,,2018-2019,Hoffenheim
2018-12-15,15:30,Bundesliga,Matchweek 15,Sat,Home,D,0,0,Gladbach,3.8,0.4,61,30150,Oliver Baumann,3-4-3,4-3-3,Benjamin Cortus,Match Report,,2018-2019,Hoffenheim
2018-12-19,20:30,Bundesliga,Matchweek 16,Wed,Away,D,1,1,Werder Bremen,1.9,2.4,49,40003,Oliver Baumann,3-4-3,4-3-1-2,Markus Schmidt,Match Report,,2018-2019,Hoffenheim
2018-12-23,18:00,Bundesliga,Matchweek 17,Sun,Home,D,1,1,Mainz 05,2.4,1.1,67,28216,Kevin Vogt,3-4-3,4-3-1-2,Sascha Stegemann,Match Report,,2018-2019,Hoffenheim
2019-01-18,20:30,Bundesliga,Matchweek 18,Fri,Home,L,1,3,Bayern Munich,1.2,3.1,44,30150,Kevin Vogt,3-5-2,4-2-3-1,Tobias Welz,Match Report,,2018-2019,Hoffenheim
2019-01-26,15:30,Bundesliga,Matchweek 19,Sat,Away,W,4,2,Freiburg,3.3,1.7,57,23900,Kevin Vogt,4-3-3,4-2-3-1,Bibiana Steinhaus,Match Report,,2018-2019,Hoffenheim
2019-02-02,15:30,Bundesliga,Matchweek 20,Sat,Home,D,1,1,Düsseldorf,1.7,1.2,63,24747,Kevin Vogt,4-1-2-1-2◆,5-3-2,Benjamin Cortus,Match Report,,2018-2019,Hoffenheim
2019-02-09,15:30,Bundesliga,Matchweek 21,Sat,Away,D,3,3,Dortmund,1.5,2.0,41,81365,Benjamin Hübner,3-1-4-2,4-2-3-1,Marco Fritz,Match Report,,2018-2019,Hoffenheim
2019-02-16,15:30,Bundesliga,Matchweek 22,Sat,Home,W,3,0,Hannover 96,3.3,0.3,61,23404,Kevin Vogt,3-4-3,5-4-1,Daniel Siebert,Match Report,,2018-2019,Hoffenheim
2019-02-25,20:30,Bundesliga,Matchweek 23,Mon,Away,D,1,1,RB Leipzig,1.3,1.7,48,33569,Oliver Baumann,4-1-2-1-2◆,3-5-2,Felix Brych,Match Report,,2018-2019,Hoffenheim
2019-03-02,15:30,Bundesliga,Matchweek 24,Sat,Away,L,2,3,Eint Frankfurt,1.8,2.3,49,49500,Oliver Baumann,3-4-3,3-4-1-2,Manuel Gräfe,Match Report,,2018-2019,Hoffenheim
2019-03-10,15:30,Bundesliga,Matchweek 25,Sun,Home,W,2,1,Nürnberg,2.9,0.8,64,29015,Kevin Vogt,3-5-2,4-5-1,Christian Dingert,Match Report,,2018-2019,Hoffenheim
2019-03-16,15:30,Bundesliga,Matchweek 26,Sat,Away,D,1,1,Stuttgart,2.4,1.2,60,56743,Kevin Vogt,3-4-1-2,3-4-3,Felix Zwayer,Match Report,,2018-2019,Hoffenheim
2019-03-29,20:30,Bundesliga,Matchweek 27,Fri,Home,W,4,1,Leverkusen,1.5,1.9,36,28350,Kevin Vogt,4-3-3,4-3-3,Harm Osmers,Match Report,,2018-2019,Hoffenheim
2019-04-07,15:30,Bundesliga,Matchweek 28,Sun,Away,W,4,0,Augsburg,3.3,0.7,58,27552,Kevin Vogt,4-2-2-2,5-4-1,Robert Schröder,Match Report,,2018-2019,Hoffenheim
2019-04-14,13:30,Bundesliga,Matchweek 29,Sun,Home,W,2,0,Hertha BSC,3.2,0.4,59,28010,Kevin Vogt,4-3-1-2,4-2-3-1,Martin Petersen,Match Report,,2018-2019,Hoffenheim
2019-04-20,20:30,Bundesliga,Matchweek 30,Sat,Away,W,5,2,Schalke 04,1.9,2.0,60,58958,Kevin Vogt,3-4-3,3-1-4-2,Christian Dingert,Match Report,,2018-2019,Hoffenheim
2019-04-28,15:30,Bundesliga,Matchweek 31,Sun,Home,L,1,4,Wolfsburg,3.0,1.9,46,27725,Kevin Vogt,3-4-3,4-3-1-2,Deniz Aytekin,Match Report,,2018-2019,Hoffenheim
2019-05-04,15:30,Bundesliga,Matchweek 32,Sat,Away,D,2,2,Gladbach,2.6,1.1,57,51807,Kevin Vogt,3-4-3,3-1-4-2,Sascha Stegemann,Match Report,,2018-2019,Hoffenheim
2019-05-11,15:30,Bundesliga,Matchweek 33,Sat,Home,L,0,1,Werder Bremen,2.1,0.9,64,30150,Kevin Vogt,3-4-1-2,4-1-2-1-2,Bastian Dankert,Match Report,,2018-2019,Hoffenheim
2019-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,L,2,4,Mainz 05,1.7,2.9,44,28305,Kevin Vogt,4-3-2-1,4-3-1-2,Deniz Aytekin,Match Report,,2018-2019,Hoffenheim
