Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2021-07-25,13:30,2. Bundesliga,Matchweek 1,Sun,Away,L,0,3,St. Pauli,52,8900.0,Hauke Wahl,4-1-4-1,4-4-2,Aarne Aarnink,Match Report,,2021-2022,Holstein Kiel
2021-08-01,13:30,2. Bundesliga,Matchweek 2,Sun,Home,L,0,3,Schalke 04,63,4100.0,Hauke Wahl,4-1-4-1,3-5-2,Patrick Ittrich,Match Report,,2021-2022,Holstein Kiel
2021-08-07,15:30,DFB-Pokal,Round of 64,Sat,Away,W,4,2,SC Weiche Flensburg 08,74,1700.0,Hauke Wahl,4-3-3,3-5-2,Frank Willenborg,Match Report,Required Extra Time,2021-2022,Holstein Kiel
2021-08-14,13:30,2. Bundesliga,Matchweek 3,Sat,Home,L,0,3,Jahn R'burg,62,3700.0,Hauke Wahl,4-5-1,4-2-2-2,Florian Lechner,Match Report,,2021-2022,Holstein Kiel
2021-08-20,18:30,2. Bundesliga,Matchweek 4,Fri,Away,D,2,2,Düsseldorf,40,16349.0,Hauke Wahl,4-1-4-1,4-1-4-1,Florian Heft,Match Report,,2021-2022,Holstein Kiel
2021-08-28,13:30,2. Bundesliga,Matchweek 5,Sat,Home,W,3,0,Erzgebirge Aue,55,3848.0,Hauke Wahl,4-1-4-1,4-3-1-2,Nicolas Winter,Match Report,,2021-2022,Holstein Kiel
2021-09-11,13:30,2. Bundesliga,Matchweek 6,Sat,Away,D,2,2,Karlsruher,47,10000.0,Hauke Wahl,4-4-1-1,4-1-4-1,Michael Bacher,Match Report,,2021-2022,Holstein Kiel
2021-09-18,13:30,2. Bundesliga,Matchweek 7,Sat,Home,L,0,3,Hannover 96,46,8165.0,Hauke Wahl,4-5-1,4-4-1-1,Timo Gerach,Match Report,,2021-2022,Holstein Kiel
2021-09-25,13:30,2. Bundesliga,Matchweek 8,Sat,Away,W,2,1,Paderborn 07,64,6656.0,Hauke Wahl,4-2-3-1,4-4-2,Franz Bokop,Match Report,,2021-2022,Holstein Kiel
2021-10-02,13:30,2. Bundesliga,Matchweek 9,Sat,Home,L,0,2,Hansa Rostock,71,9240.0,Hauke Wahl,4-1-4-1,4-5-1,Sven Waschitzki,Match Report,,2021-2022,Holstein Kiel
2021-10-16,13:30,2. Bundesliga,Matchweek 10,Sat,Away,D,1,1,Ingolstadt 04,50,9402.0,Hauke Wahl,3-1-4-2,4-4-2,Robin Braun,Match Report,,2021-2022,Holstein Kiel
2021-10-23,13:30,2. Bundesliga,Matchweek 11,Sat,Home,D,1,1,Darmstadt 98,60,7004.0,Hauke Wahl,4-1-3-2,4-4-2,Patrick Alt,Match Report,,2021-2022,Holstein Kiel
2021-10-26,18:30,DFB-Pokal,Round of 32,Tue,Away,L,1,5,Hoffenheim,48,5033.0,Hauke Wahl,4-1-4-1,3-4-1-2,Robert Hartmann,Match Report,,2021-2022,Holstein Kiel
2021-10-30,20:30,2. Bundesliga,Matchweek 12,Sat,Away,D,1,1,Hamburger SV,42,39543.0,Hauke Wahl,4-5-1,4-3-3,Marco Fritz,Match Report,,2021-2022,Holstein Kiel
2021-11-05,18:30,2. Bundesliga,Matchweek 13,Fri,Home,W,2,1,Dresden,67,8919.0,Hauke Wahl,4-3-3,4-5-1,Florian Heft,Match Report,,2021-2022,Holstein Kiel
2021-11-21,13:30,2. Bundesliga,Matchweek 14,Sun,Away,L,1,2,Heidenheim,62,5021.0,Hauke Wahl,4-5-1,4-2-2-2,Patrick Hanslbauer,Match Report,,2021-2022,Holstein Kiel
2021-11-27,20:30,2. Bundesliga,Matchweek 15,Sat,Home,W,2,1,Werder Bremen,49,11525.0,Hauke Wahl,4-5-1,4-2-3-1,Harm Osmers,Match Report,,2021-2022,Holstein Kiel
2021-12-04,13:30,2. Bundesliga,Matchweek 16,Sat,Away,L,1,2,Nürnberg,68,,Hauke Wahl,4-5-1,4-4-2,Alexander Sather,Match Report,,2021-2022,Holstein Kiel
2021-12-11,13:30,2. Bundesliga,Matchweek 17,Sat,Home,D,2,2,Sandhausen,65,7879.0,Hauke Wahl,4-5-1,4-2-3-1,Lasse Koslowski,Match Report,,2021-2022,Holstein Kiel
2021-12-17,18:30,2. Bundesliga,Matchweek 18,Fri,Home,W,3,0,St. Pauli,42,8700.0,Alexander Mühling,3-5-1-1,4-4-2,Robin Braun,Match Report,,2021-2022,Holstein Kiel
