Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-19,20:30,Serie A,Matchweek 1,Sun,Away,L,0,1,Sassuolo,1.1,1.5,61.0,19104.0,Mauro Icardi,4-4-1-1,4-3-3,Maurizio Mariani,Match Report,,2018-2019,Inter
2018-08-26,20:30,Serie A,Matchweek 2,Sun,Home,D,2,2,Torino,0.8,1.1,55.0,59135.0,Mauro Icardi,3-4-3,3-5-2,Paolo Mazzoleni,Match Report,,2018-2019,Inter
2018-09-01,18:00,Serie A,Matchweek 3,Sat,Away,W,3,0,Bologna,1.9,0.5,73.0,26082.0,Samir Handanović,4-2-3-1,3-5-2,Marco Di Bello,Match Report,,2018-2019,Inter
2018-09-15,15:00,Serie A,Matchweek 4,Sat,Home,L,0,1,Parma,1.3,0.3,73.0,59648.0,Samir Handanović,4-2-3-1,4-3-3,Gianluca Manganiello,Match Report,,2018-2019,Inter
2018-09-18,18:55,Champions Lg,Group stage,Tue,Home,W,2,1,eng Tottenham,1.2,0.8,46.0,64123.0,Mauro Icardi,4-2-3-1,4-2-3-1,Ruddy Buquet,Match Report,,2018-2019,Inter
2018-09-22,20:30,Serie A,Matchweek 5,Sat,Away,W,1,0,Sampdoria,0.9,0.4,52.0,22835.0,Mauro Icardi,4-2-3-1,4-3-1-2,Marco Guida,Match Report,,2018-2019,Inter
2018-09-25,21:00,Serie A,Matchweek 6,Tue,Home,W,2,1,Fiorentina,1.7,1.8,50.0,55840.0,Mauro Icardi,4-2-3-1,4-3-3,Paolo Mazzoleni,Match Report,,2018-2019,Inter
2018-09-29,20:30,Serie A,Matchweek 7,Sat,Home,W,2,0,Cagliari,1.0,0.2,50.0,55486.0,Samir Handanović,4-2-3-1,4-3-1-2,Davide Massa,Match Report,,2018-2019,Inter
2018-10-03,21:00,Champions Lg,Group stage,Wed,Away,W,2,1,nl PSV Eindhoven,2.6,0.7,59.0,34750.0,Mauro Icardi,4-2-3-1,4-3-3,Danilo Grujić,Match Report,,2018-2019,Inter
2018-10-07,20:30,Serie A,Matchweek 8,Sun,Away,W,2,1,SPAL,1.4,3.0,49.0,15750.0,Mauro Icardi,4-2-3-1,3-5-2,Fabio Maresca,Match Report,,2018-2019,Inter
2018-10-21,20:30,Serie A,Matchweek 9,Sun,Home,W,1,0,Milan,1.6,0.7,58.0,78275.0,Mauro Icardi,4-2-3-1,4-3-3,Marco Guida,Match Report,,2018-2019,Inter
2018-10-24,21:00,Champions Lg,Group stage,Wed,Away,L,0,2,es Barcelona,1.0,2.2,33.0,86290.0,Mauro Icardi,4-2-3-1,4-3-3,Ovidiu Hațegan,Match Report,,2018-2019,Inter
2018-10-29,20:30,Serie A,Matchweek 10,Mon,Away,W,3,0,Lazio,1.9,1.4,61.0,40068.0,Mauro Icardi,4-3-3,3-1-4-2,Massimiliano Irrati,Match Report,,2018-2019,Inter
2018-11-03,15:00,Serie A,Matchweek 11,Sat,Home,W,5,0,Genoa,2.9,0.4,62.0,67532.0,Samir Handanović,4-3-3,3-4-1-2,Paolo Valeri,Match Report,,2018-2019,Inter
2018-11-06,21:00,Champions Lg,Group stage,Tue,Home,D,1,1,es Barcelona,1.0,1.6,35.0,70915.0,Mauro Icardi,4-2-3-1,4-3-3,Szymon Marciniak,Match Report,,2018-2019,Inter
2018-11-11,12:30,Serie A,Matchweek 12,Sun,Away,L,1,4,Atalanta,1.4,3.4,51.0,20633.0,Mauro Icardi,4-3-3,3-4-3,Fabio Maresca,Match Report,,2018-2019,Inter
