Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-04,15:00,Championship,Matchweek 1,Sat,Home,D,2,2,Blackburn,0.6,1.8,56,18940,Luke Chambers,4-3-3,4-2-3-1,Andrew Davies,Match Report,,2018-2019,Ipswich Town
2018-08-11,15:00,Championship,Matchweek 2,Sat,Away,L,0,1,Rotherham Utd,0.8,0.5,62,9460,Luke Chambers,4-2-3-1,4-4-2,David Webb,Match Report,,2018-2019,Ipswich Town
2018-08-14,19:45,EFL Cup,First round,Tue,Away,D,1 (2),1 (4),Exeter City,,,58,3675,Luke Chambers,4-5-1,4-4-2,Brett Huxtable,Match Report,Exeter City won on penalty kicks following extra time,2018-2019,Ipswich Town
2018-08-18,15:00,Championship,Matchweek 3,Sat,Home,D,1,1,Aston Villa,0.8,0.5,39,17824,Luke Chambers,4-2-3-1,4-4-1-1,Tim Robinson,Match Report,,2018-2019,Ipswich Town
2018-08-21,19:45,Championship,Matchweek 4,Tue,Away,L,0,2,Derby County,0.5,0.4,39,24362,Luke Chambers,4-1-4-1,4-3-3,Scott Duncan,Match Report,,2018-2019,Ipswich Town
2018-08-25,15:00,Championship,Matchweek 5,Sat,Away,L,1,2,Sheffield Weds,0.7,1.7,49,22499,Luke Chambers,4-1-4-1,4-2-3-1,Jeremy Simpson,Match Report,,2018-2019,Ipswich Town
2018-09-02,12:00,Championship,Matchweek 6,Sun,Home,D,1,1,Norwich City,1.5,0.8,45,25690,Luke Chambers,4-4-2,4-2-3-1,Robert Jones,Match Report,,2018-2019,Ipswich Town
2018-09-15,15:00,Championship,Matchweek 7,Sat,Away,L,0,2,Hull City,0.3,1.5,53,11650,Luke Chambers,4-4-1-1,4-4-1-1,Tony Harrington,Match Report,,2018-2019,Ipswich Town
2018-09-18,19:45,Championship,Matchweek 8,Tue,Home,D,1,1,Brentford,0.7,1.1,39,14897,Luke Chambers,3-5-2,4-2-3-1,Darren Bond,Match Report,,2018-2019,Ipswich Town
2018-09-22,15:00,Championship,Matchweek 9,Sat,Home,D,0,0,Bolton,0.4,0.3,61,14755,Luke Chambers,4-2-3-1,4-1-4-1,Steve Martin,Match Report,,2018-2019,Ipswich Town
2018-09-29,15:00,Championship,Matchweek 10,Sat,Away,D,2,2,Birmingham City,0.5,2.3,47,21612,Luke Chambers,4-2-3-1,4-4-2,John Brooks,Match Report,,2018-2019,Ipswich Town
2018-10-02,19:45,Championship,Matchweek 11,Tue,Home,L,0,2,Middlesbrough,0.4,1.0,57,13612,Luke Chambers,4-2-3-1,4-3-3,Andy Madley,Match Report,,2018-2019,Ipswich Town
2018-10-06,15:00,Championship,Matchweek 12,Sat,Away,W,3,2,Swansea City,0.9,2.3,27,18810,Luke Chambers,4-2-3-1,4-1-4-1,Oliver Langford,Match Report,,2018-2019,Ipswich Town
2018-10-20,15:00,Championship,Matchweek 13,Sat,Home,L,0,2,QPR,0.2,1.8,53,18345,Luke Chambers,4-2-3-1,4-4-1-1,Geoff Eltringham,Match Report,,2018-2019,Ipswich Town
2018-10-24,19:45,Championship,Matchweek 14,Wed,Away,L,0,2,Leeds United,0.2,1.2,35,29082,Luke Chambers,4-4-2,3-4-3,Craig Pawson,Match Report,,2018-2019,Ipswich Town
2018-10-27,15:00,Championship,Matchweek 15,Sat,Away,L,0,3,Millwall,0.1,1.2,58,15386,Luke Chambers,5-3-2,4-4-2,Robert Jones,Match Report,,2018-2019,Ipswich Town
2018-11-03,15:00,Championship,Matchweek 16,Sat,Home,D,1,1,Preston,1.4,0.4,53,15129,Luke Chambers,4-3-3,4-2-3-1,Andy Woolmer,Match Report,,2018-2019,Ipswich Town
2018-11-10,15:00,Championship,Matchweek 17,Sat,Away,D,2,2,Reading,0.8,1.0,46,14952,Luke Chambers,4-3-3,4-3-3,Darren Bond,Match Report,,2018-2019,Ipswich Town
2018-11-23,19:45,Championship,Matchweek 18,Fri,Home,L,1,2,West Brom,0.9,2.6,56,22995,Luke Chambers,4-3-3,4-3-3,Keith Stroud,Match Report,,2018-2019,Ipswich Town
2018-11-28,19:45,Championship,Matchweek 19,Wed,Home,L,2,3,Bristol City,0.6,1.7,54,13726,Luke Chambers,4-3-3,4-4-2,David Webb,Match Report,,2018-2019,Ipswich Town
2018-12-01,15:00,Championship,Matchweek 20,Sat,Away,L,0,2,Nott'ham Forest,0.7,2.8,45,27873,Luke Chambers,4-2-2-2,4-2-3-1,James Linington,Match Report,,2018-2019,Ipswich Town
2018-12-08,15:00,Championship,Matchweek 21,Sat,Away,L,0,2,Stoke City,0.7,0.8,50,24694,Luke Chambers,4-2-3-1,4-3-3,Geoff Eltringham,Match Report,,2018-2019,Ipswich Town
2018-12-15,15:00,Championship,Matchweek 22,Sat,Home,W,1,0,Wigan Athletic,0.1,1.5,50,14640,Luke Chambers,4-2-3-1,4-4-1-1,Scott Duncan,Match Report,,2018-2019,Ipswich Town
2018-12-22,15:00,Championship,Matchweek 23,Sat,Home,D,1,1,Sheffield Utd,0.4,1.6,39,17942,Luke Chambers,4-1-4-1,3-4-1-2,Andy Woolmer,Match Report,,2018-2019,Ipswich Town
2018-12-26,15:00,Championship,Matchweek 24,Wed,Away,L,0,3,QPR,0.5,1.0,60,14584,Luke Chambers,4-2-3-1,4-4-1-1,Keith Stroud,Match Report,,2018-2019,Ipswich Town
2018-12-29,15:00,Championship,Matchweek 25,Sat,Away,L,0,2,Middlesbrough,0.7,2.1,57,23334,Luke Chambers,4-3-3,3-5-1-1,Jeremy Simpson,Match Report,,2018-2019,Ipswich Town
2019-01-01,15:00,Championship,Matchweek 26,Tue,Home,L,2,3,Millwall,1.3,2.4,54,16957,Luke Chambers,4-3-3,4-4-2,Steve Martin,Match Report,,2018-2019,Ipswich Town
2019-01-05,15:00,FA Cup,Third round,Sat,Away,L,0,1,Acc'ton Stanley,,,55,2869,Freddie Sears,4-4-2,4-4-2,Dean Whitestone,Match Report,,2018-2019,Ipswich Town
