Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2020-09-05,15:00,EFL Cup,First round,Sat,Home,W,3,0,Bristol Rovers,51,,Luke Chambers,4-3-3,3-4-3,Will Finnie,Match Report,,2020-2021,Ipswich Town
2020-09-13,12:00,League One,Matchweek 1,Sun,Home,W,2,0,Wigan Athletic,49,,Luke Chambers,4-3-3,4-2-3-1,Thomas Bramall,Match Report,,2020-2021,Ipswich Town
2020-09-16,19:00,EFL Cup,Second round,Wed,Home,L,0,1,Fulham,31,,Aristote Nsiala,4-3-3,4-2-3-1,Dean Whitestone,Match Report,,2020-2021,Ipswich Town
2020-09-19,15:00,League One,Matchweek 2,Sat,Away,W,2,0,Bristol Rovers,55,,Luke Chambers,4-3-3,3-5-2,Craig Hicks,Match Report,,2020-2021,Ipswich Town
2020-09-26,15:00,League One,Matchweek 3,Sat,Home,W,2,0,Rochdale,54,,Luke Chambers,4-3-3,4-5-1,John Busby,Match Report,,2020-2021,Ipswich Town
2020-10-03,15:00,League One,Matchweek 4,Sat,Away,D,1,1,MK Dons,34,,Luke Chambers,4-3-3,3-5-2,David Rock,Match Report,,2020-2021,Ipswich Town
2020-10-10,15:00,League One,Matchweek 12,Sat,Away,W,4,1,Blackpool,47,,Luke Chambers,4-3-3,4-3-3,Chris Sarginson,Match Report,,2020-2021,Ipswich Town
2020-10-17,15:00,League One,Matchweek 6,Sat,Home,W,2,0,Acc'ton Stanley,59,,Luke Chambers,4-3-3,3-5-2,Rob Lewis,Match Report,,2020-2021,Ipswich Town
2020-10-20,19:00,League One,Matchweek 7,Tue,Away,L,1,4,Doncaster,54,,Luke Chambers,4-3-3,4-2-3-1,Scott Oldham,Match Report,,2020-2021,Ipswich Town
2020-10-24,15:00,League One,Matchweek 8,Sat,Away,L,0,1,Lincoln City,62,,Luke Chambers,4-3-3,4-3-3,Kevin Johnson,Match Report,,2020-2021,Ipswich Town
2020-10-27,19:00,League One,Matchweek 9,Tue,Home,W,1,0,Gillingham,71,,Luke Chambers,4-3-3,4-4-2,Anthony Coggins,Match Report,,2020-2021,Ipswich Town
2020-10-31,15:00,League One,Matchweek 10,Sat,Home,W,1,0,Crewe Alexandra,44,,Luke Chambers,4-3-3,4-3-3,Trevor Kettle,Match Report,,2020-2021,Ipswich Town
2020-11-03,19:00,League One,Matchweek 11,Tue,Away,L,1,2,Sunderland,55,,Luke Chambers,4-3-3,3-5-2,Peter Wright,Match Report,,2020-2021,Ipswich Town
2020-11-07,15:00,FA Cup,First round proper,Sat,Home,L,2,3,Portsmouth,64,,Aristote Nsiala,4-3-3,4-4-2,Andy Haines,Match Report,Required Extra Time,2020-2021,Ipswich Town
2020-11-21,15:00,League One,Matchweek 13,Sat,Home,W,2,1,Shrewsbury,68,,Luke Chambers,4-3-3,3-4-3,Tim Robinson,Match Report,,2020-2021,Ipswich Town
2020-11-24,19:00,League One,Matchweek 14,Tue,Home,L,0,3,Hull City,64,,Luke Chambers,4-3-3,4-3-3,Lee Swabey,Match Report,,2020-2021,Ipswich Town
2020-11-28,15:00,League One,Matchweek 5,Sat,Home,L,0,2,Charlton Ath,63,,Luke Chambers,4-3-3,4-3-1-2,Craig Hicks,Match Report,,2020-2021,Ipswich Town
2020-12-01,19:00,League One,Matchweek 15,Tue,Away,D,0,0,Oxford United,42,,Luke Chambers,4-3-3,4-3-3,Robert Madley,Match Report,,2020-2021,Ipswich Town
2020-12-05,15:00,League One,Matchweek 16,Sat,Away,W,2,1,Plymouth Argyle,67,1808.0,Luke Chambers,4-3-3,3-5-2,Oliver Yates,Match Report,,2020-2021,Ipswich Town
2020-12-12,15:00,League One,Matchweek 17,Sat,Home,L,0,2,Portsmouth,57,2000.0,Luke Chambers,4-2-3-1,4-4-2,Thomas Bramall,Match Report,,2020-2021,Ipswich Town
