Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-24,18:00,Serie A,Matchweek 1,Sat,Away,W,1,0,Parma,1.4,0.3,61,20073.0,Giorgio Chiellini,4-3-3,4-3-3,Fabio Maresca,Match Report,,2019-2020,Juventus
2019-08-31,20:45,Serie A,Matchweek 2,Sat,Home,W,4,3,Napoli,1.8,1.4,45,39203.0,Leonardo Bonucci,4-3-3,4-4-1-1,Daniele Orsato,Match Report,,2019-2020,Juventus
2019-09-14,15:00,Serie A,Matchweek 3,Sat,Away,D,0,0,Fiorentina,0.4,1.8,53,40000.0,Leonardo Bonucci,4-4-2,3-5-2,Massimiliano Irrati,Match Report,,2019-2020,Juventus
2019-09-18,21:00,Champions Lg,Group stage,Wed,Away,D,2,2,es Atlético Madrid,1.1,2.3,54,66283.0,Leonardo Bonucci,4-3-3,4-4-2,Danny Makkelie,Match Report,,2019-2020,Juventus
2019-09-21,18:00,Serie A,Matchweek 4,Sat,Home,W,2,1,Hellas Verona,1.9,1.6,59,39945.0,Leonardo Bonucci,4-3-3,3-4-3,Federico La Penna,Match Report,,2019-2020,Juventus
2019-09-24,21:00,Serie A,Matchweek 5,Tue,Away,W,2,1,Brescia,1.7,0.7,67,14000.0,Leonardo Bonucci,4-1-2-1-2◆,4-3-1-2,Fabrizio Pasqua,Match Report,,2019-2020,Juventus
2019-09-28,15:00,Serie A,Matchweek 6,Sat,Home,W,2,0,SPAL,2.0,0.2,67,38995.0,Leonardo Bonucci,4-1-2-1-2◆,3-5-2,Marco Piccinini,Match Report,,2019-2020,Juventus
2019-10-01,21:00,Champions Lg,Group stage,Tue,Home,W,3,0,de Leverkusen,1.2,0.5,46,34525.0,Leonardo Bonucci,4-3-1-2,4-2-3-1,William Collum,Match Report,,2019-2020,Juventus
2019-10-06,20:45,Serie A,Matchweek 7,Sun,Away,W,2,1,Inter,1.5,1.6,49,75923.0,Leonardo Bonucci,4-3-1-2,3-5-2,Gianluca Rocchi,Match Report,,2019-2020,Juventus
2019-10-19,20:45,Serie A,Matchweek 8,Sat,Home,W,2,1,Bologna,2.0,0.9,65,40461.0,Leonardo Bonucci,4-3-1-2,4-2-3-1,Massimiliano Irrati,Match Report,,2019-2020,Juventus
2019-10-22,21:00,Champions Lg,Group stage,Tue,Home,W,2,1,ru Loko Moscow,2.4,0.7,77,38547.0,Leonardo Bonucci,4-3-1-2,5-3-2,Tasos Sidiropoulos,Match Report,,2019-2020,Juventus
2019-10-26,15:00,Serie A,Matchweek 9,Sat,Away,D,1,1,Lecce,3.6,1.1,70,26591.0,Leonardo Bonucci,4-3-1-2,4-3-1-2,Paolo Valeri,Match Report,,2019-2020,Juventus
2019-10-30,21:00,Serie A,Matchweek 10,Wed,Home,W,2,1,Genoa,2.7,0.4,54,38732.0,Leonardo Bonucci,4-3-1-2,4-2-3-1,Antonio Giua,Match Report,,2019-2020,Juventus
2019-11-02,20:45,Serie A,Matchweek 11,Sat,Away,W,1,0,Torino,1.2,0.4,58,26664.0,Leonardo Bonucci,4-3-1-2,3-5-1-1,Daniele Doveri,Match Report,,2019-2020,Juventus
