Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-18,22:15,La Liga,Matchweek 1,Fri,Away,L,0,1,Valencia,0.2,1.4,53.0,35971.0,Jonathan Viera,4-1-4-1,4-4-2,Jesús Gil,Match Report,,2017-2018,Las Palmas
2017-08-26,21:15,La Liga,Matchweek 2,Sat,Home,L,1,5,Atlético Madrid,1.4,0.4,62.0,20384.0,Jonathan Viera,4-2-3-1,4-4-2,Ignacio Iglesias,Match Report,,2017-2018,Las Palmas
2017-09-11,21:00,La Liga,Matchweek 3,Mon,Away,W,3,1,Málaga,2.0,1.0,50.0,22697.0,Aythami Artiles,4-2-3-1,4-2-3-1,Xavi Estrada,Match Report,,2017-2018,Las Palmas
2017-09-17,17:30,La Liga,Matchweek 4,Sun,Home,W,1,0,Athletic Club,1.0,1.2,55.0,19213.0,Jonathan Viera,4-2-3-1,4-2-3-1,Pablo González,Match Report,,2017-2018,Las Palmas
2017-09-20,22:00,La Liga,Matchweek 5,Wed,Away,L,0,1,Sevilla,0.4,1.4,41.0,35317.0,David García,4-2-3-1,4-2-3-1,José González,Match Report,,2017-2018,Las Palmas
2017-09-24,17:30,La Liga,Matchweek 6,Sun,Home,L,0,2,Leganés,0.7,1.6,70.0,17560.0,Jonathan Viera,4-2-3-1,4-1-4-1,Alberola Rojas,Match Report,,2017-2018,Las Palmas
2017-10-01,16:15,La Liga,Matchweek 7,Sun,Away,L,0,3,Barcelona,0.7,4.0,52.0,,Jonathan Viera,4-2-3-1,4-4-2,José Munuera,Match Report,,2017-2018,Las Palmas
2017-10-16,20:00,La Liga,Matchweek 8,Mon,Home,L,2,5,Celta Vigo,2.1,1.8,59.0,15799.0,David García,4-3-3,4-3-3,David Medié,Match Report,,2017-2018,Las Palmas
2017-10-22,12:00,La Liga,Matchweek 9,Sun,Away,L,0,4,Villarreal,0.9,2.7,49.0,16606.0,Jonathan Viera,4-3-3,4-1-2-1-2,David Fernández,Match Report,,2017-2018,Las Palmas
2017-10-26,20:30,Copa del Rey,Round of 32,Thu,Away,W,4,1,La Coruña,,,,11951.0,,,,Antonio Matéu Lahoz,Match Report,Leg 1 of 2,2017-2018,Las Palmas
2017-10-30,20:00,La Liga,Matchweek 10,Mon,Home,L,1,3,La Coruña,0.6,1.7,62.0,14805.0,Jonathan Viera,4-3-3,4-2-3-1,Carlos del Cerro,Match Report,,2017-2018,Las Palmas
2017-11-05,20:45,La Liga,Matchweek 11,Sun,Away,L,0,3,Real Madrid,0.2,2.2,41.0,67120.0,Vicente Gómez,5-3-2,4-3-1-2,José Sánchez,Match Report,,2017-2018,Las Palmas
2017-11-19,17:30,La Liga,Matchweek 12,Sun,Home,L,0,2,Levante,0.8,0.9,61.0,26212.0,Jonathan Viera,4-3-3,4-2-3-1,Mario Melero,Match Report,,2017-2018,Las Palmas
2017-11-26,16:15,La Liga,Matchweek 13,Sun,Away,D,2,2,Real Sociedad,1.9,2.2,48.0,19780.0,Jonathan Viera,4-3-3,4-3-3,Pablo González,Match Report,,2017-2018,Las Palmas
2017-11-29,20:30,Copa del Rey,Round of 32,Wed,Home,L,2,3,La Coruña,,,,7558.0,,,,Ricardo de Burgos,Match Report,Leg 2 of 2; Las Palmas won,2017-2018,Las Palmas
2017-12-03,19:45,La Liga,Matchweek 14,Sun,Home,W,1,0,Betis,2.4,0.3,56.0,16313.0,Jonathan Viera,4-2-3-1,4-1-4-1,Javier Estrada,Match Report,,2017-2018,Las Palmas
2017-12-08,21:00,La Liga,Matchweek 15,Fri,Away,L,0,2,Alavés,0.3,3.1,64.0,18567.0,Jonathan Viera,4-2-3-1,4-4-2,David Medié,Match Report,,2017-2018,Las Palmas
2017-12-17,17:30,La Liga,Matchweek 16,Sun,Home,D,2,2,Espanyol,1.8,1.9,61.0,14020.0,Jonathan Viera,4-3-3,4-3-2-1,José Sánchez,Match Report,,2017-2018,Las Palmas
2017-12-20,19:30,La Liga,Matchweek 17,Wed,Away,L,0,2,Getafe,2.1,2.7,66.0,9231.0,Jonathan Viera,4-2-3-1,4-4-2,Ricardo de Burgos,Match Report,,2017-2018,Las Palmas
2018-01-03,20:00,Copa del Rey,Round of 16,Wed,Home,D,1,1,Valencia,,,,16685.0,,,,Alberto Undiano,Match Report,Leg 1 of 2,2017-2018,Las Palmas
2018-01-06,17:30,La Liga,Matchweek 18,Sat,Home,L,1,2,Eibar,0.9,1.6,55.0,12059.0,Jonathan Viera,4-2-3-1,4-4-2,José González,Match Report,,2017-2018,Las Palmas
2018-01-09,21:30,Copa del Rey,Round of 16,Tue,Away,L,0,4,Valencia,,,,27869.0,,,,Carlos del Cerro,Match Report,Leg 2 of 2; Valencia won,2017-2018,Las Palmas
2018-01-13,13:00,La Liga,Matchweek 19,Sat,Away,L,0,6,Girona,0.2,3.6,57.0,10037.0,David García,3-4-3,3-4-3,Mario Melero,Match Report,,2017-2018,Las Palmas
2018-01-20,19:45,La Liga,Matchweek 20,Sat,Home,W,2,1,Valencia,2.8,1.7,59.0,20242.0,Jonathan Viera,4-3-3,4-4-2,José Munuera,Match Report,,2017-2018,Las Palmas
2018-01-28,16:15,La Liga,Matchweek 21,Sun,Away,L,0,3,Atlético Madrid,0.5,2.8,55.0,55363.0,Jonathan Viera,4-1-4-1,4-4-2,Alfonso Álvarez,Match Report,,2017-2018,Las Palmas
2018-02-05,20:00,La Liga,Matchweek 22,Mon,Home,W,1,0,Málaga,0.4,0.7,64.0,17424.0,Jonathan Viera,4-3-3,4-4-2,Ricardo de Burgos,Match Report,,2017-2018,Las Palmas
2018-02-09,21:00,La Liga,Matchweek 23,Fri,Away,D,0,0,Athletic Club,0.4,0.7,46.0,33679.0,Jonathan Viera,4-2-3-1,4-2-3-1,Javier Estrada,Match Report,,2017-2018,Las Palmas
2018-02-17,12:00,La Liga,Matchweek 24,Sat,Home,L,1,2,Sevilla,1.3,3.1,55.0,19161.0,David García,4-2-3-1,4-2-3-1,Ignacio Iglesias,Match Report,,2017-2018,Las Palmas
2018-02-24,18:30,La Liga,Matchweek 25,Sat,Away,D,0,0,Leganés,0.2,1.7,56.0,9325.0,Vicente Gómez,4-2-3-1,4-4-1-1,Santiago Jaime,Match Report,,2017-2018,Las Palmas
2018-03-01,20:00,La Liga,Matchweek 26,Thu,Home,D,1,1,Barcelona,1.6,1.0,36.0,23778.0,Vicente Gómez,4-2-3-1,4-4-2,Antonio Matéu Lahoz,Match Report,,2017-2018,Las Palmas
2018-03-05,21:00,La Liga,Matchweek 27,Mon,Away,L,1,2,Celta Vigo,0.4,1.7,41.0,11276.0,Vicente Gómez,4-1-4-1,4-3-3,Ricardo de Burgos,Match Report,,2017-2018,Las Palmas
2018-03-11,17:30,La Liga,Matchweek 28,Sun,Home,L,0,2,Villarreal,1.1,2.6,54.0,18907.0,Vicente Gómez,4-4-2,4-2-3-1,David Medié,Match Report,,2017-2018,Las Palmas
2018-03-17,13:00,La Liga,Matchweek 29,Sat,Away,D,1,1,La Coruña,0.3,1.5,54.0,18773.0,David García,4-2-3-1,4-1-2-1-2,Juan Martínez,Match Report,,2017-2018,Las Palmas
2018-03-31,17:30,La Liga,Matchweek 30,Sat,Home,L,0,3,Real Madrid,0.9,3.8,51.0,22942.0,Vicente Gómez,4-2-3-1,4-4-2,Pablo González,Match Report,,2017-2018,Las Palmas
2018-04-08,12:00,La Liga,Matchweek 31,Sun,Away,L,1,2,Levante,1.3,1.8,58.0,18402.0,David García,4-2-3-1,4-4-2,David Fernández,Match Report,,2017-2018,Las Palmas
2018-04-14,17:30,La Liga,Matchweek 32,Sat,Home,L,0,1,Real Sociedad,0.8,2.9,49.0,10531.0,David García,4-2-3-1,4-2-3-1,Alfonso Álvarez,Match Report,,2017-2018,Las Palmas
