Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-18,19:00,La Liga 2,Matchweek 1,Sun,Home,L,0,1,Huesca,53.0,10464.0,Aythami Artiles,4-3-3,4-3-3,Jorge Figueroa,Match Report,,2019-2020,Las Palmas
2019-08-24,21:00,La Liga 2,Matchweek 2,Sat,Away,D,1,1,Málaga,38.0,17612.0,Aythami Artiles,4-1-4-1,4-2-3-1,Gorka Sagues,Match Report,,2019-2020,Las Palmas
2019-08-31,20:00,La Liga 2,Matchweek 3,Sat,Home,D,2,2,Racing Sant,61.0,12839.0,Aythami Artiles,4-4-1-1,4-2-3-1,Álvaro Moreno,Match Report,,2019-2020,Las Palmas
2019-09-07,20:00,La Liga 2,Matchweek 4,Sat,Away,D,0,0,Tenerife,48.0,17975.0,Alberto de la Bella,4-1-4-1,4-2-3-1,Isidro Díaz de Mera,Match Report,,2019-2020,Las Palmas
2019-09-14,17:30,La Liga 2,Matchweek 5,Sat,Home,L,0,3,Almería,58.0,10077.0,Martín Mantovani,4-2-3-1,4-2-3-1,Aitor Gorostegui,Match Report,,2019-2020,Las Palmas
2019-09-19,21:00,La Liga 2,Matchweek 6,Thu,Home,W,1,0,Sporting Gijón,47.0,7726.0,Aythami Artiles,4-4-2,4-4-2,Oliver De La Fuente,Match Report,,2019-2020,Las Palmas
2019-09-22,16:00,La Liga 2,Matchweek 7,Sun,Away,L,0,1,Girona,51.0,8332.0,Alberto de la Bella,4-4-2,4-1-4-1,Alejandro Muñíz,Match Report,,2019-2020,Las Palmas
2019-09-27,20:00,La Liga 2,Matchweek 8,Fri,Home,W,3,2,Albacete,60.0,9396.0,Aythami Artiles,4-2-3-1,4-4-2,Gorka Sagues,Match Report,,2019-2020,Las Palmas
2019-10-02,21:00,La Liga 2,Matchweek 9,Wed,Away,W,2,0,Ponferradina,52.0,5008.0,Aythami Artiles,4-4-2,4-2-3-1,Iosu Galech,Match Report,,2019-2020,Las Palmas
2019-10-05,16:00,La Liga 2,Matchweek 10,Sat,Away,W,2,0,Lugo,65.0,2634.0,Aythami Artiles,4-2-3-1,4-4-2,Santiago Varón,Match Report,,2019-2020,Las Palmas
2019-10-13,20:00,La Liga 2,Matchweek 11,Sun,Home,W,3,0,La Coruña,58.0,14795.0,Aythami Artiles,4-4-1-1,4-2-3-1,Luis Milla,Match Report,,2019-2020,Las Palmas
2019-10-18,21:00,La Liga 2,Matchweek 12,Fri,Away,L,0,2,Cádiz,76.0,16440.0,Aythami Artiles,4-1-4-1,4-2-3-1,Saúl Ais,Match Report,,2019-2020,Las Palmas
2019-10-27,17:00,La Liga 2,Matchweek 13,Sun,Home,L,1,3,Fuenlabrada,69.0,13136.0,Aythami Artiles,4-2-3-1,4-4-2,Víctor Areces,Match Report,,2019-2020,Las Palmas
2019-11-03,18:30,La Liga 2,Matchweek 14,Sun,Away,L,0,3,Zaragoza,61.0,22708.0,Aythami Artiles,4-4-1-1,4-4-2,Isidro Díaz de Mera,Match Report,,2019-2020,Las Palmas
2019-11-09,19:00,La Liga 2,Matchweek 15,Sat,Home,D,1,1,Alcorcón,49.0,8891.0,Aythami Artiles,4-2-3-1,4-2-3-1,Daniel Ocón,Match Report,,2019-2020,Las Palmas
2019-11-17,18:30,La Liga 2,Matchweek 16,Sun,Away,L,1,2,CD Mirandés,44.0,2801.0,Javi Castellano,4-2-3-1,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,,2019-2020,Las Palmas
2019-11-24,17:00,La Liga 2,Matchweek 17,Sun,Home,W,3,1,Oviedo,60.0,12020.0,Aythami Artiles,4-2-3-1,4-2-3-1,Jon González,Match Report,,2019-2020,Las Palmas
2019-12-01,20:00,La Liga 2,Matchweek 18,Sun,Away,W,1,0,Extremadura,50.0,4476.0,Aythami Artiles,4-2-3-1,3-4-3,Gorka Sagues,Match Report,,2019-2020,Las Palmas
2019-12-08,17:00,La Liga 2,Matchweek 19,Sun,Home,W,3,1,Numancia,53.0,10841.0,Alberto de la Bella,4-2-3-1,4-2-3-1,Álvaro Moreno,Match Report,,2019-2020,Las Palmas
2019-12-15,18:00,La Liga 2,Matchweek 20,Sun,Away,W,3,2,Elche,70.0,10772.0,Aythami Artiles,4-2-3-1,4-2-3-1,Luis Milla,Match Report,,2019-2020,Las Palmas
2019-12-17,20:00,Copa del Rey,First round,Tue,Away,W,2,0,Castellón,,,,,,,Match Report,,2019-2020,Las Palmas
2019-12-21,17:00,La Liga 2,Matchweek 21,Sat,Home,D,1,1,Rayo Vallecano,65.0,13636.0,Aythami Artiles,4-2-3-1,4-1-4-1,Saúl Ais,Match Report,,2019-2020,Las Palmas
2020-01-04,13:00,La Liga 2,Matchweek 22,Sat,Away,D,0,0,Fuenlabrada,62.0,5117.0,Aythami Artiles,4-2-3-1,4-4-2,Jorge Figueroa,Match Report,,2019-2020,Las Palmas
2020-01-11,18:00,Copa del Rey,Second round,Sat,Away,L,1,2,Badajoz,,,,,,,Match Report,,2019-2020,Las Palmas
2020-01-14,20:30,La Liga 2,Matchweek 23,Tue,Home,L,0,1,Zaragoza,57.0,9397.0,Aythami Artiles,4-2-3-1,4-4-1-1,Iñaki Bikandi,Match Report,,2019-2020,Las Palmas
2020-01-19,18:15,La Liga 2,Matchweek 24,Sun,Away,D,1,1,Racing Sant,56.0,10732.0,Aythami Artiles,4-2-3-1,4-2-3-1,Javier Villanueva,Match Report,,2019-2020,Las Palmas
2020-01-25,17:15,La Liga 2,Matchweek 25,Sat,Home,D,0,0,Tenerife,75.0,21464.0,Aythami Artiles,4-2-3-1,4-4-2,José López,Match Report,,2019-2020,Las Palmas
2020-02-01,18:15,La Liga 2,Matchweek 26,Sat,Away,L,1,2,La Coruña,65.0,27039.0,Aythami Artiles,3-5-1-1,3-4-3,Álvaro Moreno,Match Report,,2019-2020,Las Palmas
2020-02-08,17:15,La Liga 2,Matchweek 27,Sat,Home,L,1,2,Cádiz,70.0,10846.0,Aythami Artiles,4-4-2,4-2-3-1,Santiago Varón,Match Report,,2019-2020,Las Palmas
2020-02-15,18:15,La Liga 2,Matchweek 28,Sat,Away,D,1,1,Numancia,40.0,3513.0,Aythami Artiles,4-4-2,4-2-3-1,Gorka Sagues,Match Report,,2019-2020,Las Palmas
2020-02-22,16:00,La Liga 2,Matchweek 29,Sat,Away,D,1,1,Alcorcón,51.0,2590.0,Martín Mantovani,4-4-1-1,4-2-3-1,Víctor Areces,Match Report,,2019-2020,Las Palmas
2020-02-28,20:00,La Liga 2,Matchweek 30,Fri,Home,D,1,1,Málaga,50.0,8799.0,Aythami Artiles,4-4-1-1,4-4-1-1,Miguel Ángel Ortiz Arias,Match Report,,2019-2020,Las Palmas
2020-03-08,18:15,La Liga 2,Matchweek 31,Sun,Away,L,0,4,Sporting Gijón,56.0,17860.0,Aythami Artiles,4-2-3-1,4-4-1-1,Oliver De La Fuente,Match Report,,2019-2020,Las Palmas
2020-06-13,18:30,La Liga 2,Matchweek 32,Sat,Home,D,0,0,Girona,58.0,,Aythami Artiles,4-4-2,4-2-3-1,Javier Villanueva,Match Report,,2019-2020,Las Palmas
2020-06-17,19:30,La Liga 2,Matchweek 33,Wed,Away,W,1,0,Almería,31.0,,Alberto de la Bella,4-4-2,4-1-4-1,Dámaso Arcediano,Match Report,,2019-2020,Las Palmas
2020-06-20,18:30,La Liga 2,Matchweek 34,Sat,Home,W,1,0,Lugo,60.0,,Aythami Artiles,4-4-2,4-1-4-1,Aitor Gorostegui,Match Report,,2019-2020,Las Palmas
2020-06-24,21:45,La Liga 2,Matchweek 35,Wed,Away,D,0,0,Albacete,54.0,,Alberto de la Bella,4-1-4-1,4-4-2,Jorge Figueroa,Match Report,,2019-2020,Las Palmas
2020-06-27,18:30,La Liga 2,Matchweek 36,Sat,Home,D,1,1,Elche,47.0,,Alberto de la Bella,4-4-2,3-5-2,Gorka Sagues,Match Report,,2019-2020,Las Palmas
2020-07-02,19:30,La Liga 2,Matchweek 37,Thu,Away,L,0,1,Huesca,44.0,,Aythami Artiles,4-4-2,4-2-3-1,Jon González,Match Report,,2019-2020,Las Palmas
2020-07-05,18:30,La Liga 2,Matchweek 38,Sun,Home,W,3,0,Ponferradina,57.0,,Dani Castellano,4-1-4-1,4-2-3-1,Isidro Díaz de Mera,Match Report,,2019-2020,Las Palmas
2020-07-08,19:30,La Liga 2,Matchweek 39,Wed,Away,L,1,2,Oviedo,59.0,,Rubén Castro,4-4-2,4-4-2,Alejandro Muñíz,Match Report,,2019-2020,Las Palmas
2020-07-11,18:30,La Liga 2,Matchweek 40,Sat,Home,W,1,0,CD Mirandés,55.0,,Aythami Artiles,4-1-4-1,4-2-3-1,Álvaro Moreno,Match Report,,2019-2020,Las Palmas
2020-07-17,21:00,La Liga 2,Matchweek 41,Fri,Away,D,2,2,Rayo Vallecano,38.0,,Dani Castellano,4-1-4-1,3-5-2,Luis Milla,Match Report,,2019-2020,Las Palmas
2020-07-20,17:30,La Liga 2,Matchweek 42,Mon,Home,W,5,1,Extremadura,56.0,,Alberto de la Bella,4-1-4-1,4-4-2,Javier Villanueva,Match Report,,2019-2020,Las Palmas
