Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-18,20:30,Serie A,Matchweek 1,Sat,Home,L,1,2,Napoli,1.0,1.4,35.0,32000,Marco Parolo,3-5-2,4-3-3,Luca Banti,Match Report,,2018-2019,Lazio
2018-08-25,18:00,Serie A,Matchweek 2,Sat,Away,L,0,2,Juventus,0.3,1.6,45.0,40171,Senad Lulić,3-5-1-1,4-3-3,Massimiliano Irrati,Match Report,,2018-2019,Lazio
2018-09-02,20:30,Serie A,Matchweek 3,Sun,Home,W,1,0,Frosinone,2.6,0.5,64.0,34465,Senad Lulić,3-5-1-1,5-3-2,Giampaolo Calvarese,Match Report,,2018-2019,Lazio
2018-09-16,18:00,Serie A,Matchweek 4,Sun,Away,W,1,0,Empoli,2.4,1.6,45.0,10832,Senad Lulić,3-5-2,4-3-2-1,Daniele Orsato,Match Report,,2018-2019,Lazio
2018-09-20,18:55,Europa Lg,Group stage,Thu,Home,W,2,1,cy Apollon,3.2,0.8,51.0,11898,Dušan Basta,3-5-2,4-2-3-1,Aghayev Aliyev,Match Report,,2018-2019,Lazio
2018-09-23,15:00,Serie A,Matchweek 5,Sun,Home,W,4,1,Genoa,2.9,0.7,56.0,30000,Senad Lulić,3-5-2,3-5-2,Rosario Abisso,Match Report,,2018-2019,Lazio
2018-09-26,19:00,Serie A,Matchweek 6,Wed,Away,W,2,1,Udinese,1.6,0.9,49.0,19455,Senad Lulić,3-5-1-1,4-4-1-1,Fabio Maresca,Match Report,,2018-2019,Lazio
2018-09-29,15:00,Serie A,Matchweek 7,Sat,Away,L,1,3,Roma,0.9,2.0,55.0,47600,Senad Lulić,3-5-1-1,4-2-3-1,Gianluca Rocchi,Match Report,,2018-2019,Lazio
2018-10-04,21:00,Europa Lg,Group stage,Thu,Away,L,1,4,de Eint Frankfurt,0.7,3.2,54.0,47000,Marco Parolo,3-5-2,3-4-1-2,Serdar Gözübüyük,Match Report,,2018-2019,Lazio
2018-10-07,15:00,Serie A,Matchweek 8,Sun,Home,W,1,0,Fiorentina,1.5,1.1,40.0,30000,Senad Lulić,3-5-2,4-3-3,Daniele Orsato,Match Report,,2018-2019,Lazio
2018-10-21,15:00,Serie A,Matchweek 9,Sun,Away,W,2,0,Parma,2.8,0.2,65.0,18969,Senad Lulić,3-1-4-2,4-3-3,Michael Fabbri,Match Report,,2018-2019,Lazio
2018-10-25,21:00,Europa Lg,Group stage,Thu,Away,W,3,1,fr Marseille,1.8,0.9,33.0,31930,Senad Lulić,3-5-2,4-3-3,Ricardo de Burgos,Match Report,,2018-2019,Lazio
