Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2021-07-24,19:00,Ligue 2,Matchweek 1,Sat,Home,D,0,0,Guingamp,46.0,3661,Alexandre Bonnet,4-3-3,4-2-3-1,Remi Landry,Match Report,,2021-2022,Le Havre
2021-07-31,19:00,Ligue 2,Matchweek 2,Sat,Away,W,2,0,Sochaux,34.0,4204,Victor Lekhal,4-3-3,4-2-3-1,Gaël Angoula,Match Report,,2021-2022,Le Havre
2021-08-07,19:00,Ligue 2,Matchweek 3,Sat,Home,L,1,2,Paris FC,47.0,4662,Alexandre Bonnet,4-4-2,4-3-3,Arnaud Baert,Match Report,,2021-2022,Le Havre
2021-08-14,19:00,Ligue 2,Matchweek 4,Sat,Away,D,0,0,Rodez Aveyron,48.0,1496,Alexandre Bonnet,4-4-2,3-1-4-2,Abdelatif Kherradji,Match Report,,2021-2022,Le Havre
2021-08-21,19:00,Ligue 2,Matchweek 5,Sat,Home,W,2,1,Niort,40.0,4394,Victor Lekhal,4-3-3,4-3-3,Marc Bollengier,Match Report,,2021-2022,Le Havre
2021-08-28,19:00,Ligue 2,Matchweek 6,Sat,Away,D,0,0,Bastia,34.0,8742,Victor Lekhal,4-3-3,4-3-3,Aurélien Petit,Match Report,,2021-2022,Le Havre
2021-09-13,20:45,Ligue 2,Matchweek 7,Mon,Home,D,1,1,Toulouse,41.0,5998,Victor Lekhal,4-4-2,4-3-3,Gaël Angoula,Match Report,,2021-2022,Le Havre
2021-09-18,19:00,Ligue 2,Matchweek 8,Sat,Away,D,1,1,Nancy,39.0,6649,Alexandre Bonnet,4-4-2,4-2-3-1,Franck Schneider,Match Report,,2021-2022,Le Havre
2021-09-21,20:00,Ligue 2,Matchweek 9,Tue,Home,W,1,0,Quevilly-Rouen,53.0,7650,Victor Lekhal,4-4-2,4-5-1,Mathieu Vernice,Match Report,,2021-2022,Le Havre
2021-09-24,21:00,Ligue 2,Matchweek 10,Fri,Away,W,1,0,Nîmes,37.0,2540,Victor Lekhal,4-4-2,4-1-4-1,Aurélien Petit,Match Report,,2021-2022,Le Havre
2021-10-02,19:00,Ligue 2,Matchweek 11,Sat,Home,W,2,0,Dijon,36.0,5096,Victor Lekhal,4-4-2,3-5-1-1,Marc Bollengier,Match Report,,2021-2022,Le Havre
2021-10-16,19:00,Ligue 2,Matchweek 12,Sat,Away,D,2,2,Caen,48.0,16729,Victor Lekhal,4-4-2,4-1-4-1,Hakim Ben El Hadj Salem,Match Report,,2021-2022,Le Havre
2021-10-23,19:00,Ligue 2,Matchweek 13,Sat,Home,W,1,0,Pau FC,53.0,5439,Victor Lekhal,4-4-2,4-3-3,Abdelatif Kherradji,Match Report,,2021-2022,Le Havre
2021-10-30,19:00,Ligue 2,Matchweek 14,Sat,Away,L,0,1,Dunkerque,58.0,2200,Victor Lekhal,4-4-2,4-2-3-1,Pierre Legat,Match Report,,2021-2022,Le Havre
2021-11-06,19:00,Ligue 2,Matchweek 15,Sat,Home,D,0,0,Valenciennes,56.0,5504,Victor Lekhal,4-2-3-1,4-2-2-2,Arnaud Baert,Match Report,,2021-2022,Le Havre
2021-11-13,17:00,Coupe de France,Seventh round,Sat,Away,W,2,0,Vierzon Foot 18,,1386,Alexandre Bonnet,,,Samir Zolota,Match Report,,2021-2022,Le Havre
2021-11-20,19:00,Ligue 2,Matchweek 16,Sat,Home,D,1,1,Amiens,42.0,5120,Victor Lekhal,4-4-2,3-4-3,Jérôme Miguelgorry,Match Report,,2021-2022,Le Havre
2021-11-28,15:00,Coupe de France,Eighth round,Sun,Away,D,0 (3),0 (4),US Chauvigny,,2526,Alexandre Bonnet,,,Ahmed Taleb,Match Report,US Chauvigny won on penalty kicks following extra time,2021-2022,Le Havre
2021-12-03,21:00,Ligue 2,Matchweek 17,Fri,Away,W,2,1,Grenoble,37.0,4085,Alexandre Bonnet,5-3-2,3-4-3,Marc Bollengier,Match Report,,2021-2022,Le Havre
2021-12-11,15:00,Ligue 2,Matchweek 18,Sat,Home,L,0,1,Ajaccio,56.0,7400,Alexandre Bonnet,3-5-2,4-4-2,Jérôme Brisard,Match Report,,2021-2022,Le Havre
2021-12-21,20:45,Ligue 2,Matchweek 19,Tue,Away,W,3,2,Auxerre,32.0,6985,Victor Lekhal,3-4-3,4-1-4-1,Pierre Legat,Match Report,,2021-2022,Le Havre
2022-01-08,15:00,Ligue 2,Matchweek 20,Sat,Home,L,0,1,Sochaux,51.0,4998,Alexandre Bonnet,3-4-3,4-2-3-1,Marc Bollengier,Match Report,,2021-2022,Le Havre
2022-01-17,20:45,Ligue 2,Matchweek 21,Mon,Away,D,2,2,Paris FC,49.0,910,Victor Lekhal,3-4-3,3-5-2,Bartolomeu Varela,Match Report,,2021-2022,Le Havre
2022-01-22,19:00,Ligue 2,Matchweek 22,Sat,Home,D,0,0,Rodez Aveyron,66.0,4045,Pierre Gibaud,3-4-3,3-1-4-2,Abdelatif Kherradji,Match Report,,2021-2022,Le Havre
2022-02-05,19:00,Ligue 2,Matchweek 23,Sat,Away,D,0,0,Niort,56.0,2021,Pierre Gibaud,3-4-3,4-2-3-1,Aurélien Petit,Match Report,,2021-2022,Le Havre
2022-02-14,20:45,Ligue 2,Matchweek 24,Mon,Home,L,2,4,Bastia,60.0,4464,Pierre Gibaud,3-4-1-2,3-5-2,Jérôme Miguelgorry,Match Report,,2021-2022,Le Havre
2022-02-21,20:45,Ligue 2,Matchweek 25,Mon,Away,L,0,4,Toulouse,44.0,11130,Alexandre Bonnet,3-4-1-2,4-3-3,Mathieu Vernice,Match Report,,2021-2022,Le Havre
