Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2021-08-15,18:00,Coppa Italia,First round,Sun,Away,W,3,1,Parma,,,75,1306,Fabio Lucioni,4-3-3,4-3-3,Marco Serra,Match Report,,2021-2022,Lecce
2021-08-22,20:30,Serie B,Matchweek 1,Sun,Away,L,0,3,Cremonese,1.5,2.3,58,2372,Fabio Lucioni,4-3-3,4-2-3-1,Niccolò Baroni,Match Report,,2021-2022,Lecce
2021-08-29,20:30,Serie B,Matchweek 2,Sun,Home,D,1,1,Como,1.3,1.1,62,6192,Fabio Lucioni,4-3-3,4-4-2,Matteo Marchetti,Match Report,,2021-2022,Lecce
2021-09-10,20:30,Serie B,Matchweek 3,Fri,Away,D,0,0,Benevento,1.7,1.3,39,5120,Fabio Lucioni,4-3-3,4-1-4-1,Alberto Santoro,Match Report,,2021-2022,Lecce
2021-09-18,14:00,Serie B,Matchweek 4,Sat,Home,W,3,2,Alessandria,2.2,0.7,61,5003,Fabio Lucioni,4-3-3,3-4-1-2,Piero Giacomelli,Match Report,,2021-2022,Lecce
2021-09-21,20:30,Serie B,Matchweek 5,Tue,Away,W,3,0,Crotone,1.7,1.3,39,2277,Fabio Lucioni,4-3-3,3-4-3,Daniele Paterna,Match Report,,2021-2022,Lecce
2021-09-25,14:00,Serie B,Matchweek 6,Sat,Away,W,2,1,Cittadella,1.4,1.0,46,1773,Fabio Lucioni,4-3-3,4-3-1-2,Matteo Gariglio,Match Report,,2021-2022,Lecce
2021-10-01,20:30,Serie B,Matchweek 7,Fri,Home,W,3,0,Monza,1.8,0.3,42,8442,Fabio Lucioni,4-3-3,3-5-2,Eugenio Abbattista,Match Report,,2021-2022,Lecce
2021-10-16,14:00,Serie B,Matchweek 8,Sat,Away,D,1,1,Ascoli,1.5,1.0,40,4390,Fabio Lucioni,4-3-3,4-3-1-2,Federico Dionisi,Match Report,,2021-2022,Lecce
2021-10-23,14:00,Serie B,Matchweek 9,Sat,Home,D,0,0,Perugia,1.2,0.3,57,6665,Fabio Lucioni,4-3-3,3-4-1-2,Antonio Giua,Match Report,,2021-2022,Lecce
2021-10-28,18:00,Serie B,Matchweek 10,Thu,Away,D,1,1,Brescia,0.7,2.1,49,5938,Fabio Lucioni,4-3-3,4-3-2-1,Massimiliano Irrati,Match Report,,2021-2022,Lecce
2021-11-01,15:00,Serie B,Matchweek 11,Mon,Home,W,3,1,Cosenza,1.8,0.4,58,6556,Fabio Lucioni,4-3-3,3-5-2,Alberto Santoro,Match Report,,2021-2022,Lecce
2021-11-07,14:00,Serie B,Matchweek 12,Sun,Home,W,4,0,Parma,2.5,0.7,50,18765,Fabio Lucioni,4-3-3,3-5-2,Davide Ghersini,Match Report,,2021-2022,Lecce
2021-11-20,14:00,Serie B,Matchweek 13,Sat,Away,D,0,0,Frosinone,1.2,0.8,48,7883,Fabio Lucioni,4-1-4-1,4-3-3,Michael Fabbri,Match Report,,2021-2022,Lecce
2021-11-26,20:30,Serie B,Matchweek 14,Fri,Home,D,3,3,Ternana,1.3,2.1,56,10314,Fabio Lucioni,4-3-3,4-2-3-1,Daniele Paterna,Match Report,,2021-2022,Lecce
2021-11-30,20:30,Serie B,Matchweek 15,Tue,Away,W,3,1,SPAL,1.3,1.1,51,4157,Fabio Lucioni,4-3-3,4-3-3,Marco Guida,Match Report,,2021-2022,Lecce
2021-12-04,16:15,Serie B,Matchweek 16,Sat,Home,W,2,0,US Reggina,1.5,0.8,51,9026,Fabio Lucioni,4-2-3-1,4-3-3,Manuel Volpi,Match Report,,2021-2022,Lecce
2021-12-11,16:15,Serie B,Matchweek 17,Sat,Away,L,0,1,Pisa,1.5,0.6,62,7401,Fabio Lucioni,4-2-3-1,4-3-2-1,Daniele Orsato,Match Report,,2021-2022,Lecce
2021-12-16,18:00,Coppa Italia,Second round,Thu,Away,W,2,0,Spezia,,,45,4000,Marco Bleve,4-3-3,3-5-1-1,Valerio Marini,Match Report,,2021-2022,Lecce
2022-01-16,16:15,Serie B,Matchweek 19,Sun,Away,W,1,0,Pordenone,1.8,0.1,58,976,Fabio Lucioni,4-2-3-1,4-3-3,Andrea Colombo,Match Report,,2021-2022,Lecce
2022-01-20,21:00,Coppa Italia,Round of 16,Thu,Away,L,1,3,Roma,,,43,5000,Marco Bleve,4-1-4-1,4-2-3-1,Manuel Volpi,Match Report,,2021-2022,Lecce
2022-01-23,18:30,Serie B,Matchweek 20,Sun,Home,W,2,1,Cremonese,0.8,0.5,61,3080,Fabio Lucioni,4-1-4-1,4-2-3-1,Daniele Chiffi,Match Report,,2021-2022,Lecce
2022-01-26,20:00,Serie B,Matchweek 18,Wed,Home,W,2,1,Vicenza Virtus,2.8,0.8,59,6422,Fabio Lucioni,4-1-4-1,4-4-2,Marco Guida,Match Report,,2021-2022,Lecce
2022-02-05,14:00,Serie B,Matchweek 21,Sat,Away,D,1,1,Como,2.6,2.1,63,2499,Fabio Lucioni,4-1-4-1,4-4-2,Marco Piccinini,Match Report,,2021-2022,Lecce
2022-02-13,15:30,Serie B,Matchweek 22,Sun,Home,D,1,1,Benevento,1.3,1.2,53,9580,Fabio Lucioni,4-3-3,4-3-3,Luca Pairetto,Match Report,,2021-2022,Lecce
2022-02-16,18:30,Serie B,Matchweek 23,Wed,Away,D,1,1,Alessandria,0.6,1.3,55,2109,Fabio Lucioni,4-3-3,3-4-3,Gianluca Manganiello,Match Report,,2021-2022,Lecce
2022-02-20,15:30,Serie B,Matchweek 24,Sun,Home,W,3,0,Crotone,3.8,0.4,60,8196,Fabio Lucioni,4-1-4-1,3-4-3,Davide Ghersini,Match Report,,2021-2022,Lecce
2022-02-23,18:30,Serie B,Matchweek 25,Wed,Home,L,1,2,Cittadella,2.0,0.5,61,6235,Fabio Lucioni,4-1-4-1,4-3-1-2,Giacomo Camplone,Match Report,,2021-2022,Lecce
2022-02-27,15:30,Serie B,Matchweek 26,Sun,Away,W,1,0,Monza,1.2,1.0,40,6858,Fabio Lucioni,4-3-3,3-5-2,Daniele Doveri,Match Report,,2021-2022,Lecce
2022-03-02,18:30,Serie B,Matchweek 27,Wed,Home,W,3,1,Ascoli,2.8,0.9,43,5359,Arturo Calabresi,4-3-3,4-2-3-1,Rosario Abisso,Match Report,,2021-2022,Lecce
2022-03-06,15:30,Serie B,Matchweek 28,Sun,Away,D,1,1,Perugia,2.1,0.9,51,4663,Fabio Lucioni,4-2-3-1,3-5-2,Alberto Santoro,Match Report,,2021-2022,Lecce
