Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-18,20:15,La Liga,Matchweek 1,Fri,Home,W,1,0,Alavés,1.3,1.1,53.0,9231,Martín Mantovani,4-2-3-1,4-4-2,José Munuera,Match Report,,2017-2018,Leganes
2017-08-27,18:15,La Liga,Matchweek 2,Sun,Away,W,1,0,Espanyol,1.2,1.2,41.0,18383,Martín Mantovani,4-2-3-1,4-4-2,Pablo González,Match Report,,2017-2018,Leganes
2017-09-08,21:00,La Liga,Matchweek 3,Fri,Home,L,1,2,Getafe,1.6,0.4,61.0,11454,Martín Mantovani,4-2-3-1,4-4-2,Alfonso Álvarez,Match Report,,2017-2018,Leganes
2017-09-15,21:00,La Liga,Matchweek 4,Fri,Away,L,0,1,Eibar,0.3,0.5,44.0,4986,Martín Mantovani,5-4-1,4-4-2,Juan Martínez,Match Report,,2017-2018,Leganes
2017-09-20,20:00,La Liga,Matchweek 5,Wed,Home,D,0,0,Girona,0.6,1.2,58.0,9781,Martín Mantovani,4-1-3-2,3-4-1-2,Mario Melero,Match Report,,2017-2018,Leganes
2017-09-24,17:30,La Liga,Matchweek 6,Sun,Away,W,2,0,Las Palmas,1.6,0.7,30.0,17560,Alexander,4-1-4-1,4-2-3-1,Alberola Rojas,Match Report,,2017-2018,Leganes
2017-09-30,20:45,La Liga,Matchweek 7,Sat,Home,D,0,0,Atlético Madrid,0.4,1.1,39.0,11454,Alexander,4-1-4-1,4-4-2,Jesús Gil,Match Report,,2017-2018,Leganes
2017-10-15,18:30,La Liga,Matchweek 8,Sun,Away,W,2,0,Málaga,2.2,1.0,46.0,23951,Alexander,4-2-3-1,4-2-3-1,José González,Match Report,,2017-2018,Leganes
2017-10-22,18:30,La Liga,Matchweek 9,Sun,Home,W,1,0,Athletic Club,1.1,0.7,40.0,11454,Gabriel,4-2-3-1,4-2-3-1,Antonio Matéu Lahoz,Match Report,,2017-2018,Leganes
2017-10-25,20:30,Copa del Rey,Round of 32,Wed,Away,W,2,1,Valladolid,,,,7289,,,,Jesús Gil,Match Report,Leg 1 of 2,2017-2018,Leganes
2017-10-28,22:30,La Liga,Matchweek 10,Sat,Away,L,1,2,Sevilla,1.2,1.7,40.0,32097,Alexander,4-4-1-1,4-3-3,David Medié,Match Report,,2017-2018,Leganes
2017-11-04,13:00,La Liga,Matchweek 11,Sat,Away,L,0,3,Valencia,1.2,2.2,43.0,39694,Alexander,4-4-1-1,4-4-2,Ricardo de Burgos,Match Report,,2017-2018,Leganes
2017-11-18,16:15,La Liga,Matchweek 12,Sat,Home,L,0,3,Barcelona,1.5,2.6,33.0,11454,Alexander,4-2-3-1,4-4-2,Alberto Undiano,Match Report,,2017-2018,Leganes
2017-11-24,21:00,La Liga,Matchweek 13,Fri,Away,L,0,1,Celta Vigo,0.8,1.8,42.0,10611,Alexander,4-4-2,4-4-2,Alejandro Hernández,Match Report,,2017-2018,Leganes
2017-11-28,19:30,Copa del Rey,Round of 32,Tue,Home,W,1,0,Valladolid,,,,5732,,,,José Luis Munuera,Match Report,Leg 2 of 2; Leganés won,2017-2018,Leganes
2017-12-03,12:00,La Liga,Matchweek 14,Sun,Home,W,3,1,Villarreal,1.1,0.8,39.0,10017,Alexander,4-4-1-1,4-1-2-1-2,David Fernández,Match Report,,2017-2018,Leganes
2017-12-09,18:30,La Liga,Matchweek 15,Sat,Away,L,0,1,La Coruña,0.2,0.8,40.0,18366,Alexander,4-4-1-1,4-2-3-1,Mario Melero,Match Report,,2017-2018,Leganes
2017-12-19,21:30,La Liga,Matchweek 17,Tue,Away,D,0,0,Levante,0.4,0.8,43.0,14639,Javier Eraso,4-2-3-1,4-1-4-1,Santiago Jaime,Match Report,,2017-2018,Leganes
2018-01-04,19:00,Copa del Rey,Round of 16,Thu,Home,W,1,0,Villarreal,,,,9173,,,,José Sánchez,Match Report,Leg 1 of 2,2017-2018,Leganes
2018-01-07,12:00,La Liga,Matchweek 18,Sun,Home,W,1,0,Real Sociedad,1.1,0.6,32.0,7523,Gabriel,4-2-3-1,4-3-3,Javier Estrada,Match Report,,2017-2018,Leganes
2018-01-10,19:30,Copa del Rey,Round of 16,Wed,Away,L,1,2,Villarreal,,,,12122,,,,Alfonso Álvarez,Match Report,Leg 2 of 2; Leganés won,2017-2018,Leganes
2018-01-15,21:00,La Liga,Matchweek 19,Mon,Away,L,2,3,Betis,1.5,1.8,26.0,41777,Unai Bustinza,4-2-3-1,4-3-3,Ignacio Iglesias,Match Report,,2017-2018,Leganes
2018-01-18,21:30,Copa del Rey,Quarter-finals,Thu,Home,L,0,1,Real Madrid,,,,11327,,,,José Sánchez,Match Report,Leg 1 of 2,2017-2018,Leganes
2018-01-21,12:00,La Liga,Matchweek 20,Sun,Away,D,2,2,Alavés,1.5,1.6,52.0,19637,Martín Mantovani,4-4-1-1,4-4-2,Daniel Trujillo,Match Report,,2017-2018,Leganes
2018-01-24,21:30,Copa del Rey,Quarter-finals,Wed,Away,W,2,1,Real Madrid,,,,46409,,,,Jesús Gil,Match Report,Leg 2 of 2; Leganés won,2017-2018,Leganes
2018-01-28,12:00,La Liga,Matchweek 21,Sun,Home,W,3,2,Espanyol,0.5,1.1,44.0,10132,Martín Mantovani,4-2-3-1,4-3-3,Juan Martínez,Match Report,,2017-2018,Leganes
2018-01-31,21:30,Copa del Rey,Semi-finals,Wed,Home,D,1,1,Sevilla,,,,11454,,,,José González,Match Report,Leg 1 of 2,2017-2018,Leganes
