Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2021-08-14,17:00,La Liga 2,Matchweek 1,Sat,Away,L,0,1,Real Sociedad B,48.0,2597,Javier Eraso,4-2-3-1,4-3-3,Víctor García Verdura,Match Report,,2021-2022,Leganes
2021-08-23,22:00,La Liga 2,Matchweek 2,Mon,Home,D,0,0,Burgos,71.0,3790,Unai Bustinza,3-4-3,4-2-3-1,Rafael Sánchez,Match Report,,2021-2022,Leganes
2021-08-28,19:30,La Liga 2,Matchweek 3,Sat,Home,L,1,2,Ibiza,47.0,4454,Unai Bustinza,4-4-2,4-2-3-1,Alejandro Quintero,Match Report,,2021-2022,Leganes
2021-09-04,16:00,La Liga 2,Matchweek 4,Sat,Away,D,1,1,Eibar,41.0,1685,Rodrigo Tarín,4-2-3-1,4-2-3-1,Luis Milla,Match Report,,2021-2022,Leganes
2021-09-10,21:00,La Liga 2,Matchweek 5,Fri,Away,L,1,2,Sporting Gijón,55.0,11212,Rodrigo Tarín,4-2-3-1,4-2-3-1,Javier Villanueva,Match Report,,2021-2022,Leganes
2021-09-18,18:15,La Liga 2,Matchweek 6,Sat,Home,W,1,0,Amorebieta,53.0,6342,Unai Bustinza,4-2-3-1,3-5-2,Daniel Trujillo,Match Report,,2021-2022,Leganes
2021-09-26,14:00,La Liga 2,Matchweek 7,Sun,Away,W,2,1,CD Mirandés,46.0,2399,Unai Bustinza,4-2-3-1,4-3-3,Francisco Hernández,Match Report,,2021-2022,Leganes
2021-10-03,21:00,La Liga 2,Matchweek 8,Sun,Home,D,1,1,Lugo,67.0,6131,Unai Bustinza,4-2-3-1,4-3-3,Iván Caparrós,Match Report,,2021-2022,Leganes
2021-10-10,18:15,La Liga 2,Matchweek 9,Sun,Away,L,1,2,Fuenlabrada,50.0,3244,Rodrigo Tarín,4-2-3-1,4-4-2,Gorka Sagues,Match Report,,2021-2022,Leganes
2021-10-17,16:00,La Liga 2,Matchweek 10,Sun,Home,L,0,2,Valladolid,58.0,7436,Kenneth Omeruo,4-2-3-1,4-4-2,Luis Milla,Match Report,,2021-2022,Leganes
2021-10-20,21:00,La Liga 2,Matchweek 11,Wed,Away,D,3,3,Alcorcón,51.0,1700,Rodrigo Tarín,5-3-2,4-1-4-1,Dámaso Arcediano,Match Report,,2021-2022,Leganes
2021-10-23,21:00,La Liga 2,Matchweek 12,Sat,Home,L,1,2,Tenerife,60.0,6454,Rodrigo Tarín,3-4-3,4-4-2,Oliver De La Fuente,Match Report,,2021-2022,Leganes
2021-10-29,21:00,La Liga 2,Matchweek 13,Fri,Away,L,0,1,Almería,47.0,8867,Javier Eraso,4-2-3-1,4-2-3-1,Iosu Galech,Match Report,,2021-2022,Leganes
2021-11-02,21:15,La Liga 2,Matchweek 14,Tue,Home,D,1,1,Cartagena,62.0,4767,Javier Eraso,4-2-3-1,3-1-4-2,Eduardo Prieto,Match Report,,2021-2022,Leganes
2021-11-05,21:00,La Liga 2,Matchweek 15,Fri,Away,W,2,0,Huesca,48.0,5504,Kenneth Omeruo,4-2-3-1,4-4-2,José López,Match Report,,2021-2022,Leganes
2021-11-14,18:15,La Liga 2,Matchweek 16,Sun,Home,D,0,0,Oviedo,61.0,7803,Recio,4-2-3-1,4-4-2,Javier Villanueva,Match Report,,2021-2022,Leganes
2021-11-22,21:00,La Liga 2,Matchweek 17,Mon,Away,W,2,0,Zaragoza,38.0,10426,Recio,4-2-3-1,4-3-3,Dámaso Arcediano,Match Report,,2021-2022,Leganes
2021-11-28,14:00,La Liga 2,Matchweek 18,Sun,Home,W,4,1,Las Palmas,39.0,7008,Recio,4-2-3-1,4-1-4-1,Rubén Ávalos,Match Report,,2021-2022,Leganes
2021-12-02,20:45,Copa del Rey,First round,Thu,Away,W,2,1,Xerez Deportivo FC,,3012,Unai Bustinza,4-4-2,4-2-3-1,Juan Pulido,Match Report,,2021-2022,Leganes
2021-12-06,21:00,La Liga 2,Matchweek 19,Mon,Away,L,0,3,Girona,51.0,5190,Juan Muñoz,4-3-3,3-4-3,Eduardo Prieto,Match Report,,2021-2022,Leganes
2021-12-12,14:00,La Liga 2,Matchweek 20,Sun,Home,D,1,1,Ponferradina,53.0,7117,Juan Muñoz,4-3-3,4-4-2,Raúl González,Match Report,,2021-2022,Leganes
2021-12-15,19:30,Copa del Rey,Second round,Wed,Away,W,3,2,Leonesa,53.0,2500,Javier Eraso,4-2-3-1,4-2-3-1,José López,Match Report,Required Extra Time,2021-2022,Leganes
2021-12-18,16:00,La Liga 2,Matchweek 21,Sat,Away,W,2,0,Málaga,49.0,14571,Recio,4-3-3,4-4-1-1,Javier Villanueva,Match Report,,2021-2022,Leganes
2022-01-02,14:00,La Liga 2,Matchweek 22,Sun,Away,L,0,1,Valladolid,44.0,11700,Unai Bustinza,4-2-3-1,4-4-2,Daniel Trujillo,Match Report,,2021-2022,Leganes
2022-01-05,16:00,Copa del Rey,Round of 32,Wed,Home,L,2,3,Real Sociedad,37.0,6430,Unai Bustinza,4-2-3-1,4-4-2,Antonio Matéu Lahoz,Match Report,,2021-2022,Leganes
2022-01-08,21:00,La Liga 2,Matchweek 23,Sat,Home,D,1,1,Real Sociedad B,64.0,4828,Unai Bustinza,4-3-3,4-3-3,Saúl Ais,Match Report,,2021-2022,Leganes
2022-01-23,14:00,La Liga 2,Matchweek 24,Sun,Away,L,0,4,Burgos,55.0,8362,Recio,4-3-3,3-5-2,Rubén Ávalos,Match Report,,2021-2022,Leganes
