Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2023-08-06,12:00,Championship,Matchweek 1,Sun,Home,W,2,1,Coventry City,1.5,1.8,65.0,31763,Jamie Vardy,4-3-3,3-4-1-2,Darren Bond,Match Report,,2023-2024,Leicester City
2023-08-09,20:00,EFL Cup,First round,Wed,Away,W,2,0,Burton Albion,,,75.0,4631,Marc Albrighton,3-4-3,3-4-3,Gavin Ward,Match Report,,2023-2024,Leicester City
2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,W,1,0,Huddersfield,1.4,1.2,69.0,19541,Ricardo Pereira,4-3-3,4-2-3-1,David Webb,Match Report,,2023-2024,Leicester City
2023-08-19,15:00,Championship,Matchweek 3,Sat,Home,W,2,1,Cardiff City,0.7,1.1,65.0,31595,Ricardo Pereira,4-3-3,4-2-3-1,Graham Scott,Match Report,,2023-2024,Leicester City
2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,W,2,1,Rotherham Utd,1.4,0.6,63.0,11418,Ricardo Pereira,4-3-3,4-3-3,Simon Hooper,Match Report,,2023-2024,Leicester City
2023-08-29,19:45,EFL Cup,Second round,Tue,Away,W,2,0,Tranmere Rovers,,,69.0,6610,Jamie Vardy,3-2-4-1,4-3-3,Ben Toner,Match Report,,2023-2024,Leicester City
2023-09-02,15:00,Championship,Matchweek 5,Sat,Home,L,0,1,Hull City,1.2,0.3,64.0,31318,Ricardo Pereira,3-4-3,4-2-3-1,John Busby,Match Report,,2023-2024,Leicester City
2023-09-15,20:00,Championship,Matchweek 6,Fri,Away,W,4,1,Southampton,4.1,1.6,45.0,28877,Jamie Vardy,4-3-3,4-4-2,Robert Madley,Match Report,,2023-2024,Leicester City
2023-09-20,20:00,Championship,Matchweek 7,Wed,Away,W,2,0,Norwich City,2.3,0.9,57.0,26277,Hamza Choudhury,4-3-3,4-2-3-1,Graham Scott,Match Report,,2023-2024,Leicester City
2023-09-23,15:00,Championship,Matchweek 8,Sat,Home,W,1,0,Bristol City,2.3,0.3,69.0,31674,Jamie Vardy,4-3-3,4-2-3-1,James Bell,Match Report,,2023-2024,Leicester City
2023-09-27,19:45,EFL Cup,Third round,Wed,Away,L,1,3,Liverpool,,,43.0,49732,Ricardo Pereira,4-3-3,4-3-3,Tim Robinson,Match Report,,2023-2024,Leicester City
2023-10-01,12:00,Championship,Matchweek 9,Sun,Away,W,4,1,Blackburn,1.8,1.4,52.0,15937,Jamie Vardy,4-3-3,4-2-3-1,James Linington,Match Report,,2023-2024,Leicester City
2023-10-04,19:45,Championship,Matchweek 10,Wed,Home,W,3,0,Preston,1.5,0.4,75.0,30380,Jamie Vardy,4-3-3,4-4-1-1,Thomas Bramall,Match Report,,2023-2024,Leicester City
2023-10-07,15:00,Championship,Matchweek 11,Sat,Home,W,2,0,Stoke City,2.4,0.2,73.0,31589,Ricardo Pereira,4-3-3,4-4-2,Geoff Eltringham,Match Report,,2023-2024,Leicester City
2023-10-21,15:00,Championship,Matchweek 12,Sat,Away,W,3,1,Swansea City,2.9,0.7,61.0,18509,Jamie Vardy,4-3-3,4-2-3-1,Anthony Backhouse,Match Report,,2023-2024,Leicester City
2023-10-24,20:00,Championship,Matchweek 13,Tue,Home,W,1,0,Sunderland,1.3,1.0,51.0,30951,Ricardo Pereira,4-3-3,4-1-4-1,Keith Stroud,Match Report,,2023-2024,Leicester City
2023-10-28,15:00,Championship,Matchweek 14,Sat,Away,W,2,1,QPR,1.0,0.4,78.0,17385,Jamie Vardy,4-3-3,3-4-3,Leigh Doughty,Match Report,,2023-2024,Leicester City
2023-11-03,20:00,Championship,Matchweek 15,Fri,Home,L,0,1,Leeds United,0.6,1.4,65.0,32011,Jamie Vardy,4-3-3,4-2-3-1,Dean Whitestone,Match Report,,2023-2024,Leicester City
2023-11-11,15:00,Championship,Matchweek 16,Sat,Away,L,0,1,Middlesbrough,0.8,0.9,67.0,30042,Ricardo Pereira,4-3-3,4-2-3-1,Oliver Langford,Match Report,,2023-2024,Leicester City
2023-11-25,15:00,Championship,Matchweek 17,Sat,Home,W,2,0,Watford,2.9,0.8,64.0,31577,Ricardo Pereira,4-3-3,4-3-3,Samuel Allison,Match Report,,2023-2024,Leicester City
2023-11-29,19:45,Championship,Matchweek 18,Wed,Away,D,1,1,Sheffield Weds,1.1,1.5,68.0,26036,Jamie Vardy,4-3-3,4-1-4-1,Samuel Barrott,Match Report,,2023-2024,Leicester City
2023-12-02,12:30,Championship,Matchweek 19,Sat,Away,W,2,1,West Brom,1.3,1.0,59.0,24382,Ricardo Pereira,4-3-3,4-2-3-1,Tim Robinson,Match Report,,2023-2024,Leicester City
2023-12-09,15:00,Championship,Matchweek 20,Sat,Home,W,4,0,Plymouth Argyle,3.0,1.2,64.0,31265,Hamza Choudhury,4-3-3,4-3-3,Sunny Gill,Match Report,,2023-2024,Leicester City
2023-12-13,19:45,Championship,Matchweek 21,Wed,Home,W,3,2,Millwall,2.0,1.3,77.0,28960,Ricardo Pereira,4-3-3,3-4-1-2,Keith Stroud,Match Report,,2023-2024,Leicester City
2023-12-18,20:00,Championship,Matchweek 22,Mon,Away,W,3,2,Birmingham City,2.3,0.5,58.0,20334,Ricardo Pereira,4-3-3,4-2-3-1,David Webb,Match Report,,2023-2024,Leicester City
2023-12-23,15:00,Championship,Matchweek 23,Sat,Home,W,3,0,Rotherham Utd,3.0,0.0,76.0,31175,Ricardo Pereira,4-2-3-1,5-3-2,Darren Bond,Match Report,,2023-2024,Leicester City
2023-12-26,19:45,Championship,Matchweek 24,Tue,Away,D,1,1,Ipswich Town,0.3,1.1,54.0,29410,Ricardo Pereira,4-3-3,4-2-3-1,Samuel Barrott,Match Report,,2023-2024,Leicester City
2023-12-29,19:45,Championship,Matchweek 25,Fri,Away,W,2,0,Cardiff City,1.7,0.4,63.0,24656,Hamza Choudhury,4-2-3-1,4-3-3,John Busby,Match Report,,2023-2024,Leicester City
2024-01-01,15:00,Championship,Matchweek 26,Mon,Home,W,4,1,Huddersfield,2.0,1.0,74.0,30407,Ricardo Pereira,4-2-3-1,3-5-2,Samuel Allison,Match Report,,2023-2024,Leicester City
2024-01-06,12:30,FA Cup,Third round proper,Sat,Away,W,3,2,Millwall,,,,10092,Ricardo Pereira,4-2-3-1,3-4-3,Oliver Langford,Match Report,,2023-2024,Leicester City
2024-01-13,12:30,Championship,Matchweek 27,Sat,Away,L,1,3,Coventry City,1.1,1.4,39.0,29914,Ricardo Pereira,4-2-3-1,4-4-1-1,Darren England,Match Report,,2023-2024,Leicester City
2024-01-22,20:00,Championship,Matchweek 28,Mon,Home,D,1,1,Ipswich Town,1.2,1.2,55.0,31794,Ricardo Pereira,4-2-3-1,4-2-3-1,Joshua Smith,Match Report,,2023-2024,Leicester City
2024-01-27,15:00,FA Cup,Fourth round proper,Sat,Home,W,3,0,Birmingham City,,,56.0,28396,Jamie Vardy,3-4-3◆,4-2-3-1,Craig Pawson,Match Report,,2023-2024,Leicester City
2024-01-30,19:45,Championship,Matchweek 29,Tue,Home,W,3,1,Swansea City,3.2,1.5,54.0,28025,Ricardo Pereira,4-2-3-1,4-4-2,Keith Stroud,Match Report,,2023-2024,Leicester City
2024-02-03,15:00,Championship,Matchweek 30,Sat,Away,W,5,0,Stoke City,3.6,1.1,57.0,22657,Ricardo Pereira,4-2-3-1,4-3-3,Lewis Smith,Match Report,,2023-2024,Leicester City
2024-02-10,15:00,Championship,Matchweek 31,Sat,Away,W,2,1,Watford,1.5,1.1,52.0,20597,Ricardo Pereira,3-2-4-1,4-3-3,Oliver Langford,Match Report,,2023-2024,Leicester City
2024-02-13,19:45,Championship,Matchweek 32,Tue,Home,W,2,0,Sheffield Weds,1.9,0.5,66.0,31550,Jamie Vardy,4-2-3-1,4-1-4-1,Tom Nield,Match Report,,2023-2024,Leicester City
2024-02-17,15:00,Championship,Matchweek 33,Sat,Home,L,1,2,Middlesbrough,2.1,1.0,71.0,31487,Ricardo Pereira,4-2-3-1,5-4-1,Chris Kavanagh,Match Report,,2023-2024,Leicester City
2024-02-23,20:00,Championship,Matchweek 34,Fri,Away,L,1,3,Leeds United,1.6,1.3,40.0,36954,Ricardo Pereira,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,2023-2024,Leicester City
2024-02-27,19:30,FA Cup,Fifth round proper,Tue,Away,W,1,0,Bournemouth,,,51.0,10872,Marc Albrighton,4-3-3,4-2-3-1,Paul Tierney,Match Report,Required Extra Time,2023-2024,Leicester City
2024-03-02,15:00,Championship,Matchweek 35,Sat,Home,L,1,2,QPR,1.0,1.0,73.0,31439,Hamza Choudhury,4-2-3-1,4-2-3-1,Andrew Davies,Match Report,,2023-2024,Leicester City
2024-03-05,19:45,Championship,Matchweek 36,Tue,Away,W,1,0,Sunderland,1.3,0.7,51.0,40293,Jamie Vardy,4-2-3-1,5-4-1,Sunny Gill,Match Report,,2023-2024,Leicester City
2024-03-09,15:00,Championship,Matchweek 37,Sat,Away,D,2,2,Hull City,2.0,1.2,49.0,24605,Jamie Vardy,4-2-3-1,4-2-3-1,Samuel Barrott,Match Report,,2023-2024,Leicester City
2024-03-17,12:45,FA Cup,Quarter-finals,Sun,Away,L,2,4,Chelsea,,,41.0,39589,Hamza Choudhury,4-3-3,4-2-3-1,Andy Madley,Match Report,,2023-2024,Leicester City
2024-03-29,12:30,Championship,Matchweek 39,Fri,Away,L,0,1,Bristol City,2.1,1.0,59.0,25857,Jamie Vardy,4-3-3,3-4-3,Andrew Kitchen,Match Report,,2023-2024,Leicester City
2024-04-01,12:30,Championship,Matchweek 40,Mon,Home,W,3,1,Norwich City,2.2,1.0,61.0,31825,Ricardo Pereira,4-3-3,4-2-3-1,Darren Bond,Match Report,,2023-2024,Leicester City
2024-04-06,15:00,Championship,Matchweek 41,Sat,Home,W,2,1,Birmingham City,1.4,0.5,67.0,31825,Ricardo Pereira,4-3-3,4-2-3-1,David Webb,Match Report,,2023-2024,Leicester City
2024-04-09,19:45,Championship,Matchweek 42,Tue,Away,L,0,1,Millwall,0.9,0.5,72.0,14889,Jamie Vardy,4-2-3-1,4-4-2,Sunny Gill,Match Report,,2023-2024,Leicester City
2024-04-12,20:00,Championship,Matchweek 43,Fri,Away,L,0,1,Plymouth Argyle,1.6,0.2,69.0,16861,Ricardo Pereira,4-2-3-1,3-4-3,Robert Jones,Match Report,,2023-2024,Leicester City
2024-04-20,12:30,Championship,Matchweek 44,Sat,Home,W,2,1,West Brom,2.6,2.1,48.0,31874,Jamie Vardy,4-3-3,5-4-1,Thomas Bramall,Match Report,,2023-2024,Leicester City
2024-04-23,20:00,Championship,Matchweek 38,Tue,Home,W,5,0,Southampton,2.0,0.3,34.0,31872,Jamie Vardy,4-3-3,4-3-3,Robert Madley,Match Report,,2023-2024,Leicester City
2024-04-29,20:00,Championship,Matchweek 45,Mon,Away,W,3,0,Preston,3.3,0.3,66.0,19641,Jamie Vardy,4-3-3,3-4-3,Samuel Allison,Match Report,,2023-2024,Leicester City
2024-05-04,12:30,Championship,Matchweek 46,Sat,Home,L,0,2,Blackburn,1.3,1.7,75.0,32117,Jamie Vardy,4-3-3,3-4-1-2,Andrew Kitchen,Match Report,,2023-2024,Leicester City
