Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-18,15:30,DFB-Pokal,First round,Sat,Away,W,1,0,Pforzheim,,,74,4725,Lars Bender,4-2-3-1,5-4-1,Frank Willenborg,Match Report,,2018-2019,Leverkusen
2018-08-25,18:30,Bundesliga,Matchweek 1,Sat,Away,L,0,2,Gladbach,1.1,3.3,51,53087,Kevin Volland,4-2-3-1,4-3-3,Christian Dingert,Match Report,,2018-2019,Leverkusen
2018-09-01,15:30,Bundesliga,Matchweek 2,Sat,Home,L,1,3,Wolfsburg,1.1,1.7,50,26247,Lars Bender,4-2-3-1,4-3-3,Sven Jablonski,Match Report,,2018-2019,Leverkusen
2018-09-15,15:30,Bundesliga,Matchweek 3,Sat,Away,L,1,3,Bayern Munich,0.8,1.4,24,75000,Lars Bender,5-3-2,4-2-3-1,Tobias Welz,Match Report,,2018-2019,Leverkusen
2018-09-20,22:00,Europa Lg,Group stage,Thu,Away,W,3,2,bg Ludogorets,1.3,0.8,57,8240,Lars Bender,4-4-1-1,4-4-2,Paolo Mazzoleni,Match Report,,2018-2019,Leverkusen
2018-09-23,15:30,Bundesliga,Matchweek 4,Sun,Home,W,1,0,Mainz 05,1.4,0.8,51,27473,Lars Bender,4-2-3-1,4-3-3,Marco Fritz,Match Report,,2018-2019,Leverkusen
2018-09-26,18:30,Bundesliga,Matchweek 5,Wed,Away,W,2,1,Düsseldorf,1.2,1.9,55,40046,Lars Bender,4-2-3-1,4-1-4-1,Manuel Gräfe,Match Report,,2018-2019,Leverkusen
2018-09-29,18:30,Bundesliga,Matchweek 6,Sat,Home,L,2,4,Dortmund,0.9,2.7,43,30210,Lars Bender,4-2-3-1,4-2-3-1,Felix Brych,Match Report,,2018-2019,Leverkusen
2018-10-04,18:55,Europa Lg,Group stage,Thu,Home,W,4,2,cy AÉK Lárnaka,3.0,1.2,55,23354,Lars Bender,4-4-1-1,4-1-4-1,Yevhen Aranovskyi,Match Report,,2018-2019,Leverkusen
2018-10-07,13:30,Bundesliga,Matchweek 7,Sun,Away,D,0,0,Freiburg,0.7,0.5,57,23800,Kevin Volland,4-2-3-1,4-1-4-1,Bastian Dankert,Match Report,,2018-2019,Leverkusen
2018-10-20,15:30,Bundesliga,Matchweek 8,Sat,Home,D,2,2,Hannover 96,2.3,0.9,65,26435,Lars Bender,4-2-3-1,3-4-1-2,Patrick Ittrich,Match Report,,2018-2019,Leverkusen
2018-10-25,18:55,Europa Lg,Group stage,Thu,Away,L,2,3,ch Zürich,0.6,2.3,60,12427,Lars Bender,4-2-3-1,4-2-3-1,Aghayev Aliyev,Match Report,,2018-2019,Leverkusen
2018-10-28,18:00,Bundesliga,Matchweek 9,Sun,Away,W,6,2,Werder Bremen,4.0,1.6,40,40400,Lars Bender,3-4-3,3-5-2,Marco Fritz,Match Report,,2018-2019,Leverkusen
2018-10-31,20:45,DFB-Pokal,Second round,Wed,Away,W,5,0,Gladbach,,,38,48755,Lars Bender,3-4-3,4-3-3,Tobias Welz,Match Report,,2018-2019,Leverkusen
2018-11-03,15:30,Bundesliga,Matchweek 10,Sat,Home,L,1,4,Hoffenheim,2.4,1.8,59,27589,Lars Bender,3-4-3,3-4-1-2,Tobias Stieler,Match Report,,2018-2019,Leverkusen
2018-11-08,21:00,Europa Lg,Group stage,Thu,Home,W,1,0,ch Zürich,1.1,0.7,65,16179,Julian Baumgartlinger,4-3-3,3-4-3,Paweł Gil,Match Report,,2018-2019,Leverkusen
2018-11-11,15:30,Bundesliga,Matchweek 11,Sun,Away,L,0,3,RB Leipzig,0.6,2.5,57,36155,Lars Bender,3-4-3,3-5-2,Martin Petersen,Match Report,,2018-2019,Leverkusen
2018-11-23,20:30,Bundesliga,Matchweek 12,Fri,Home,W,2,0,Stuttgart,2.3,0.5,59,24632,Lars Bender,4-2-3-1,4-4-1-1,Robert Schröder,Match Report,,2018-2019,Leverkusen
2018-11-29,18:55,Europa Lg,Group stage,Thu,Home,D,1,1,bg Ludogorets,1.1,0.9,61,16066,Charles Aránguiz,4-1-4-1,5-4-1,Allard Lindhout,Match Report,,2018-2019,Leverkusen
2018-12-03,20:30,Bundesliga,Matchweek 13,Mon,Away,D,1,1,Nürnberg,1.2,0.8,68,32238,Lars Bender,4-2-3-1,4-2-2-2,Bibiana Steinhaus,Match Report,,2018-2019,Leverkusen
2018-12-08,15:30,Bundesliga,Matchweek 14,Sat,Home,W,1,0,Augsburg,1.6,0.8,62,25558,Lars Bender,4-2-3-1,4-1-4-1,Bastian Dankert,Match Report,,2018-2019,Leverkusen
2018-12-13,22:00,Europa Lg,Group stage,Thu,Away,W,5,1,cy AÉK Lárnaka,2.7,0.8,58,1584,Julian Baumgartlinger,5-3-2,4-2-3-1,François Letexier,Match Report,,2018-2019,Leverkusen
2018-12-16,18:00,Bundesliga,Matchweek 15,Sun,Away,L,1,2,Eint Frankfurt,0.8,3.1,53,46500,Kevin Volland,4-2-3-1,3-4-1-2,Felix Brych,Match Report,,2018-2019,Leverkusen
2018-12-19,18:30,Bundesliga,Matchweek 16,Wed,Away,W,2,1,Schalke 04,0.4,1.7,45,61548,Julian Baumgartlinger,4-2-3-1,4-4-2,Deniz Aytekin,Match Report,,2018-2019,Leverkusen
2018-12-22,15:30,Bundesliga,Matchweek 17,Sat,Home,W,3,1,Hertha BSC,1.6,1.3,56,27647,Julian Baumgartlinger,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,2018-2019,Leverkusen
2019-01-19,15:30,Bundesliga,Matchweek 18,Sat,Home,L,0,1,Gladbach,1.4,0.5,64,29628,Lars Bender,4-3-3,4-3-3,Daniel Siebert,Match Report,,2018-2019,Leverkusen
2019-01-26,15:30,Bundesliga,Matchweek 19,Sat,Away,W,3,0,Wolfsburg,2.8,1.2,54,21736,Lars Bender,4-3-3,4-1-2-1-2,Felix Zwayer,Match Report,,2018-2019,Leverkusen
2019-02-02,15:30,Bundesliga,Matchweek 20,Sat,Home,W,3,1,Bayern Munich,1.1,1.9,49,30210,Kevin Volland,4-3-3,4-2-3-1,Tobias Stieler,Match Report,,2018-2019,Leverkusen
2019-02-05,18:30,DFB-Pokal,Round of 16,Tue,Away,L,1,2,Heidenheim,,,76,11400,Julian Baumgartlinger,4-3-3,4-2-3-1,Robert Hartmann,Match Report,,2018-2019,Leverkusen
2019-02-08,20:30,Bundesliga,Matchweek 21,Fri,Away,W,5,1,Mainz 05,3.1,1.6,71,21905,Kevin Volland,4-3-3,3-4-1-2,Robert Schröder,Match Report,,2018-2019,Leverkusen
2019-02-14,20:55,Europa Lg,Round of 32,Thu,Away,D,0,0,ru Krasnodar,0.9,1.0,69,34827,Kevin Volland,4-3-3,4-3-3,Maurizio Mariani,Match Report,Leg 1 of 2,2018-2019,Leverkusen
2019-02-17,18:00,Bundesliga,Matchweek 22,Sun,Home,W,2,0,Düsseldorf,1.8,0.2,83,27717,Kevin Volland,4-3-3,4-2-3-1,Markus Schmidt,Match Report,,2018-2019,Leverkusen
2019-02-21,21:00,Europa Lg,Round of 32,Thu,Home,D,1,1,ru Krasnodar,1.1,1.6,65,16084,Kevin Volland,4-3-3,4-2-3-1,Gediminas Mažeika,Match Report,Leg 2 of 2; Krasnodar won,2018-2019,Leverkusen
2019-02-24,18:00,Bundesliga,Matchweek 23,Sun,Away,L,2,3,Dortmund,0.8,1.0,66,81029,Kevin Volland,4-3-3,4-2-3-1,Christian Dingert,Match Report,,2018-2019,Leverkusen
2019-03-02,15:30,Bundesliga,Matchweek 24,Sat,Home,W,2,0,Freiburg,2.2,0.4,72,26607,Kevin Volland,4-3-3,4-4-2,Guido Winkmann,Match Report,,2018-2019,Leverkusen
