Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-06,15:00,Ligue 1,Matchweek 1,Sun,Home,W,3,0,Nantes,1.9,1.3,62.0,30683.0,Ibrahim Amadou,5-4-1,4-4-2,Benoît Millot,Match Report,,2017-2018,Lille
2017-08-13,15:00,Ligue 1,Matchweek 2,Sun,Away,L,0,3,Strasbourg,0.9,3.1,53.0,25591.0,Ibrahim Amadou,5-4-1,4-2-3-1,Johan Hamel,Match Report,,2017-2018,Lille
2017-08-20,15:00,Ligue 1,Matchweek 3,Sun,Home,L,0,2,Caen,0.7,1.8,64.0,28740.0,Ibrahim Amadou,3-4-3◆,4-2-3-1,Karim Abed,Match Report,,2017-2018,Lille
2017-08-27,17:00,Ligue 1,Matchweek 4,Sun,Away,D,1,1,Angers,0.8,0.8,56.0,10284.0,Ibrahim Amadou,4-2-3-1,4-1-4-1,Nicolas Rainville,Match Report,,2017-2018,Lille
2017-09-08,19:00,Ligue 1,Matchweek 5,Fri,Home,D,0,0,Bordeaux,0.4,1.0,41.0,27464.0,Ibrahim Amadou,4-2-3-1,4-3-3,François Letexier,Match Report,,2017-2018,Lille
2017-09-16,20:00,Ligue 1,Matchweek 6,Sat,Away,L,0,1,Guingamp,0.5,1.6,56.0,11901.0,Ibrahim Amadou,5-4-1,4-4-2,Jérôme Brisard,Match Report,,2017-2018,Lille
2017-09-22,20:45,Ligue 1,Matchweek 7,Fri,Home,L,0,4,Monaco,1.2,2.7,62.0,34146.0,Ibrahim Amadou,5-4-1,4-4-2,Franck Schneider,Match Report,,2017-2018,Lille
2017-10-14,20:00,Ligue 1,Matchweek 9,Sat,Home,D,2,2,Troyes,1.3,1.5,71.0,29518.0,Ibrahim Amadou,4-2-3-1,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,2017-2018,Lille
2017-10-21,20:00,Ligue 1,Matchweek 10,Sat,Away,L,0,1,Rennes,0.7,0.7,64.0,21852.0,Yassine Benzia,3-3-3-1,4-2-3-1,Olivier Thual,Match Report,,2017-2018,Lille
2017-10-25,18:45,Coupe de la Ligue,Third round,Wed,Home,D,2 (5),2 (4),Valenciennes,,,,30643.0,Yassine Benzia,3-3-3-1,5-3-2,Franck Schneider,Match Report,Lille won on penalty kicks following extra time,2017-2018,Lille
2017-10-29,21:00,Ligue 1,Matchweek 11,Sun,Home,L,0,1,Marseille,1.0,0.8,63.0,43948.0,Ibrahim Amadou,4-2-3-1,4-2-3-1,François Letexier,Match Report,,2017-2018,Lille
2017-11-05,17:00,Ligue 1,Matchweek 12,Sun,Away,W,3,0,Metz,1.5,2.2,60.0,12506.0,Ibrahim Amadou,4-2-3-1,4-1-4-1,Jérôme Brisard,Match Report,,2017-2018,Lille
2017-11-17,19:00,Ligue 1,Matchweek 13,Fri,Home,W,3,1,Saint-Étienne,0.7,1.4,63.0,28019.0,Ibrahim Amadou,4-2-3-1,4-4-1-1,Johan Hamel,Match Report,,2017-2018,Lille
2017-11-20,19:00,Ligue 1,Matchweek 8,Mon,Away,L,0,3,Amiens,0.5,1.2,66.0,9015.0,Ibrahim Amadou,4-3-3,4-2-3-1,Mikael Lesage,Match Report,,2017-2018,Lille
2017-11-25,20:00,Ligue 1,Matchweek 14,Sat,Away,L,0,3,Montpellier,0.4,1.9,62.0,11370.0,Ibrahim Amadou,4-2-3-1,3-4-1-2,Thomas Léonard,Match Report,,2017-2018,Lille
2017-11-29,19:00,Ligue 1,Matchweek 15,Wed,Away,W,2,1,Lyon,1.0,3.1,41.0,31679.0,Ibrahim Amadou,4-1-4-1,4-2-3-1,Jérôme Miguelgorry,Match Report,,2017-2018,Lille
2017-12-02,20:00,Ligue 1,Matchweek 16,Sat,Home,W,1,0,Toulouse,0.7,1.2,49.0,29287.0,Ibrahim Amadou,4-3-3,4-2-3-1,Benoît Millot,Match Report,,2017-2018,Lille
2017-12-09,17:00,Ligue 1,Matchweek 17,Sat,Away,L,1,3,Paris S-G,0.6,1.4,38.0,47176.0,Ibrahim Amadou,4-1-4-1,4-3-3,Johan Hamel,Match Report,,2017-2018,Lille
2017-12-13,21:05,Coupe de la Ligue,Round of 16,Wed,Home,D,1 (2),1 (3),Nice,,,,9651.0,Júnior Alonso,4-3-3,4-3-3,Stéphane Jochem,Match Report,Nice won on penalty kicks following extra time,2017-2018,Lille
2017-12-16,20:00,Ligue 1,Matchweek 18,Sat,Away,L,0,3,Dijon,0.7,0.6,54.0,10634.0,Ibrahim Amadou,4-4-2,4-4-2,Thomas Léonard,Match Report,,2017-2018,Lille
2017-12-20,20:50,Ligue 1,Matchweek 19,Wed,Home,D,1,1,Nice,0.8,0.9,50.0,26450.0,Adama Soumaoro,4-1-4-1,4-3-3,Franck Schneider,Match Report,,2017-2018,Lille
2018-01-06,15:00,Coupe de France,Round of 64,Sat,Away,W,4,2,Le Mans,,,,20983.0,Ibrahim Amadou,,,Jeremy Stinat,Match Report,,2017-2018,Lille
2018-01-13,20:00,Ligue 1,Matchweek 20,Sat,Away,W,1,0,Caen,1.3,1.4,59.0,18283.0,Ibrahim Amadou,4-2-3-1,4-4-2,Johan Hamel,Match Report,,2017-2018,Lille
2018-01-17,19:00,Ligue 1,Matchweek 21,Wed,Home,L,1,2,Rennes,0.6,1.8,44.0,27816.0,Ibrahim Amadou,4-1-4-1,4-4-1-1,Mikael Lesage,Match Report,,2017-2018,Lille
2018-01-20,20:00,Ligue 1,Matchweek 22,Sat,Away,L,0,1,Troyes,0.6,0.8,62.0,9269.0,Ibrahim Amadou,4-1-4-1,4-2-3-1,Stéphane Jochem,Match Report,,2017-2018,Lille
2018-01-25,21:00,Coupe de France,Round of 32,Thu,Away,L,1,2,Strasbourg,,,,10097.0,Ibrahim Amadou,,,Clément Turpin,Match Report,,2017-2018,Lille
2018-01-28,15:00,Ligue 1,Matchweek 23,Sun,Home,W,2,1,Strasbourg,0.8,1.2,58.0,27462.0,Ibrahim Amadou,5-3-2,4-1-2-1-2,Sébastien Desiage,Match Report,,2017-2018,Lille
2018-02-03,17:00,Ligue 1,Matchweek 24,Sat,Home,L,0,3,Paris S-G,0.3,1.7,31.0,49082.0,Ibrahim Amadou,4-1-4-1,4-3-3,Johan Hamel,Match Report,,2017-2018,Lille
2018-02-11,17:00,Ligue 1,Matchweek 25,Sun,Away,D,2,2,Nantes,0.4,2.1,60.0,22655.0,Ibrahim Amadou,4-2-3-1,4-2-3-1,Mikael Lesage,Match Report,,2017-2018,Lille
2018-02-18,17:00,Ligue 1,Matchweek 26,Sun,Home,D,2,2,Lyon,0.7,2.0,46.0,39523.0,Ibrahim Amadou,4-3-3,4-3-3,Benoît Millot,Match Report,,2017-2018,Lille
2018-02-24,20:00,Ligue 1,Matchweek 27,Sat,Home,L,1,2,Angers,0.8,1.6,67.0,28629.0,Ibrahim Amadou,4-2-3-1,4-1-4-1,François Letexier,Match Report,,2017-2018,Lille
2018-03-02,19:00,Ligue 1,Matchweek 28,Fri,Away,L,1,2,Nice,0.9,1.8,45.0,20314.0,Ibrahim Amadou,4-2-3-1,4-3-3,Thomas Léonard,Match Report,,2017-2018,Lille
2018-03-10,20:00,Ligue 1,Matchweek 29,Sat,Home,D,1,1,Montpellier,0.7,0.8,46.0,28609.0,Ibrahim Amadou,5-4-1,3-4-3,Sébastien Moreira,Match Report,,2017-2018,Lille
2018-03-16,20:45,Ligue 1,Matchweek 30,Fri,Away,L,1,2,Monaco,0.9,1.7,54.0,7147.0,Ibrahim Amadou,4-4-2,4-2-3-1,Clément Turpin,Match Report,,2017-2018,Lille
2018-04-01,17:00,Ligue 1,Matchweek 31,Sun,Home,L,0,1,Amiens,0.7,1.2,61.0,,Ibrahim Amadou,4-4-2,4-4-1-1,Karim Abed,Match Report,,2017-2018,Lille
2018-04-07,20:00,Ligue 1,Matchweek 32,Sat,Away,L,1,2,Bordeaux,0.7,2.1,35.0,34997.0,Yassine Benzia,4-3-3,4-3-3,Thomas Léonard,Match Report,,2017-2018,Lille
2018-04-14,20:00,Ligue 1,Matchweek 33,Sat,Home,D,2,2,Guingamp,1.9,0.5,50.0,33461.0,Yassine Benzia,4-2-3-1,4-2-3-1,Benoît Bastien,Match Report,,2017-2018,Lille
2018-04-21,17:00,Ligue 1,Matchweek 34,Sat,Away,L,1,5,Marseille,1.1,2.9,37.0,51098.0,Yassine Benzia,4-2-3-1,4-2-3-1,Amaury Delerue,Match Report,,2017-2018,Lille
2018-04-28,20:00,Ligue 1,Matchweek 35,Sat,Home,W,3,1,Metz,2.1,0.8,50.0,38429.0,Adama Soumaoro,4-2-3-1,4-2-3-1,François Letexier,Match Report,,2017-2018,Lille
2018-05-06,17:00,Ligue 1,Matchweek 36,Sun,Away,W,3,2,Toulouse,2.8,0.8,67.0,26251.0,Ibrahim Amadou,4-2-3-1,4-3-3,Clément Turpin,Match Report,,2017-2018,Lille
2018-05-12,21:00,Ligue 1,Matchweek 37,Sat,Home,W,2,1,Dijon,2.3,1.6,49.0,46342.0,Yassine Benzia,4-2-3-1,3-4-1-2,Nicolas Rainville,Match Report,,2017-2018,Lille
2018-05-19,21:00,Ligue 1,Matchweek 38,Sat,Away,L,0,5,Saint-Étienne,0.5,1.9,47.0,22665.0,Thiago Mendes,4-2-3-1,4-2-3-1,François Letexier,Match Report,,2017-2018,Lille
