Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-18,18:30,DFB-Pokal,First round,Sat,Away,W,3,1,Erzgebirge Aue,,,46,7600,Stefan Bell,4-2-3-1,3-4-1-2,Felix Zwayer,Match Report,,2018-2019,Mainz 05
2018-08-26,15:30,Bundesliga,Matchweek 1,Sun,Home,W,1,0,Stuttgart,1.2,0.9,48,28705,Stefan Bell,4-2-3-1,4-4-2,Daniel Siebert,Match Report,,2018-2019,Mainz 05
2018-09-01,15:30,Bundesliga,Matchweek 2,Sat,Away,D,1,1,Nürnberg,0.5,1.5,43,37781,Stefan Bell,4-4-1-1,4-3-3,Guido Winkmann,Match Report,,2018-2019,Mainz 05
2018-09-15,15:30,Bundesliga,Matchweek 3,Sat,Home,W,2,1,Augsburg,3.3,0.7,53,21105,Niko Bungert,4-4-1-1,3-4-3,Martin Petersen,Match Report,,2018-2019,Mainz 05
2018-09-23,15:30,Bundesliga,Matchweek 4,Sun,Away,L,0,1,Leverkusen,0.8,1.4,49,27473,Stefan Bell,4-3-3,4-2-3-1,Marco Fritz,Match Report,,2018-2019,Mainz 05
2018-09-26,20:30,Bundesliga,Matchweek 5,Wed,Home,D,0,0,Wolfsburg,0.5,1.3,47,19205,Stefan Bell,4-3-3,4-3-3,Tobias Stieler,Match Report,,2018-2019,Mainz 05
2018-09-29,15:30,Bundesliga,Matchweek 6,Sat,Away,L,0,1,Schalke 04,0.8,1.5,57,61810,Stefan Bell,4-3-3,4-2-3-1,Benjamin Cortus,Match Report,,2018-2019,Mainz 05
2018-10-06,15:30,Bundesliga,Matchweek 7,Sat,Home,D,0,0,Hertha BSC,1.6,1.0,54,22405,Stefan Bell,4-3-1-2,4-2-3-1,Daniel Schlager,Match Report,,2018-2019,Mainz 05
2018-10-21,18:00,Bundesliga,Matchweek 8,Sun,Away,L,0,4,Gladbach,0.9,2.7,46,51123,Stefan Bell,4-3-1-2,4-3-3,Sören Storks,Match Report,,2018-2019,Mainz 05
2018-10-27,15:30,Bundesliga,Matchweek 9,Sat,Home,L,1,2,Bayern Munich,0.6,2.2,35,33305,Stefan Bell,4-3-3,4-1-4-1,Harm Osmers,Match Report,,2018-2019,Mainz 05
2018-10-30,20:45,DFB-Pokal,Second round,Tue,Away,L,2,3,Augsburg,,,39,15561,Stefan Bell,4-3-1-2,3-4-3,Manuel Gräfe,Match Report,Required Extra Time,2018-2019,Mainz 05
2018-11-04,18:00,Bundesliga,Matchweek 10,Sun,Home,W,2,1,Werder Bremen,1.0,1.5,37,25105,Stefan Bell,4-3-1-2,4-3-3,Guido Winkmann,Match Report,,2018-2019,Mainz 05
2018-11-10,15:30,Bundesliga,Matchweek 11,Sat,Away,W,3,1,Freiburg,0.8,1.9,42,24000,Stefan Bell,4-1-2-1-2◆,4-4-2,Sascha Stegemann,Match Report,,2018-2019,Mainz 05
2018-11-24,15:30,Bundesliga,Matchweek 12,Sat,Home,L,1,2,Dortmund,1.2,1.0,35,33305,Stefan Bell,5-3-2,4-2-3-1,Deniz Aytekin,Match Report,,2018-2019,Mainz 05
2018-11-30,20:30,Bundesliga,Matchweek 13,Fri,Away,W,1,0,Düsseldorf,1.2,0.9,48,37091,Stefan Bell,4-1-2-1-2◆,5-3-2,Manuel Gräfe,Match Report,,2018-2019,Mainz 05
2018-12-09,15:30,Bundesliga,Matchweek 14,Sun,Home,D,1,1,Hannover 96,3.3,2.3,70,23305,Stefan Bell,4-3-1-2,4-3-1-2,Robert Hartmann,Match Report,,2018-2019,Mainz 05
2018-12-16,15:30,Bundesliga,Matchweek 15,Sun,Away,L,1,4,RB Leipzig,1.1,3.8,57,30136,Stefan Bell,4-1-2-1-2◆,3-1-4-2,Martin Petersen,Match Report,,2018-2019,Mainz 05
2018-12-19,20:30,Bundesliga,Matchweek 16,Wed,Home,D,2,2,Eint Frankfurt,1.7,1.1,51,30805,Stefan Bell,4-3-1-2,3-4-1-2,Daniel Siebert,Match Report,,2018-2019,Mainz 05
2018-12-23,18:00,Bundesliga,Matchweek 17,Sun,Away,D,1,1,Hoffenheim,1.1,2.4,33,28216,Stefan Bell,4-3-1-2,3-4-3,Sascha Stegemann,Match Report,,2018-2019,Mainz 05
2019-01-19,15:30,Bundesliga,Matchweek 18,Sat,Away,W,3,2,Stuttgart,1.0,2.8,39,51881,Stefan Bell,4-3-1-2,4-2-3-1,Tobias Stieler,Match Report,,2018-2019,Mainz 05
2019-01-26,15:30,Bundesliga,Matchweek 19,Sat,Home,W,2,1,Nürnberg,2.3,0.4,53,22005,Stefan Bell,4-3-1-2,4-4-2,Bastian Dankert,Match Report,,2018-2019,Mainz 05
2019-02-03,15:30,Bundesliga,Matchweek 20,Sun,Away,L,0,3,Augsburg,0.2,3.3,48,25733,Daniel Brosinski,4-3-1-2,4-4-1-1,Sören Storks,Match Report,,2018-2019,Mainz 05
2019-02-08,20:30,Bundesliga,Matchweek 21,Fri,Home,L,1,5,Leverkusen,1.6,3.1,29,21905,Stefan Bell,3-4-1-2,4-3-3,Robert Schröder,Match Report,,2018-2019,Mainz 05
