Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-19,19:00,La Liga 2,Matchweek 1,Sun,Home,W,1,0,Osasuna,43.0,9450.0,Xisco Campos,4-4-2,4-2-3-1,Dámaso Arcediano,Match Report,,2018-2019,Mallorca
2018-08-27,20:00,La Liga 2,Matchweek 2,Mon,Away,W,1,0,Majadahonda,34.0,3424.0,Xisco Campos,4-4-2,3-4-3,Abraham Domínguez,Match Report,,2018-2019,Mallorca
2018-08-31,20:00,La Liga 2,Matchweek 3,Fri,Away,L,0,1,Alcorcón,44.0,2428.0,Xisco Campos,4-4-2,4-2-3-1,Víctor Areces,Match Report,,2018-2019,Mallorca
2018-09-07,21:00,La Liga 2,Matchweek 4,Fri,Home,W,1,0,Cádiz,64.0,8907.0,Xisco Campos,4-4-2,4-2-3-1,Isidro Díaz de Mera,Match Report,,2018-2019,Mallorca
2018-09-11,18:45,Copa del Rey,Second round,Tue,Home,W,1,0,Oviedo,,5582.0,Miquel Parera,4-4-2,4-3-3,Iñaki Bikandi,Match Report,,2018-2019,Mallorca
2018-09-16,12:00,La Liga 2,Matchweek 5,Sun,Away,D,1,1,Elche,44.0,10817.0,Xisco Campos,4-4-2,4-4-2,Luis Milla,Match Report,,2018-2019,Mallorca
2018-09-23,12:00,La Liga 2,Matchweek 6,Sun,Home,L,1,3,Albacete,48.0,7682.0,Xisco Campos,4-4-2,4-4-2,Gorka Sagues,Match Report,,2018-2019,Mallorca
2018-09-29,16:00,La Liga 2,Matchweek 7,Sat,Away,D,1,1,Lugo,54.0,3100.0,Manolo Reina,4-3-3,4-3-3,Rubén Ávalos,Match Report,,2018-2019,Mallorca
2018-10-06,16:00,La Liga 2,Matchweek 8,Sat,Home,W,4,1,Tenerife,50.0,7404.0,Manolo Reina,4-3-3,3-4-3,Daniel Ocón,Match Report,,2018-2019,Mallorca
2018-10-14,20:45,La Liga 2,Matchweek 9,Sun,Away,L,0,1,Granada,50.0,9454.0,Manolo Reina,4-2-3-1,4-2-3-1,Juan Pulido,Match Report,,2018-2019,Mallorca
2018-10-21,12:00,La Liga 2,Matchweek 10,Sun,Home,D,1,1,Extremadura,54.0,8100.0,Manolo Reina,4-2-3-1,4-4-2,Álvaro Moreno,Match Report,,2018-2019,Mallorca
2018-10-27,18:00,La Liga 2,Matchweek 11,Sat,Home,D,2,2,Las Palmas,54.0,5835.0,Xisco Campos,4-2-3-1,4-4-2,David Pérez,Match Report,,2018-2019,Mallorca
2018-10-31,20:30,Copa del Rey,Round of 32,Wed,Home,L,1,2,Valladolid,41.0,3121.0,Xisco Campos,4-4-2,4-4-2,David Medié,Match Report,Leg 1 of 2,2018-2019,Mallorca
2018-11-04,16:00,La Liga 2,Matchweek 12,Sun,Away,D,1,1,Oviedo,43.0,13038.0,Xisco Campos,4-1-4-1,3-4-3,José López,Match Report,,2018-2019,Mallorca
2018-11-11,18:00,La Liga 2,Matchweek 13,Sun,Home,W,3,0,Córdoba,47.0,7989.0,Xisco Campos,4-1-4-1,4-1-4-1,Daniel Trujillo,Match Report,,2018-2019,Mallorca
2018-11-17,20:30,La Liga 2,Matchweek 14,Sat,Away,D,2,2,Zaragoza,41.0,21461.0,Xisco Campos,4-3-3,5-3-2,Saúl Ais,Match Report,,2018-2019,Mallorca
2018-11-25,12:00,La Liga 2,Matchweek 15,Sun,Home,W,1,0,Numancia,36.0,7328.0,Xisco Campos,4-4-2,4-3-3,Abraham Domínguez,Match Report,,2018-2019,Mallorca
2018-12-01,18:00,La Liga 2,Matchweek 16,Sat,Away,W,2,0,Reus,39.0,2619.0,Xisco Campos,4-4-2,4-1-4-1,Iñaki Bikandi,Match Report,,2018-2019,Mallorca
2018-12-05,21:30,Copa del Rey,Round of 32,Wed,Away,L,1,2,Valladolid,38.0,9813.0,Abdón Prats,4-4-2,4-4-1-1,Adrián Cordero,Match Report,Leg 2 of 2; Valladolid won,2018-2019,Mallorca
2018-12-08,18:00,La Liga 2,Matchweek 17,Sat,Home,L,1,2,Málaga,52.0,9463.0,Antonio Raillo,4-2-3-1,4-4-2,Aitor Gorostegui,Match Report,,2018-2019,Mallorca
2018-12-15,20:00,La Liga 2,Matchweek 18,Sat,Away,L,0,1,Sporting Gijón,44.0,18170.0,Xisco Campos,4-3-3,4-4-2,Álvaro Moreno,Match Report,,2018-2019,Mallorca
2018-12-21,21:00,La Liga 2,Matchweek 19,Fri,Home,W,2,0,Gimnàstic,63.0,5988.0,Xisco Campos,4-4-2,4-4-2,Jorge Figueroa,Match Report,,2018-2019,Mallorca
2019-01-06,12:00,La Liga 2,Matchweek 20,Sun,Away,L,0,2,Almería,51.0,5796.0,Manolo Reina,4-4-2,4-4-2,Daniel Trujillo,Match Report,,2018-2019,Mallorca
2019-01-12,20:30,La Liga 2,Matchweek 21,Sat,Home,W,1,0,La Coruña,36.0,7593.0,Manolo Reina,4-5-1,4-3-1-2,Saúl Ais,Match Report,,2018-2019,Mallorca
2019-01-20,12:00,La Liga 2,Matchweek 22,Sun,Away,L,0,2,Osasuna,53.0,14278.0,Manolo Reina,4-4-2,4-2-3-1,Gorka Sagues,Match Report,,2018-2019,Mallorca
2019-01-26,20:30,La Liga 2,Matchweek 23,Sat,Away,D,1,1,Cádiz,54.0,13496.0,Manolo Reina,4-4-2,4-4-2,Dámaso Arcediano,Match Report,,2018-2019,Mallorca
2019-02-03,12:00,La Liga 2,Matchweek 24,Sun,Home,W,2,0,Alcorcón,30.0,7551.0,Xisco Campos,4-4-2,4-4-2,César Soto,Match Report,,2018-2019,Mallorca
2019-02-10,16:00,La Liga 2,Matchweek 25,Sun,Away,L,0,2,Albacete,52.0,11825.0,Xisco Campos,4-4-2,4-4-2,Aitor Gorostegui,Match Report,,2018-2019,Mallorca
2019-02-17,12:00,La Liga 2,Matchweek 26,Sun,Home,W,3,0,Lugo,49.0,7433.0,Manolo Reina,4-3-3,4-4-1-1,Víctor Areces,Match Report,,2018-2019,Mallorca
2019-02-22,20:00,La Liga 2,Matchweek 27,Fri,Away,D,2,2,Tenerife,37.0,9734.0,Manolo Reina,4-1-4-1,4-2-3-1,Daniel Ocón,Match Report,,2018-2019,Mallorca
2019-03-03,12:00,La Liga 2,Matchweek 28,Sun,Home,D,1,1,Elche,58.0,7335.0,Manolo Reina,4-1-4-1,4-1-4-1,Valentín Pizarro,Match Report,,2018-2019,Mallorca
2019-03-09,16:00,La Liga 2,Matchweek 29,Sat,Home,W,1,0,Oviedo,48.0,8032.0,Manolo Reina,4-3-3,4-1-4-1,Álvaro Moreno,Match Report,,2018-2019,Mallorca
2019-03-17,19:00,La Liga 2,Matchweek 30,Sun,Away,W,2,1,Las Palmas,37.0,14594.0,Manolo Reina,4-2-3-1,4-4-2,Jorge Figueroa,Match Report,,2018-2019,Mallorca
2019-03-25,21:00,La Liga 2,Matchweek 31,Mon,Home,W,3,0,Zaragoza,48.0,7837.0,Manolo Reina,4-2-3-1,4-4-1-1,Oliver De La Fuente,Match Report,,2018-2019,Mallorca
2019-03-31,12:00,La Liga 2,Matchweek 32,Sun,Away,L,2,3,Córdoba,56.0,8148.0,Manolo Reina,4-2-3-1,4-2-3-1,José López,Match Report,,2018-2019,Mallorca
