Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-11,16:30,Premier League,Matchweek 1,Sun,Home,W,4,0,Chelsea,2.2,1.0,46,73620.0,David de Gea,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,2019-2020,Manchester Utd
2019-08-19,20:00,Premier League,Matchweek 2,Mon,Away,D,1,1,Wolves,1.2,0.3,65,31314.0,David de Gea,4-2-3-1,3-5-2,Jonathan Moss,Match Report,,2019-2020,Manchester Utd
2019-08-24,15:00,Premier League,Matchweek 3,Sat,Home,L,1,2,Crystal Palace,2.5,1.1,71,73454.0,David de Gea,4-2-3-1,4-5-1,Paul Tierney,Match Report,,2019-2020,Manchester Utd
2019-08-31,12:30,Premier League,Matchweek 4,Sat,Away,D,1,1,Southampton,1.5,0.9,59,30499.0,Ashley Young,4-2-3-1,4-2-2-2,Mike Dean,Match Report,,2019-2020,Manchester Utd
2019-09-14,15:00,Premier League,Matchweek 5,Sat,Home,W,1,0,Leicester City,1.2,0.6,42,73689.0,Ashley Young,4-2-3-1,4-1-4-1,Martin Atkinson,Match Report,,2019-2020,Manchester Utd
2019-09-19,20:00,Europa Lg,Group stage,Thu,Home,W,1,0,kz Astana FK,2.8,0.3,73,50783.0,Nemanja Matić,4-2-3-1,4-1-4-1,François Letexier,Match Report,,2019-2020,Manchester Utd
2019-09-22,14:00,Premier League,Matchweek 6,Sun,Away,L,0,2,West Ham,0.9,0.4,53,59936.0,Ashley Young,4-2-3-1,4-1-4-1,Anthony Taylor,Match Report,,2019-2020,Manchester Utd
2019-09-25,20:00,EFL Cup,Third round,Wed,Home,D,1 (5),1 (3),Rochdale,,,65,58313.0,Axel Tuanzebe,4-2-3-1,4-5-1,John Brooks,Match Report,Manchester Utd won on penalty kicks following extra time,2019-2020,Manchester Utd
2019-09-30,20:00,Premier League,Matchweek 7,Mon,Home,D,1,1,Arsenal,0.9,1.9,55,73201.0,Ashley Young,4-2-3-1,4-3-3,Kevin Friend,Match Report,,2019-2020,Manchester Utd
2019-10-03,18:55,Europa Lg,Group stage,Thu,Away,D,0,0,nl AZ Alkmaar,0.7,1.0,48,13863.0,David de Gea,4-2-3-1,4-2-3-1,Gediminas Mažeika,Match Report,,2019-2020,Manchester Utd
2019-10-06,16:30,Premier League,Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,0.9,0.8,68,51198.0,Ashley Young,4-2-3-1,5-4-1,Mike Dean,Match Report,,2019-2020,Manchester Utd
2019-10-20,16:30,Premier League,Matchweek 9,Sun,Home,D,1,1,Liverpool,0.7,1.2,34,73737.0,Ashley Young,3-4-1-2,4-3-3,Martin Atkinson,Match Report,,2019-2020,Manchester Utd
2019-10-24,18:55,Europa Lg,Group stage,Thu,Away,W,1,0,rs Partizan,1.4,0.6,59,25627.0,Harry Maguire,3-4-3,4-2-3-1,Javier Estrada,Match Report,,2019-2020,Manchester Utd
2019-10-27,16:30,Premier League,Matchweek 10,Sun,Away,W,3,1,Norwich City,4.2,1.0,54,27108.0,Ashley Young,4-2-3-1,4-1-4-1,Stuart Attwell,Match Report,,2019-2020,Manchester Utd
2019-10-30,20:05,EFL Cup,Fourth round,Wed,Away,W,2,1,Chelsea,,,35,38645.0,Harry Maguire,3-4-1-2,4-3-3,Paul Tierney,Match Report,,2019-2020,Manchester Utd
2019-11-02,12:30,Premier League,Matchweek 11,Sat,Away,L,0,1,Bournemouth,0.8,1.9,57,10669.0,Ashley Young,4-2-3-1,4-4-2,Chris Kavanagh,Match Report,,2019-2020,Manchester Utd
2019-11-07,20:00,Europa Lg,Group stage,Thu,Home,W,3,0,rs Partizan,3.0,0.1,63,62955.0,Ashley Young,4-2-3-1,4-2-3-1,Mattias Gestranius,Match Report,,2019-2020,Manchester Utd
2019-11-10,14:00,Premier League,Matchweek 12,Sun,Home,W,3,1,Brighton,3.6,0.8,42,73556.0,Harry Maguire,4-2-3-1,4-4-2,Jonathan Moss,Match Report,,2019-2020,Manchester Utd
