Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-07-27,20:45,Europa Lg,Third qualifying round,Thu,Home,W,4,2,be Oostende,,,,46519,Dimitri Payet,4-3-3,4-2-3-1,Mete Kalkavan,Match Report,Leg 1 of 2,2017-2018,Marseille
2017-08-03,20:45,Europa Lg,Third qualifying round,Thu,Away,D,0,0,be Oostende,,,,7900,Dimitri Payet,4-3-3,4-2-3-1,Marco Guida,Match Report,Leg 2 of 2; Marseille won,2017-2018,Marseille
2017-08-06,21:00,Ligue 1,Matchweek 1,Sun,Home,W,3,0,Dijon,2.1,0.6,53.0,50904,Dimitri Payet,4-3-3,4-2-3-1,Benoît Bastien,Match Report,,2017-2018,Marseille
2017-08-12,17:00,Ligue 1,Matchweek 2,Sat,Away,W,1,0,Nantes,1.6,1.3,62.0,33654,Patrice Evra,4-2-3-1,4-4-2,Ruddy Buquet,Match Report,,2017-2018,Marseille
2017-08-17,20:45,Europa Lg,Play-off round,Thu,Away,D,1,1,si NK Domžale,,,62.0,10543,Patrice Evra,4-3-3,4-5-1,Bobby Madden,Match Report,Leg 1 of 2,2017-2018,Marseille
2017-08-20,17:00,Ligue 1,Matchweek 3,Sun,Home,D,1,1,Angers,1.3,0.6,59.0,51966,Florian Thauvin,4-2-3-1,4-1-4-1,Jérôme Miguelgorry,Match Report,,2017-2018,Marseille
2017-08-24,20:45,Europa Lg,Play-off round,Thu,Home,W,3,0,si NK Domžale,,,57.0,47352,Patrice Evra,4-3-3,4-2-3-1,Orel Grinfeeld,Match Report,Leg 2 of 2; Marseille won,2017-2018,Marseille
2017-08-27,21:00,Ligue 1,Matchweek 4,Sun,Away,L,1,6,Monaco,1.5,3.8,54.0,16353,Rolando,5-4-1,4-4-2,Ruddy Buquet,Match Report,,2017-2018,Marseille
2017-09-10,21:00,Ligue 1,Matchweek 5,Sun,Home,L,1,3,Rennes,1.5,2.1,65.0,40343,Dimitri Payet,4-3-3,4-4-2,Amaury Delerue,Match Report,,2017-2018,Marseille
2017-09-14,21:05,Europa Lg,Group stage,Thu,Home,W,1,0,tr Konyaspor,1.6,0.3,59.0,8549,Dimitri Payet,4-3-3,4-2-3-1,Gediminas Mažeika,Match Report,,2017-2018,Marseille
2017-09-17,15:00,Ligue 1,Matchweek 6,Sun,Away,W,2,0,Amiens,1.5,0.5,51.0,11698,Dimitri Payet,4-2-3-1,4-4-1-1,Mikael Lesage,Match Report,,2017-2018,Marseille
