Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-25,20:30,Serie A,Matchweek 2,Sat,Away,L,2,3,Napoli,0.7,1.4,50.0,34474,Alessio Romagnoli,4-3-3,4-3-3,Paolo Valeri,Match Report,,2018-2019,Milan
2018-08-31,20:30,Serie A,Matchweek 3,Fri,Home,W,2,1,Roma,1.9,0.3,51.0,57789,Alessio Romagnoli,4-3-3,3-4-1-2,Marco Guida,Match Report,,2018-2019,Milan
2018-09-16,20:30,Serie A,Matchweek 4,Sun,Away,D,1,1,Cagliari,2.1,0.5,64.0,16201,Alessio Romagnoli,4-3-3,4-3-1-2,Rosario Abisso,Match Report,,2018-2019,Milan
2018-09-20,21:00,Europa Lg,Group stage,Thu,Away,W,1,0,lu F91 Dudelange,2.5,0.2,58.0,7983,Alessio Romagnoli,4-3-3,4-4-2,Srđan Jovanović,Match Report,,2018-2019,Milan
2018-09-23,18:00,Serie A,Matchweek 5,Sun,Home,D,2,2,Atalanta,2.6,1.8,56.0,51684,Alessio Romagnoli,4-3-3,3-4-1-2,Daniele Doveri,Match Report,,2018-2019,Milan
2018-09-27,21:00,Serie A,Matchweek 6,Thu,Away,D,1,1,Empoli,1.4,1.2,53.0,13890,Alessio Romagnoli,4-3-3,4-3-1-2,Michael Fabbri,Match Report,,2018-2019,Milan
2018-09-30,20:30,Serie A,Matchweek 7,Sun,Away,W,4,1,Sassuolo,1.2,0.7,40.0,16795,Alessio Romagnoli,4-3-3,4-3-3,Piero Giacomelli,Match Report,,2018-2019,Milan
2018-10-04,18:55,Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,2.1,0.5,52.0,22294,Alessio Romagnoli,4-3-3,4-2-3-1,Bobby Madden,Match Report,,2018-2019,Milan
2018-10-07,15:00,Serie A,Matchweek 8,Sun,Home,W,3,1,Chievo,2.7,0.5,68.0,48088,Ignazio Abate,4-3-3,4-4-2,Giampaolo Calvarese,Match Report,,2018-2019,Milan
2018-10-21,20:30,Serie A,Matchweek 9,Sun,Away,L,0,1,Inter,0.7,1.6,42.0,78275,Alessio Romagnoli,4-3-3,4-2-3-1,Marco Guida,Match Report,,2018-2019,Milan
2018-10-25,18:55,Europa Lg,Group stage,Thu,Home,L,1,2,es Betis,1.3,1.5,49.0,22405,Alessio Romagnoli,4-3-3,3-5-2,Scott Parker,Match Report,,2018-2019,Milan
2018-10-28,18:00,Serie A,Matchweek 10,Sun,Home,W,3,2,Sampdoria,2.0,0.6,46.0,47347,Alessio Romagnoli,4-4-2,4-3-1-2,Fabio Maresca,Match Report,,2018-2019,Milan
2018-10-31,20:30,Serie A,Matchweek 1,Wed,Home,W,2,1,Genoa,1.4,0.4,58.0,46720,Alessio Romagnoli,3-4-1-2,3-5-2,Fabrizio Pasqua,Match Report,,2018-2019,Milan
2018-11-04,20:30,Serie A,Matchweek 11,Sun,Away,W,1,0,Udinese,0.7,0.5,55.0,23540,Alessio Romagnoli,4-4-2,3-1-4-2,Marco Di Bello,Match Report,,2018-2019,Milan
2018-11-08,21:00,Europa Lg,Group stage,Thu,Away,D,1,1,es Betis,0.5,1.2,36.0,45647,Cristián Zapata,3-5-2,3-4-3,Chris Kavanagh,Match Report,,2018-2019,Milan
2018-11-11,20:30,Serie A,Matchweek 12,Sun,Home,L,0,2,Juventus,0.9,1.3,41.0,74729,Alessio Romagnoli,4-4-2,4-3-3,Paolo Mazzoleni,Match Report,,2018-2019,Milan
2018-11-25,18:00,Serie A,Matchweek 13,Sun,Away,D,1,1,Lazio,0.5,1.1,45.0,38269,Ignazio Abate,3-4-3,3-5-1-1,Luca Banti,Match Report,,2018-2019,Milan
2018-11-29,18:55,Europa Lg,Group stage,Thu,Home,W,5,2,lu F91 Dudelange,1.5,0.4,59.0,15521,Cristián Zapata,4-4-2,4-4-2,Vladislav Bezborodov,Match Report,,2018-2019,Milan
2018-12-02,12:30,Serie A,Matchweek 14,Sun,Home,W,2,1,Parma,1.4,1.4,62.0,53275,Ignazio Abate,4-3-3,4-3-3,Giampaolo Calvarese,Match Report,,2018-2019,Milan
2018-12-09,20:30,Serie A,Matchweek 15,Sun,Home,D,0,0,Torino,1.0,1.0,58.0,44572,Ignazio Abate,4-2-2-2,3-5-1-1,Daniele Orsato,Match Report,,2018-2019,Milan
2018-12-13,22:00,Europa Lg,Group stage,Thu,Away,L,1,3,gr Olympiacos,1.4,3.4,48.0,31010,Ignazio Abate,4-4-2,4-2-3-1,Benoît Bastien,Match Report,,2018-2019,Milan
2018-12-18,20:30,Serie A,Matchweek 16,Tue,Away,D,0,0,Bologna,0.6,0.4,71.0,22214,Alessio Romagnoli,4-4-2,3-5-2,Fabio Maresca,Match Report,,2018-2019,Milan
