Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-07-29,20:00,Trophée des Champions,Trophée des Champions,Sat,Neutral,L,1,2,Paris S-G,,,,43761,Radamel Falcao,4-4-2,4-3-3,Noureddine El Jaafari,Match Report,,2017-2018,Monaco
2017-08-04,20:45,Ligue 1,Matchweek 1,Fri,Home,W,3,2,Toulouse,2.0,0.3,70.0,13572,Radamel Falcao,4-4-2,4-3-3,Clément Turpin,Match Report,,2017-2018,Monaco
2017-08-13,17:00,Ligue 1,Matchweek 2,Sun,Away,W,4,1,Dijon,1.6,1.1,53.0,14295,Radamel Falcao,4-4-2,5-4-1,Tony Chapron,Match Report,,2017-2018,Monaco
2017-08-18,20:45,Ligue 1,Matchweek 3,Fri,Away,W,1,0,Metz,2.2,0.8,56.0,18136,Radamel Falcao,4-4-2,4-2-3-1,François Letexier,Match Report,,2017-2018,Monaco
2017-08-27,21:00,Ligue 1,Matchweek 4,Sun,Home,W,6,1,Marseille,3.8,1.5,46.0,16353,Radamel Falcao,4-4-2,5-4-1,Ruddy Buquet,Match Report,,2017-2018,Monaco
2017-09-09,17:00,Ligue 1,Matchweek 5,Sat,Away,L,0,4,Nice,0.9,2.7,54.0,28995,Radamel Falcao,4-4-2,4-4-2,Clément Turpin,Match Report,,2017-2018,Monaco
2017-09-13,20:45,Champions Lg,Group stage,Wed,Away,D,1,1,de RB Leipzig,1.1,0.9,41.0,40068,Radamel Falcao,4-2-3-1,4-4-2,Michael Oliver,Match Report,,2017-2018,Monaco
2017-09-16,17:00,Ligue 1,Matchweek 6,Sat,Home,W,3,0,Strasbourg,2.5,0.9,59.0,8310,Radamel Falcao,4-4-2,4-2-3-1,Johan Hamel,Match Report,,2017-2018,Monaco
2017-09-22,20:45,Ligue 1,Matchweek 7,Fri,Away,W,4,0,Lille,2.7,1.2,38.0,34146,Radamel Falcao,4-4-2,5-4-1,Franck Schneider,Match Report,,2017-2018,Monaco
2017-09-26,20:45,Champions Lg,Group stage,Tue,Home,L,0,3,pt Porto,0.6,2.9,56.0,11703,Radamel Falcao,4-4-2,4-2-3-1,Slavko Vinčić,Match Report,,2017-2018,Monaco
2017-09-29,20:45,Ligue 1,Matchweek 8,Fri,Home,D,1,1,Montpellier,0.9,1.1,51.0,7053,Radamel Falcao,4-4-2,3-4-1-2,Tony Chapron,Match Report,,2017-2018,Monaco
