Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-05,20:00,Ligue 1,Matchweek 1,Sat,Home,W,1,0,Caen,1.4,0.4,52.0,14725,Ellyes Skhiri,4-2-3-1,4-3-3,Thomas Léonard,Match Report,,2017-2018,Montpellier
2017-08-12,20:00,Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,0.7,1.5,51.0,11876,Ellyes Skhiri,4-2-3-1,4-2-3-1,Ruddy Buquet,Match Report,,2017-2018,Montpellier
2017-08-19,20:00,Ligue 1,Matchweek 3,Sat,Home,D,1,1,Strasbourg,1.8,0.6,55.0,12585,Paul Lasne,4-2-3-1,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,2017-2018,Montpellier
2017-08-26,20:00,Ligue 1,Matchweek 4,Sat,Away,L,1,2,Dijon,1.5,1.3,48.0,10902,Paul Lasne,4-2-3-1,4-4-2,Stéphane Jochem,Match Report,,2017-2018,Montpellier
2017-09-09,20:00,Ligue 1,Matchweek 5,Sat,Home,L,0,1,Nantes,0.5,0.7,61.0,10298,Vitorino Hilton,4-4-2,4-2-3-1,Jérôme Miguelgorry,Match Report,,2017-2018,Montpellier
2017-09-16,20:00,Ligue 1,Matchweek 6,Sat,Away,W,1,0,Troyes,1.1,0.7,51.0,11970,Vitorino Hilton,4-2-3-1,4-1-4-1,Amaury Delerue,Match Report,,2017-2018,Montpellier
2017-09-23,17:00,Ligue 1,Matchweek 7,Sat,Home,D,0,0,Paris S-G,0.2,0.8,26.0,20975,Vitorino Hilton,5-3-2,4-3-3,Clément Turpin,Match Report,,2017-2018,Montpellier
2017-09-29,20:45,Ligue 1,Matchweek 8,Fri,Away,D,1,1,Monaco,1.1,0.9,49.0,7053,Vitorino Hilton,3-4-1-2,4-4-2,Tony Chapron,Match Report,,2017-2018,Montpellier
2017-10-15,17:00,Ligue 1,Matchweek 9,Sun,Home,W,2,0,Nice,1.3,2.0,36.0,14374,Vitorino Hilton,3-4-1-2,4-4-2,Jérôme Brisard,Match Report,,2017-2018,Montpellier
2017-10-20,20:45,Ligue 1,Matchweek 10,Fri,Away,W,1,0,Saint-Étienne,1.8,1.5,43.0,24004,Vitorino Hilton,3-4-1-2,4-2-3-1,Franck Schneider,Match Report,,2017-2018,Montpellier
2017-10-24,21:05,Coupe de la Ligue,Third round,Tue,Away,W,2,0,Guingamp,,,,13318,Ellyes Skhiri,5-3-2,4-3-3,Benoît Millot,Match Report,,2017-2018,Montpellier
2017-10-28,20:00,Ligue 1,Matchweek 11,Sat,Home,L,0,1,Rennes,0.9,0.6,42.0,11790,Vitorino Hilton,3-4-1-2,4-2-3-1,Benoît Bastien,Match Report,,2017-2018,Montpellier
2017-11-04,20:00,Ligue 1,Matchweek 12,Sat,Home,D,1,1,Amiens,1.0,0.5,51.0,10149,Vitorino Hilton,3-4-1-2,4-2-3-1,Stéphane Jochem,Match Report,,2017-2018,Montpellier
2017-11-19,17:00,Ligue 1,Matchweek 13,Sun,Away,D,0,0,Lyon,0.9,0.7,39.0,47651,Vitorino Hilton,5-3-2,4-3-3,Karim Abed,Match Report,,2017-2018,Montpellier
2017-11-25,20:00,Ligue 1,Matchweek 14,Sat,Home,W,3,0,Lille,1.9,0.4,38.0,11370,Vitorino Hilton,3-4-1-2,4-2-3-1,Thomas Léonard,Match Report,,2017-2018,Montpellier
2017-11-29,19:00,Ligue 1,Matchweek 15,Wed,Away,D,0,0,Guingamp,0.4,0.5,43.0,13578,Ellyes Skhiri,5-3-2,4-4-2,Olivier Thual,Match Report,,2017-2018,Montpellier
2017-12-03,21:00,Ligue 1,Matchweek 16,Sun,Home,D,1,1,Marseille,1.0,1.0,32.0,19230,Vitorino Hilton,5-3-2,4-2-3-1,Franck Schneider,Match Report,,2017-2018,Montpellier
2017-12-09,20:00,Ligue 1,Matchweek 17,Sat,Away,D,1,1,Angers,1.2,1.4,44.0,8756,Vitorino Hilton,5-3-2,4-1-2-1-2,Stéphane Jochem,Match Report,,2017-2018,Montpellier
2017-12-13,21:05,Coupe de la Ligue,Round of 16,Wed,Home,W,4,1,Lyon,,,,7447,Vitorino Hilton,5-4-1,4-3-3,Jérôme Brisard,Match Report,,2017-2018,Montpellier
2017-12-16,20:00,Ligue 1,Matchweek 18,Sat,Home,L,1,3,Metz,0.4,0.9,51.0,14055,Vitorino Hilton,5-3-2,5-4-1,Benoît Millot,Match Report,,2017-2018,Montpellier
2017-12-20,20:50,Ligue 1,Matchweek 19,Wed,Away,W,2,0,Bordeaux,1.1,0.5,46.0,16429,Ellyes Skhiri,3-4-3,4-2-3-1,Sébastien Desiage,Match Report,,2017-2018,Montpellier
2018-01-06,15:00,Coupe de France,Round of 64,Sat,Away,D,1 (4),1 (2),Pontarlier,,,,2980,Ellyes Skhiri,,,Franck Schneider,Match Report,Montpellier won on penalty kicks following extra time,2017-2018,Montpellier
2018-01-10,21:05,Coupe de la Ligue,Quarter-finals,Wed,Away,W,1,0,Angers,,,,4705,Vitorino Hilton,5-4-1,4-4-2,Ruddy Buquet,Match Report,,2017-2018,Montpellier
2018-01-13,20:00,Ligue 1,Matchweek 20,Sat,Home,D,0,0,Monaco,1.0,0.8,51.0,14643,Vitorino Hilton,5-4-1,4-2-3-1,Antony Gautier,Match Report,,2017-2018,Montpellier
2018-01-17,19:00,Ligue 1,Matchweek 21,Wed,Away,D,1,1,Amiens,1.1,0.6,48.0,8233,Vitorino Hilton,5-4-1,4-2-3-1,Karim Abed,Match Report,,2017-2018,Montpellier
2018-01-20,20:00,Ligue 1,Matchweek 22,Sat,Home,W,2,1,Toulouse,2.4,1.0,63.0,10652,Vitorino Hilton,3-4-3,4-3-3,Jérôme Brisard,Match Report,,2017-2018,Montpellier
2018-01-24,18:30,Coupe de France,Round of 32,Wed,Home,W,4,3,Lorient,,,,3841,Ellyes Skhiri,,,Benoît Millot,Match Report,,2017-2018,Montpellier
2018-01-27,17:00,Ligue 1,Matchweek 23,Sat,Away,L,0,4,Paris S-G,0.8,4.1,31.0,47379,Vitorino Hilton,3-5-2,4-3-3,Franck Schneider,Match Report,,2017-2018,Montpellier
2018-01-31,21:05,Coupe de la Ligue,Semi-finals,Wed,Away,L,0,2,Monaco,,,,6024,Vitorino Hilton,3-4-1-2,4-4-2,Amaury Delerue,Match Report,,2017-2018,Montpellier
2018-02-03,20:00,Ligue 1,Matchweek 24,Sat,Home,W,2,1,Angers,0.4,1.1,62.0,9549,Ellyes Skhiri,3-4-3,4-5-1,Stéphane Jochem,Match Report,,2017-2018,Montpellier
2018-02-07,21:00,Coupe de France,Round of 16,Wed,Home,L,1,2,Lyon,,,,7000,Vitorino Hilton,3-4-1-2,4-3-3,Mikael Lesage,Match Report,,2017-2018,Montpellier
2018-02-10,20:00,Ligue 1,Matchweek 25,Sat,Away,W,1,0,Metz,1.4,1.0,42.0,12304,Vitorino Hilton,5-4-1,5-4-1,Sébastien Desiage,Match Report,,2017-2018,Montpellier
2018-02-17,20:00,Ligue 1,Matchweek 26,Sat,Home,D,1,1,Guingamp,1.6,1.0,58.0,9936,Vitorino Hilton,3-4-3,4-2-3-1,Karim Abed,Match Report,,2017-2018,Montpellier
2018-02-23,20:45,Ligue 1,Matchweek 27,Fri,Away,D,0,0,Strasbourg,0.7,0.6,42.0,23305,Vitorino Hilton,3-4-1-2,4-1-2-1-2,Amaury Delerue,Match Report,,2017-2018,Montpellier
2018-03-04,17:00,Ligue 1,Matchweek 28,Sun,Home,D,1,1,Lyon,1.2,1.3,36.0,15160,Vitorino Hilton,3-4-3,4-3-3,Benoît Bastien,Match Report,,2017-2018,Montpellier
2018-03-10,20:00,Ligue 1,Matchweek 29,Sat,Away,D,1,1,Lille,0.8,0.7,54.0,28609,Vitorino Hilton,3-4-3,5-4-1,Sébastien Moreira,Match Report,,2017-2018,Montpellier
2018-03-17,20:00,Ligue 1,Matchweek 30,Sat,Home,D,2,2,Dijon,2.4,1.1,53.0,14747,Vitorino Hilton,3-4-3,3-4-3,Thomas Léonard,Match Report,,2017-2018,Montpellier
2018-04-01,17:00,Ligue 1,Matchweek 31,Sun,Away,W,3,1,Caen,1.8,1.4,51.0,17686,Vitorino Hilton,3-4-3,4-3-3,Sébastien Desiage,Match Report,,2017-2018,Montpellier
2018-04-08,21:00,Ligue 1,Matchweek 32,Sun,Away,D,0,0,Marseille,0.3,1.1,36.0,39163,Vitorino Hilton,5-4-1,4-2-3-1,Mikael Lesage,Match Report,,2017-2018,Montpellier
2018-04-15,15:00,Ligue 1,Matchweek 33,Sun,Home,L,1,3,Bordeaux,1.9,1.5,52.0,13520,Ellyes Skhiri,3-4-3,4-1-2-1-2,Karim Abed,Match Report,,2017-2018,Montpellier
2018-04-22,15:00,Ligue 1,Matchweek 34,Sun,Away,L,0,1,Nice,0.9,1.3,42.0,21285,Vitorino Hilton,4-2-3-1,4-3-3,Ruddy Buquet,Match Report,,2017-2018,Montpellier
2018-04-27,20:45,Ligue 1,Matchweek 35,Fri,Home,L,0,1,Saint-Étienne,1.7,1.4,59.0,15814,Vitorino Hilton,3-5-2,4-2-3-1,Thomas Léonard,Match Report,,2017-2018,Montpellier
2018-05-06,17:00,Ligue 1,Matchweek 36,Sun,Away,W,2,0,Nantes,0.5,1.2,44.0,19895,Ellyes Skhiri,3-4-1-2,3-4-1-2,Franck Schneider,Match Report,,2017-2018,Montpellier
2018-05-12,21:00,Ligue 1,Matchweek 37,Sat,Home,D,1,1,Troyes,0.8,0.4,61.0,12125,Ellyes Skhiri,3-4-1-2,4-2-3-1,François Letexier,Match Report,,2017-2018,Montpellier
2018-05-19,21:00,Ligue 1,Matchweek 38,Sat,Away,D,1,1,Rennes,0.7,0.5,43.0,28126,Ellyes Skhiri,3-4-1-2,4-3-3,Karim Abed,Match Report,,2017-2018,Montpellier
