Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2020-09-25,16:45,Serie B,Matchweek 1,Fri,Home,D,0,0,SPAL,2.2,0.3,59.0,956.0,,4-3-1-2,3-4-3,Daniele Orsato,Match Report,,2020-2021,Monza
2020-09-29,20:45,Coppa Italia,Second round,Tue,Home,W,3,0,US Triestina,,,,,,,,Davide Moriconi,Match Report,,2020-2021,Monza
2020-10-03,16:15,Serie B,Matchweek 2,Sat,Away,D,0,0,Empoli,1.7,0.3,54.0,669.0,Marco Armellino,4-3-1-2,4-1-2-1-2,Antonio Di Martino,Match Report,,2020-2021,Monza
2020-10-20,21:00,Serie B,Matchweek 4,Tue,Away,D,1,1,Pisa,0.5,1.6,50.0,549.0,Franco Lepore,4-3-2-1,4-3-1-2,Marco Piccinini,Match Report,,2020-2021,Monza
2020-10-24,14:00,Serie B,Matchweek 5,Sat,Home,L,1,2,Chievo,1.7,2.2,50.0,670.0,Franco Lepore,4-3-1-2,4-4-2,Rosario Abisso,Match Report,,2020-2021,Monza
2020-10-27,18:00,Coppa Italia,Third round,Tue,Away,D,0 (4),0 (1),Pordenone,,,,,,,,Daniel Amabile,Match Report,Monza won on penalty kicks following extra time,2020-2021,Monza
2020-10-31,14:00,Serie B,Matchweek 6,Sat,Away,W,2,1,Cittadella,2.4,1.2,48.0,,Marco Fossati,4-3-1-2,4-3-1-2,Daniele Paterna,Match Report,,2020-2021,Monza
2020-11-07,14:00,Serie B,Matchweek 7,Sat,Home,W,2,0,Frosinone,1.3,0.5,54.0,,Andrea D'Errico,4-3-1-2,3-5-2,Matteo Marchetti,Match Report,,2020-2021,Monza
2020-11-21,14:00,Serie B,Matchweek 8,Sat,Away,D,1,1,Pordenone,2.0,2.3,68.0,,Andrea D'Errico,4-3-1-2,4-3-1-2,Antonio Di Martino,Match Report,,2020-2021,Monza
2020-11-24,14:30,Coppa Italia,Fourth round,Tue,Away,L,0,2,SPAL,,,,,,,,Marco Piccinini,Match Report,,2020-2021,Monza
2020-11-28,16:00,Serie B,Matchweek 9,Sat,Home,W,1,0,US Reggina,2.6,0.3,55.0,,Andrea D'Errico,4-3-1-2,3-5-2,Ivan Robilotta,Match Report,,2020-2021,Monza
2020-12-02,18:00,Serie B,Matchweek 3,Wed,Home,D,1,1,Vicenza Virtus,1.4,1.1,57.0,,Andrea D'Errico,4-3-1-2,4-4-2,Giacomo Camplone,Match Report,,2020-2021,Monza
2020-12-06,15:00,Serie B,Matchweek 10,Sun,Away,L,0,3,Reggiana,1.7,0.6,59.0,,Giuseppe Bellusci,4-3-1-2,3-4-1-2,Matteo Gariglio,Match Report,,2020-2021,Monza
2020-12-11,19:00,Serie B,Matchweek 11,Fri,Away,W,2,0,Venezia,1.2,0.7,47.0,,Marco Fossati,4-3-3,4-3-3,Alessandro Prontera,Match Report,,2020-2021,Monza
2020-12-15,21:00,Serie B,Matchweek 12,Tue,Home,W,5,0,Virtus Entella,2.5,0.2,57.0,,Marco Fossati,4-3-3,4-3-1-2,Francesco Meraviglia,Match Report,,2020-2021,Monza
2020-12-19,16:00,Serie B,Matchweek 13,Sat,Away,L,2,3,Pescara,1.5,2.8,61.0,,Marco Armellino,4-3-3,3-5-2,Federico Dionisi,Match Report,,2020-2021,Monza
2020-12-22,19:00,Serie B,Matchweek 14,Tue,Home,W,2,0,Ascoli,2.6,0.2,63.0,,Marco Fossati,4-3-3,4-3-3,Antonio Rapuano,Match Report,,2020-2021,Monza
2020-12-27,21:00,Serie B,Matchweek 15,Sun,Away,W,2,0,Cremonese,1.0,1.2,55.0,,Andrea D'Errico,4-3-3,4-3-3,Matteo Marchetti,Match Report,,2020-2021,Monza
2020-12-30,16:00,Serie B,Matchweek 16,Wed,Home,W,3,0,Salernitana,3.7,1.2,68.0,,Giuseppe Bellusci,4-3-3,3-5-2,Juan Sacchi,Match Report,,2020-2021,Monza
2021-01-04,16:00,Serie B,Matchweek 17,Mon,Away,D,0,0,Lecce,0.5,0.7,60.0,,Andrea D'Errico,4-3-3,4-3-1-2,Livio Marinelli,Match Report,,2020-2021,Monza
2021-01-16,14:00,Serie B,Matchweek 18,Sat,Home,D,2,2,Cosenza,1.5,0.5,60.0,,Gabriel Paletta,4-3-3,3-4-3,Gianluca Aureliano,Match Report,,2020-2021,Monza
2021-01-25,21:00,Serie B,Matchweek 19,Mon,Away,W,1,0,Brescia,1.1,0.5,57.0,,Giuseppe Bellusci,4-3-3,3-4-1-2,Luca Massimi,Match Report,,2020-2021,Monza
2021-01-31,16:00,Serie B,Matchweek 20,Sun,Away,D,1,1,SPAL,0.7,1.1,50.0,,Giuseppe Bellusci,4-3-3,3-5-2,Livio Marinelli,Match Report,,2020-2021,Monza
2021-02-06,16:00,Serie B,Matchweek 21,Sat,Home,D,1,1,Empoli,2.3,1.0,61.0,,Giuseppe Bellusci,4-3-3,4-3-1-2,Antonio Giua,Match Report,,2020-2021,Monza
2021-02-09,19:00,Serie B,Matchweek 22,Tue,Away,W,2,1,Vicenza Virtus,1.8,0.6,48.0,,Marco Armellino,4-3-3,4-3-1-2,Antonio Rapuano,Match Report,,2020-2021,Monza
2021-02-12,21:00,Serie B,Matchweek 23,Fri,Home,L,0,2,Pisa,1.6,1.5,60.0,,Giuseppe Bellusci,4-3-3,4-3-1-2,Rosario Abisso,Match Report,,2020-2021,Monza
2021-02-20,16:00,Serie B,Matchweek 24,Sat,Away,W,1,0,Chievo,0.9,0.2,49.0,,Giuseppe Bellusci,4-1-4-1,4-4-2,Juan Sacchi,Match Report,,2020-2021,Monza
2021-02-27,16:00,Serie B,Matchweek 25,Sat,Home,D,0,0,Cittadella,1.3,0.5,49.0,,Giuseppe Bellusci,4-1-4-1,4-3-1-2,Riccardo Ros,Match Report,,2020-2021,Monza
2021-03-02,17:00,Serie B,Matchweek 26,Tue,Away,D,2,2,Frosinone,1.5,1.6,50.0,,Marco Armellino,4-3-3,3-5-2,Antonio Di Martino,Match Report,,2020-2021,Monza
2021-03-06,18:00,Serie B,Matchweek 27,Sat,Home,W,2,0,Pordenone,1.8,0.7,61.0,,Marco Armellino,4-3-3,4-3-1-2,Eugenio Abbattista,Match Report,,2020-2021,Monza
2021-03-13,14:00,Serie B,Matchweek 28,Sat,Away,L,0,1,US Reggina,0.8,1.6,66.0,,Giuseppe Bellusci,4-3-3,4-2-3-1,Davide Ghersini,Match Report,,2020-2021,Monza
2021-03-16,19:00,Serie B,Matchweek 29,Tue,Home,W,2,0,Reggiana,1.8,0.3,52.0,,Andrea D'Errico,4-3-1-2,4-1-4-1,Ivan Pezzuto,Match Report,,2020-2021,Monza
