Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-11,15:00,Ligue 1,Matchweek 1,Sun,Away,L,1.0,2.0,Lille,0.6,1.3,46.0,34494.0,Valentin Rongier,4-3-3,4-2-3-1,Mikael Lesage,Match Report,,2019-2020,Nantes
2019-08-17,17:30,Ligue 1,Matchweek 2,Sat,Home,D,0.0,0.0,Marseille,0.5,1.2,53.0,34832.0,Valentin Rongier,4-2-3-1,4-3-3,Benoît Bastien,Match Report,,2019-2020,Nantes
2019-08-24,20:00,Ligue 1,Matchweek 3,Sat,Away,W,2.0,1.0,Amiens,2.4,0.4,63.0,11393.0,Valentin Rongier,4-2-3-1,4-2-3-1,Jeremy Stinat,Match Report,,2019-2020,Nantes
2019-08-31,20:00,Ligue 1,Matchweek 4,Sat,Home,W,1.0,0.0,Montpellier,0.9,0.5,50.0,18980.0,Abdoulaye Touré,4-2-3-1,3-4-1-2,Karim Abed,Match Report,,2019-2020,Nantes
2019-09-15,15:00,Ligue 1,Matchweek 5,Sun,Home,W,1.0,0.0,Reims,0.4,0.7,53.0,18897.0,Abdoulaye Touré,4-2-3-1,4-3-3,Willy Delajod,Match Report,,2019-2020,Nantes
2019-09-20,20:45,Ligue 1,Matchweek 6,Fri,Away,L,1.0,2.0,Strasbourg,0.6,2.0,40.0,24013.0,Abdoulaye Touré,4-4-1-1,3-4-1-2,Florent Batta,Match Report,,2019-2020,Nantes
2019-09-25,19:00,Ligue 1,Matchweek 7,Wed,Home,W,1.0,0.0,Rennes,1.4,1.1,44.0,26952.0,Abdoulaye Touré,4-2-3-1,4-4-2,Antony Gautier,Match Report,,2019-2020,Nantes
2019-09-28,13:30,Ligue 1,Matchweek 8,Sat,Away,W,1.0,0.0,Lyon,0.6,1.1,38.0,46647.0,Abdoulaye Touré,4-4-1-1,4-3-3,Benoît Millot,Match Report,,2019-2020,Nantes
2019-10-05,20:00,Ligue 1,Matchweek 9,Sat,Home,W,1.0,0.0,Nice,1.3,0.3,46.0,15532.0,Abdoulaye Touré,4-2-3-1,4-3-3,Amaury Delerue,Match Report,,2019-2020,Nantes
2019-10-19,20:00,Ligue 1,Matchweek 10,Sat,Away,L,0.0,1.0,Metz,0.6,0.8,52.0,16533.0,Abdoulaye Touré,4-2-3-1,4-3-3,Jérémie Pignard,Match Report,,2019-2020,Nantes
2019-10-25,20:45,Ligue 1,Matchweek 11,Fri,Home,L,0.0,1.0,Monaco,1.7,0.9,59.0,30656.0,Abdoulaye Touré,4-2-3-1,3-5-2,Thomas Léonard,Match Report,,2019-2020,Nantes
2019-10-30,21:05,Coupe de la Ligue,Third round,Wed,Home,W,8.0,0.0,Paris FC,,,67.0,15475.0,Abdoulaye Touré,4-2-3-1,4-2-3-1,Jeremy Stinat,Match Report,,2019-2020,Nantes
2019-11-03,15:00,Ligue 1,Matchweek 12,Sun,Away,L,0.0,2.0,Bordeaux,0.7,1.0,54.0,19545.0,Abdoulaye Touré,4-2-3-1,3-4-3,François Letexier,Match Report,,2019-2020,Nantes
2019-11-10,17:00,Ligue 1,Matchweek 13,Sun,Home,L,2.0,3.0,Saint-Étienne,0.9,0.9,61.0,34191.0,Abdoulaye Touré,4-2-3-1,3-4-3,Clément Turpin,Match Report,,2019-2020,Nantes
2019-11-23,20:00,Ligue 1,Matchweek 14,Sat,Away,D,1.0,1.0,Brest,1.5,1.0,38.0,14232.0,Abdoulaye Touré,4-2-3-1,4-2-3-1,Ruddy Buquet,Match Report,,2019-2020,Nantes
2019-12-01,15:00,Ligue 1,Matchweek 15,Sun,Home,W,2.0,1.0,Toulouse,2.8,1.1,62.0,13751.0,Abdoulaye Touré,4-2-3-1,4-1-4-1,Florent Batta,Match Report,,2019-2020,Nantes
2019-12-04,21:05,Ligue 1,Matchweek 16,Wed,Away,L,0.0,2.0,Paris S-G,0.6,1.9,37.0,47485.0,Nicolas Pallois,4-4-2,4-3-3,Amaury Delerue,Match Report,,2019-2020,Nantes
2019-12-08,17:00,Ligue 1,Matchweek 17,Sun,Home,W,1.0,0.0,Dijon,1.2,0.5,52.0,16001.0,Abdoulaye Touré,4-4-2,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,2019-2020,Nantes
2019-12-14,20:00,Ligue 1,Matchweek 18,Sat,Away,W,1.0,0.0,Nîmes,1.4,0.8,45.0,12098.0,Abdoulaye Touré,4-2-3-1,4-4-2,Karim Abed,Match Report,,2019-2020,Nantes
2019-12-18,21:05,Coupe de la Ligue,Round of 16,Wed,Home,L,0.0,1.0,Strasbourg,,,53.0,9565.0,Molla Wagué,4-2-3-1,4-1-4-1,Eric Wattellier,Match Report,,2019-2020,Nantes
2019-12-21,20:45,Ligue 1,Matchweek 19,Sat,Home,L,1.0,2.0,Angers,0.4,1.3,50.0,29807.0,Abdoulaye Touré,4-4-1-1,4-1-4-1,Jérémie Pignard,Match Report,,2019-2020,Nantes
2020-01-04,13:00,Coupe de France,Round of 64,Sat,Away,W,2.0,0.0,Av. Bayonne,,,,6860.0,Abdoulaye Touré,,,Johan Hamel,Match Report,,2019-2020,Nantes
2020-01-12,15:00,Ligue 1,Matchweek 20,Sun,Away,W,2.0,0.0,Saint-Étienne,1.2,0.5,40.0,,Abdoulaye Touré,4-2-3-1,4-2-3-1,Benoît Bastien,Match Report,,2019-2020,Nantes
2020-01-18,20:55,Coupe de France,Round of 32,Sat,Home,L,3.0,4.0,Lyon,,,45.0,24511.0,Abdoulaye Touré,4-2-3-1,4-2-3-1,Mikael Lesage,Match Report,,2019-2020,Nantes
2020-01-26,17:00,Ligue 1,Matchweek 21,Sun,Home,L,0.0,1.0,Bordeaux,0.2,0.7,40.0,29839.0,Abdoulaye Touré,4-2-3-1,4-2-3-1,Karim Abed,Match Report,,2019-2020,Nantes
2020-01-31,20:45,Ligue 1,Matchweek 22,Fri,Away,L,2.0,3.0,Rennes,0.9,2.3,43.0,27836.0,Abdoulaye Touré,4-2-3-1,4-4-2,Benoît Millot,Match Report,,2019-2020,Nantes
2020-02-04,21:05,Ligue 1,Matchweek 23,Tue,Home,L,1.0,2.0,Paris S-G,2.7,3.6,35.0,34307.0,Abdoulaye Touré,4-4-2,4-2-2-2,Franck Schneider,Match Report,,2019-2020,Nantes
2020-02-08,20:00,Ligue 1,Matchweek 24,Sat,Away,D,3.0,3.0,Dijon,0.6,1.2,45.0,11780.0,Mehdi Abeid,4-4-2,4-2-3-1,Jérémie Pignard,Match Report,,2019-2020,Nantes
2020-02-15,20:00,Ligue 1,Matchweek 25,Sat,Home,D,0.0,0.0,Metz,1.4,0.4,56.0,20444.0,Abdoulaye Touré,4-2-3-1,4-3-3,Jeremy Stinat,Match Report,,2019-2020,Nantes
2020-02-22,17:30,Ligue 1,Matchweek 26,Sat,Away,W,3.0,1.0,Marseille,0.7,0.9,37.0,60430.0,Nicolas Pallois,4-2-3-1,4-3-3,Jérôme Miguelgorry,Match Report,,2019-2020,Nantes
2020-03-01,15:00,Ligue 1,Matchweek 27,Sun,Home,L,0.0,1.0,Lille,0.4,2.2,51.0,20704.0,Nicolas Pallois,4-4-2,4-4-2,Willy Delajod,Match Report,,2019-2020,Nantes
2020-03-07,20:00,Ligue 1,Matchweek 28,Sat,Away,L,0.0,2.0,Angers,1.4,0.8,54.0,12132.0,Abdoulaye Touré,4-2-3-1,4-1-4-1,Stéphanie Frappart,Match Report,,2019-2020,Nantes
2020-03-14,20:00,Ligue 1,Matchweek 29,Sat,Home,,,,Nîmes,,,,,,,,,Match Report,Match Cancelled,2019-2020,Nantes
