Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-24,20:45,Serie A,Matchweek 1,Sat,Away,W,4,3,Fiorentina,2.0,1.7,57.0,33614.0,Lorenzo Insigne,4-4-1-1,4-3-3,Davide Massa,Match Report,,2019-2020,Napoli
2019-08-31,20:45,Serie A,Matchweek 2,Sat,Away,L,3,4,Juventus,1.4,1.8,55.0,39203.0,Lorenzo Insigne,4-4-1-1,4-3-3,Daniele Orsato,Match Report,,2019-2020,Napoli
2019-09-14,18:00,Serie A,Matchweek 3,Sat,Home,W,2,0,Sampdoria,1.6,2.2,67.0,40000.0,José Callejón,4-4-2,3-4-1-2,Federico La Penna,Match Report,,2019-2020,Napoli
2019-09-17,21:00,Champions Lg,Group stage,Tue,Home,W,2,0,eng Liverpool,1.8,0.7,48.0,38878.0,Lorenzo Insigne,4-4-2,4-3-3,Felix Brych,Match Report,,2019-2020,Napoli
2019-09-22,15:00,Serie A,Matchweek 4,Sun,Away,W,4,1,Lecce,2.9,1.5,62.0,21644.0,Lorenzo Insigne,4-4-2,4-3-3,Marco Piccinini,Match Report,,2019-2020,Napoli
2019-09-25,21:00,Serie A,Matchweek 5,Wed,Home,L,0,1,Cagliari,2.0,0.5,67.0,25408.0,Lorenzo Insigne,3-4-3,4-3-1-2,Marco Di Bello,Match Report,,2019-2020,Napoli
2019-09-29,12:30,Serie A,Matchweek 6,Sun,Home,W,2,1,Brescia,2.0,1.1,55.0,45770.0,José Callejón,4-4-2,4-3-1-2,Gianluca Manganiello,Match Report,,2019-2020,Napoli
2019-10-02,18:55,Champions Lg,Group stage,Wed,Away,D,0,0,be Genk,3.2,0.7,62.0,19962.0,José Callejón,4-4-2,4-2-3-1,István Kovács,Match Report,,2019-2020,Napoli
2019-10-06,18:00,Serie A,Matchweek 7,Sun,Away,D,0,0,Torino,0.9,0.6,60.0,24343.0,Lorenzo Insigne,4-3-3,4-2-3-1,Daniele Doveri,Match Report,,2019-2020,Napoli
2019-10-19,18:00,Serie A,Matchweek 8,Sat,Home,W,2,0,Hellas Verona,2.4,1.7,56.0,38686.0,Lorenzo Insigne,4-2-3-1,3-4-3,Marco Piccinini,Match Report,,2019-2020,Napoli
2019-10-23,21:00,Champions Lg,Group stage,Wed,Away,W,3,2,at RB Salzburg,0.9,2.7,48.0,29520.0,José Callejón,4-4-2,4-2-3-1,Clément Turpin,Match Report,,2019-2020,Napoli
2019-10-27,15:00,Serie A,Matchweek 9,Sun,Away,D,1,1,SPAL,0.8,0.7,68.0,14726.0,Lorenzo Insigne,4-4-2,3-5-2,Federico La Penna,Match Report,,2019-2020,Napoli
2019-10-30,19:00,Serie A,Matchweek 10,Wed,Home,D,2,2,Atalanta,2.7,1.8,51.0,30061.0,Lorenzo Insigne,4-4-2,3-4-1-2,Piero Giacomelli,Match Report,,2019-2020,Napoli
2019-11-02,15:00,Serie A,Matchweek 11,Sat,Away,L,1,2,Roma,1.7,2.2,56.0,34502.0,Lorenzo Insigne,4-4-2,4-2-3-1,Gianluca Rocchi,Match Report,,2019-2020,Napoli
2019-11-05,21:00,Champions Lg,Group stage,Tue,Home,D,1,1,at RB Salzburg,2.7,1.5,55.0,32862.0,Lorenzo Insigne,4-4-2,5-3-2,Szymon Marciniak,Match Report,,2019-2020,Napoli
2019-11-09,20:45,Serie A,Matchweek 12,Sat,Home,D,0,0,Genoa,1.3,1.2,43.0,22947.0,Lorenzo Insigne,4-4-2,4-3-3,Giampaolo Calvarese,Match Report,,2019-2020,Napoli
2019-11-23,18:00,Serie A,Matchweek 13,Sat,Away,D,1,1,Milan,1.2,0.9,52.0,61658.0,Lorenzo Insigne,4-4-2,4-3-3,Daniele Orsato,Match Report,,2019-2020,Napoli
2019-11-27,20:00,Champions Lg,Group stage,Wed,Away,D,1,1,eng Liverpool,0.5,0.8,29.0,52128.0,Kalidou Koulibaly,4-4-2,4-3-3,Carlos del Cerro,Match Report,,2019-2020,Napoli
2019-12-01,18:00,Serie A,Matchweek 14,Sun,Home,L,1,2,Bologna,2.1,1.2,61.0,26012.0,Lorenzo Insigne,4-3-3,4-1-4-1,Fabrizio Pasqua,Match Report,,2019-2020,Napoli
2019-12-07,18:00,Serie A,Matchweek 15,Sat,Away,D,1,1,Udinese,1.1,0.5,69.0,20405.0,Lorenzo Insigne,4-4-2,3-5-2,Maurizio Mariani,Match Report,,2019-2020,Napoli
2019-12-10,18:55,Champions Lg,Group stage,Tue,Home,W,4,0,be Genk,3.0,1.8,55.0,22265.0,José Callejón,4-4-2,4-4-2,Cüneyt Çakιr,Match Report,,2019-2020,Napoli
2019-12-14,18:30,Serie A,Matchweek 16,Sat,Home,L,1,2,Parma,2.2,1.2,72.0,25000.0,Lorenzo Insigne,4-3-3,4-3-3,Marco Di Bello,Match Report,,2019-2020,Napoli
2019-12-22,20:45,Serie A,Matchweek 17,Sun,Away,W,2,1,Sassuolo,1.4,1.3,42.0,12570.0,Lorenzo Insigne,4-3-3,4-2-3-1,Daniele Chiffi,Match Report,,2019-2020,Napoli
2020-01-06,20:45,Serie A,Matchweek 18,Mon,Home,L,1,3,Inter,1.6,1.4,57.0,31191.0,Lorenzo Insigne,4-3-3,3-5-2,Daniele Doveri,Match Report,,2019-2020,Napoli
2020-01-11,18:00,Serie A,Matchweek 19,Sat,Away,L,0,1,Lazio,0.7,1.3,63.0,40000.0,Lorenzo Insigne,4-3-3,3-5-2,Daniele Orsato,Match Report,,2019-2020,Napoli
2020-01-14,15:00,Coppa Italia,Round of 16,Tue,Home,W,2,0,Perugia,,,60.0,14000.0,Kostas Manolas,4-3-3,5-3-2,Luca Massimi,Match Report,,2019-2020,Napoli
2020-01-18,20:45,Serie A,Matchweek 20,Sat,Home,L,0,2,Fiorentina,0.7,1.0,67.0,22219.0,Lorenzo Insigne,4-3-3,3-5-2,Fabrizio Pasqua,Match Report,,2019-2020,Napoli
2020-01-21,20:45,Coppa Italia,Quarter-finals,Tue,Home,W,1,0,Lazio,,,49.0,24377.0,Lorenzo Insigne,4-3-3,3-5-2,Davide Massa,Match Report,,2019-2020,Napoli
2020-01-26,20:45,Serie A,Matchweek 21,Sun,Home,W,2,1,Juventus,1.4,1.0,51.0,39111.0,Lorenzo Insigne,4-3-3,4-3-1-2,Maurizio Mariani,Match Report,,2019-2020,Napoli
2020-02-03,20:45,Serie A,Matchweek 22,Mon,Away,W,4,2,Sampdoria,1.3,1.9,64.0,20017.0,Lorenzo Insigne,4-3-3,4-4-2,Federico La Penna,Match Report,,2019-2020,Napoli
2020-02-09,15:00,Serie A,Matchweek 23,Sun,Home,L,2,3,Lecce,3.5,1.7,60.0,40825.0,Lorenzo Insigne,4-3-3,4-3-1-2,Antonio Giua,Match Report,,2019-2020,Napoli
2020-02-12,20:45,Coppa Italia,Semi-finals,Wed,Away,W,1,0,Inter,,,,59601.0,,,,Giampaolo Calvarese,Match Report,Leg 1 of 2,2019-2020,Napoli
2020-02-16,18:00,Serie A,Matchweek 24,Sun,Away,W,1,0,Cagliari,0.9,0.3,55.0,13535.0,José Callejón,4-3-3,4-3-2-1,Daniele Doveri,Match Report,,2019-2020,Napoli
2020-02-21,20:45,Serie A,Matchweek 25,Fri,Away,W,2,1,Brescia,1.5,1.2,72.0,14703.0,Lorenzo Insigne,4-3-3,4-3-2-1,Daniele Orsato,Match Report,,2019-2020,Napoli
2020-02-25,21:00,Champions Lg,Round of 16,Tue,Home,D,1,1,es Barcelona,0.7,1.6,34.0,44388.0,Lorenzo Insigne,4-1-4-1,4-3-3,Felix Brych,Match Report,Leg 1 of 2,2019-2020,Napoli
2020-02-29,20:45,Serie A,Matchweek 26,Sat,Home,W,2,1,Torino,1.8,0.7,64.0,23586.0,Lorenzo Insigne,4-3-3,3-5-2,Maurizio Mariani,Match Report,,2019-2020,Napoli
2020-06-13,21:00,Coppa Italia,Semi-finals,Sat,Home,D,1,1,Inter,,,32.0,,Lorenzo Insigne,4-3-3,3-4-1-2,Gianluca Rocchi,Match Report,Leg 2 of 2; Napoli won,2019-2020,Napoli
2020-06-17,21:00,Coppa Italia,Final,Wed,Home,D,0 (4),0 (2),Juventus,,,46.0,,Lorenzo Insigne,4-3-3,4-3-3,Daniele Doveri,Match Report,Napoli won on penalty kicks following extra time,2019-2020,Napoli
2020-06-23,19:30,Serie A,Matchweek 27,Tue,Away,W,2,0,Hellas Verona,1.7,1.7,54.0,,Lorenzo Insigne,4-3-3,3-4-3,Fabrizio Pasqua,Match Report,,2019-2020,Napoli
2020-06-28,19:30,Serie A,Matchweek 28,Sun,Home,W,3,1,SPAL,1.9,0.5,67.0,,Lorenzo Insigne,4-3-3,4-4-2,Luca Pairetto,Match Report,,2019-2020,Napoli
2020-07-02,19:30,Serie A,Matchweek 29,Thu,Away,L,0,2,Atalanta,0.7,1.3,53.0,,Lorenzo Insigne,4-3-3,3-4-3,Daniele Doveri,Match Report,,2019-2020,Napoli
2020-07-05,21:45,Serie A,Matchweek 30,Sun,Home,W,2,1,Roma,2.5,0.8,60.0,,Lorenzo Insigne,4-3-3,5-3-2,Gianluca Rocchi,Match Report,,2019-2020,Napoli
2020-07-08,19:30,Serie A,Matchweek 31,Wed,Away,W,2,1,Genoa,1.6,0.5,66.0,,Lorenzo Insigne,4-3-3,3-5-2,Maurizio Mariani,Match Report,,2019-2020,Napoli
2020-07-12,21:45,Serie A,Matchweek 32,Sun,Home,D,2,2,Milan,2.0,1.3,51.0,,Lorenzo Insigne,4-3-3,4-2-3-1,Federico La Penna,Match Report,,2019-2020,Napoli
2020-07-15,19:30,Serie A,Matchweek 33,Wed,Away,D,1,1,Bologna,0.6,0.7,52.0,,Elseid Hysaj,4-3-3,4-2-3-1,Marco Piccinini,Match Report,,2019-2020,Napoli
2020-07-19,19:30,Serie A,Matchweek 34,Sun,Home,W,2,1,Udinese,1.3,0.8,68.0,,Lorenzo Insigne,4-3-3,3-5-2,Daniele Chiffi,Match Report,,2019-2020,Napoli
2020-07-22,19:30,Serie A,Matchweek 35,Wed,Away,L,1,2,Parma,1.6,2.0,69.0,,Lorenzo Insigne,4-3-3,4-1-4-1,Antonio Giua,Match Report,,2019-2020,Napoli
2020-07-25,21:45,Serie A,Matchweek 36,Sat,Home,W,2,0,Sassuolo,2.1,0.6,50.0,,Lorenzo Insigne,4-3-3,4-2-3-1,Gianluca Aureliano,Match Report,,2019-2020,Napoli
2020-07-28,21:45,Serie A,Matchweek 37,Tue,Away,L,0,2,Inter,1.1,0.6,58.0,,Lorenzo Insigne,4-3-3,3-4-1-2,Paolo Valeri,Match Report,,2019-2020,Napoli
2020-08-01,20:45,Serie A,Matchweek 38,Sat,Home,W,3,1,Lazio,1.7,1.2,56.0,,José Callejón,4-3-3,3-5-2,Giampaolo Calvarese,Match Report,,2019-2020,Napoli
2020-08-08,21:00,Champions Lg,Round of 16,Sat,Away,L,1,3,es Barcelona,2.2,1.1,49.0,,Lorenzo Insigne,4-3-3,4-3-1-2,Cüneyt Çakιr,Match Report,Leg 2 of 2; Barcelona won,2019-2020,Napoli
