Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-07-26,20:45,Champions Lg,Third qualifying round,Wed,Home,D,1,1,nl Ajax,,,,31342,Dante,4-4-2,4-3-3,Carlos del Cerro,Match Report,Leg 1 of 2,2017-2018,Nice
2017-08-02,20:45,Champions Lg,Third qualifying round,Wed,Away,D,2,2,nl Ajax,,,,51845,Dante,4-5-1,4-3-3,Andre Marriner,Match Report,Leg 2 of 2; Nice won,2017-2018,Nice
2017-08-05,20:00,Ligue 1,Matchweek 1,Sat,Away,L,0,1,Saint-Étienne,0.5,0.9,59.0,25879,Dante,4-2-3-1,4-3-3,François Letexier,Match Report,,2017-2018,Nice
2017-08-11,19:00,Ligue 1,Matchweek 2,Fri,Home,L,1,2,Troyes,2.3,0.5,69.0,24260,Dante,4-2-3-1,4-2-3-1,Olivier Thual,Match Report,,2017-2018,Nice
2017-08-16,20:45,Champions Lg,Play-off round,Wed,Away,L,0,2,it Napoli,,,46.0,49324,Dante,3-5-2,4-3-3,Szymon Marciniak,Match Report,Leg 1 of 2,2017-2018,Nice
2017-08-19,20:00,Ligue 1,Matchweek 3,Sat,Home,W,2,0,Guingamp,1.0,0.5,57.0,21070,Dante,4-3-3,4-1-4-1,Benoît Millot,Match Report,,2017-2018,Nice
2017-08-22,20:45,Champions Lg,Play-off round,Tue,Home,L,0,2,it Napoli,,,47.0,32103,Dante,4-2-3-1,4-3-3,Damir Skomina,Match Report,Leg 2 of 2; Napoli won,2017-2018,Nice
2017-08-26,20:00,Ligue 1,Matchweek 4,Sat,Away,L,0,3,Amiens,0.4,1.3,65.0,7922,Dante,4-2-3-1,4-4-1-1,Johan Hamel,Match Report,,2017-2018,Nice
2017-09-09,17:00,Ligue 1,Matchweek 5,Sat,Home,W,4,0,Monaco,2.7,0.9,46.0,28995,Jean Seri,4-4-2,4-4-2,Clément Turpin,Match Report,,2017-2018,Nice
2017-09-14,21:05,Europa Lg,Group stage,Thu,Away,W,5,1,be Zulte Waregem,2.6,2.9,61.0,9072,Dante,4-2-2-2,4-3-3,Ali Palabıyık,Match Report,,2017-2018,Nice
2017-09-17,17:00,Ligue 1,Matchweek 6,Sun,Away,W,1,0,Rennes,0.7,1.0,51.0,24892,Dante,4-2-2-2,4-4-1-1,Nicolas Rainville,Match Report,,2017-2018,Nice
2017-09-22,19:00,Ligue 1,Matchweek 7,Fri,Home,D,2,2,Angers,2.1,1.5,64.0,18023,Dante,4-4-2,5-4-1,François Letexier,Match Report,,2017-2018,Nice
2017-09-28,19:00,Europa Lg,Group stage,Thu,Home,W,3,0,nl Vitesse,1.3,0.4,57.0,15006,Dante,4-4-2,4-3-3,Aleksey Eskov,Match Report,,2017-2018,Nice
2017-10-01,21:00,Ligue 1,Matchweek 8,Sun,Home,L,2,4,Marseille,2.0,2.6,62.0,32702,Dante,4-2-2-2,4-2-3-1,Benoît Bastien,Match Report,,2017-2018,Nice
2017-10-15,17:00,Ligue 1,Matchweek 9,Sun,Away,L,0,2,Montpellier,2.0,1.3,64.0,14374,Dante,4-4-2,3-4-1-2,Jérôme Brisard,Match Report,,2017-2018,Nice
2017-10-19,19:00,Europa Lg,Group stage,Thu,Home,L,1,3,it Lazio,0.7,2.3,64.0,21386,Dante,3-5-1-1,3-5-2,Craig Thomson,Match Report,,2017-2018,Nice
2017-10-22,15:00,Ligue 1,Matchweek 10,Sun,Home,L,1,2,Strasbourg,1.9,1.1,63.0,23595,Dante,4-2-3-1,4-2-3-1,Nicolas Rainville,Match Report,,2017-2018,Nice
2017-10-27,20:45,Ligue 1,Matchweek 11,Fri,Away,L,0,3,Paris S-G,0.3,3.1,34.0,47224,Dante,3-5-1-1,4-3-3,Tony Chapron,Match Report,,2017-2018,Nice
2017-11-02,21:05,Europa Lg,Group stage,Thu,Away,L,0,1,it Lazio,0.5,0.3,57.0,21327,Dante,4-2-3-1,3-5-2,Jesús Gil,Match Report,,2017-2018,Nice
