Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2021-08-08,16:30,Championship,Matchweek 1,Sun,Away,L,1,2,Coventry City,1.1,1.4,38,20843,Ryan Yates,4-2-3-1,3-4-1-2,James Linington,Match Report,,2021-2022,Nott'ham Forest
2021-08-11,19:45,EFL Cup,First round,Wed,Home,W,2,1,Bradford City,,,62,9514,Cafú,4-2-3-1,4-2-3-1,Peter Wright,Match Report,,2021-2022,Nott'ham Forest
2021-08-14,15:00,Championship,Matchweek 2,Sat,Home,L,1,2,Bournemouth,0.8,0.6,55,25035,Ryan Yates,4-2-3-1,4-3-3,Geoff Eltringham,Match Report,,2021-2022,Nott'ham Forest
2021-08-18,19:45,Championship,Matchweek 3,Wed,Home,L,1,2,Blackburn,0.3,0.9,60,23964,Lewis Grabban,4-4-1-1,4-2-3-1,Gavin Ward,Match Report,,2021-2022,Nott'ham Forest
2021-08-21,15:00,Championship,Matchweek 4,Sat,Away,L,0,1,Stoke City,0.1,1.0,42,21346,Ryan Yates,4-2-3-1,3-5-2,Oliver Langford,Match Report,,2021-2022,Nott'ham Forest
2021-08-24,20:00,EFL Cup,Second round,Tue,Home,L,0,4,Wolves,,,26,10769,Lewis Grabban,4-2-3-1,3-4-1-2,Andrew Davies,Match Report,,2021-2022,Nott'ham Forest
2021-08-28,12:30,Championship,Matchweek 5,Sat,Away,D,1,1,Derby County,0.7,1.2,49,22991,Joe Worrall,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,2021-2022,Nott'ham Forest
2021-09-12,14:30,Championship,Matchweek 6,Sun,Home,L,1,2,Cardiff City,1.0,1.6,53,24153,Lewis Grabban,4-4-1-1,4-1-3-2,Dean Whitestone,Match Report,,2021-2022,Nott'ham Forest
2021-09-15,19:45,Championship,Matchweek 7,Wed,Home,L,0,2,Middlesbrough,0.9,2.0,59,23830,Lewis Grabban,4-4-1-1,4-2-3-1,Andy Woolmer,Match Report,,2021-2022,Nott'ham Forest
2021-09-18,15:00,Championship,Matchweek 8,Sat,Away,W,2,0,Huddersfield,0.6,0.8,30,17462,Lewis Grabban,3-4-3,3-4-3,Chris Kavanagh,Match Report,,2021-2022,Nott'ham Forest
2021-09-25,15:00,Championship,Matchweek 9,Sat,Home,D,1,1,Millwall,0.7,1.1,54,25589,Lewis Grabban,3-4-3,3-4-3,Jeremy Simpson,Match Report,,2021-2022,Nott'ham Forest
2021-09-29,19:45,Championship,Matchweek 10,Wed,Away,W,3,1,Barnsley,2.7,1.2,62,13657,Joe Worrall,3-4-3,3-4-3,Geoff Eltringham,Match Report,,2021-2022,Nott'ham Forest
2021-10-02,15:00,Championship,Matchweek 11,Sat,Away,W,3,0,Birmingham City,1.1,2.1,48,15148,Lewis Grabban,3-4-3,3-4-1-2,Keith Stroud,Match Report,,2021-2022,Nott'ham Forest
2021-10-16,15:00,Championship,Matchweek 12,Sat,Home,W,2,1,Blackpool,2.1,1.0,47,27946,Lewis Grabban,3-4-3,4-4-2,Kevin Friend,Match Report,,2021-2022,Nott'ham Forest
2021-10-19,19:45,Championship,Matchweek 13,Tue,Away,W,2,1,Bristol City,2.6,2.2,66,24691,Lewis Grabban,3-4-1-2,3-1-4-2,Steve Martin,Match Report,,2021-2022,Nott'ham Forest
2021-10-24,15:00,Championship,Matchweek 14,Sun,Home,L,0,4,Fulham,0.6,1.8,49,27470,Lewis Grabban,3-4-1-2,4-2-3-1,James Linington,Match Report,,2021-2022,Nott'ham Forest
2021-10-29,19:45,Championship,Matchweek 15,Fri,Away,D,1,1,QPR,0.6,1.2,59,15089,Lewis Grabban,3-4-1-2,3-4-3,Andrew Davies,Match Report,,2021-2022,Nott'ham Forest
2021-11-02,19:45,Championship,Matchweek 16,Tue,Home,D,1,1,Sheffield Utd,1.2,0.6,44,25238,Joe Worrall,3-4-3,4-2-3-1,Leigh Doughty,Match Report,,2021-2022,Nott'ham Forest
2021-11-06,15:00,Championship,Matchweek 17,Sat,Home,W,3,0,Preston,1.6,0.4,40,27129,Lewis Grabban,4-2-3-1,3-4-1-2,Simon Hooper,Match Report,,2021-2022,Nott'ham Forest
2021-11-20,15:00,Championship,Matchweek 18,Sat,Away,D,1,1,Reading,1.2,1.1,43,14907,Lewis Grabban,4-2-3-1,4-1-4-1,Andy Woolmer,Match Report,,2021-2022,Nott'ham Forest
2021-11-23,19:45,Championship,Matchweek 19,Tue,Home,D,0,0,Luton Town,0.4,1.2,52,25715,Joe Worrall,4-2-3-1,5-3-2,Jeremy Simpson,Match Report,,2021-2022,Nott'ham Forest
2021-11-26,20:00,Championship,Matchweek 20,Fri,Away,D,0,0,West Brom,0.7,1.7,56,22424,Lewis Grabban,3-4-3,3-4-3,Gavin Ward,Match Report,,2021-2022,Nott'ham Forest
2021-12-04,15:00,Championship,Matchweek 21,Sat,Home,W,2,0,P'borough Utd,2.0,0.9,55,28308,Lewis Grabban,4-2-3-1,3-4-1-2,Thomas Bramall,Match Report,,2021-2022,Nott'ham Forest
